external_id	kind	value	tool	tool_version
cpd00002	pKa	1:14:10.12;1:29:0.98;1:30:0.98	MolGpKa	opam2
cpd00002	pKb	1:6:3.66;1:9:3.42;1:15:4.04	MolGpKa	opam2
cpd00003	pKa	1:6:1.93;1:25:11.83;1:35:10.12	MolGpKa	opam2
cpd00003	pKb	1:37:3.59;1:41:4.24;1:43:3.78	MolGpKa	opam2
cpd00004	pKa	1:14:10.94;1:18:10.76;1:36:11.26	MolGpKa	opam2
cpd00004	pKb	1:6:3.69;1:9:3.48;1:15:4.12	MolGpKa	opam2
cpd00005	pKa	1:18:1.78;1:19:1.78;1:40:11.14	MolGpKa	opam2
cpd00005	pKb	1:11:3.60;1:12:3.39;1:22:4.02	MolGpKa	opam2
cpd00006	pKa	1:18:1.66;1:19:1.66;1:47:11.52	MolGpKa	opam2
cpd00006	pKb	1:11:3.71;1:12:3.52;1:22:4.13	MolGpKa	opam2
cpd00008	pKa	1:14:10.96;1:18:10.84;1:25:1.10;1:26:1.10	MolGpKa	opam2
cpd00008	pKb	1:6:3.67;1:9:3.43;1:15:4.05	MolGpKa	opam2
cpd00009	pKa	1:2:2.11;1:3:2.11;1:4:2.11	MolGpKa	opam2
cpd00010	pKa	1:22:1.79;1:23:1.79;1:48:9.22	MolGpKa	opam2
cpd00010	pKb	1:8:3.73;1:9:3.56;1:17:4.18	MolGpKa	opam2
cpd00012	pKa	1:3:1.30;1:4:1.30;1:7:1.30;1:8:1.30	MolGpKa	opam2
cpd00014	pKa	1:9:11.20;1:10:8.14;1:14:10.92;1:23:1.13;1:24:1.13	MolGpKa	opam2
cpd00015	pKa	1:1:8.50;1:42:10.59;1:43:10.60	MolGpKa	opam2
cpd00015	pKb	1:44:4.74;1:46:4.05;1:52:3.95	MolGpKa	opam2
cpd00016	pKa	1:10:7.16;1:14:1.73;1:15:1.73	MolGpKa	opam2
cpd00016	pKb	1:7:3.02	MolGpKa	opam2
cpd00017	pKa	1:14:11.35;1:18:10.69	MolGpKa	opam2
cpd00017	pKb	1:6:4.79;1:9:5.18;1:15:5.77;1:25:7.23	MolGpKa	opam2
cpd00018	pKa	1:14:11.62;1:16:11.89;1:18:11.06;1:21:1.88;1:22:1.88	MolGpKa	opam2
cpd00018	pKb	1:6:3.69;1:9:3.46;1:15:4.06;1:16:5.49	MolGpKa	opam2
cpd00019	pKa	1:6:9.97;1:8:10.36;1:24:2.31	MolGpKa	opam2
cpd00019	pKb	1:12:5.26;1:14:4.85;1:16:5.84;1:25:8.83	MolGpKa	opam2
cpd00020	pKa	1:4:2.64	MolGpKa	opam2
cpd00022	pKa	1:31:9.67;1:34:1.79;1:35:1.79	MolGpKa	opam2
cpd00022	pKb	1:41:3.55;1:43:4.18;1:45:3.73	MolGpKa	opam2
cpd00023	pKa	1:6:2.32;1:9:2.20	MolGpKa	opam2
cpd00023	pKb	1:4:9.34	MolGpKa	opam2
cpd00024	pKa	1:6:2.43;1:10:3.23	MolGpKa	opam2
