CCO__45__CYTOSOL	cytosol
CCO__45__VAC__45__MEM	vacuolar membrane
CCO__45__PERI__45__FUNGI	periplasmic space (sensu Fungi)
CCO__45__VAC__45__LUM	vacuolar lumen
CCO__45__NUC__45__LUM	nuclear lumen
CCO__45__GLYOXYSOME	glyoxysome
CCO__45__MIT	mitochondrial lumen
CCO__45__PM__45__FUNGI	plasma membrane (sensu Fungi)
CCO__45__EXTRACELLULAR	extracellular space
