external_id	kind	value	tool	tool_version
CHEBI_100	pKa	1:17:9.42	Marvin	26.1
CHEBI_100	pKb	1:18:-4.39;1:19:-4.89;1:20:-5.38;1:17:-6.02	Marvin	26.1
CHEBI_10023	pKa	1:25:12.70	Marvin	26.1
CHEBI_10023	pKb	1:21:2.57;1:20:0.13;1:25:-3.81;1:22:-5.14;1:23:-7.39	Marvin	26.1
CHEBI_10213	pKa	1:31:19.49	Marvin	26.1
CHEBI_10213	pKb	1:31:-0.84	Marvin	26.1
CHEBI_10223	pKa	1:41:18.22	Marvin	26.1
CHEBI_10223	pKb	1:41:-1.39	Marvin	26.1
CHEBI_10278	pKa	1:16:19.32	Marvin	26.1
CHEBI_10278	pKb	1:16:-0.91	Marvin	26.1
CHEBI_10329	pKa	1:19:12.46;1:18:13.89;1:17:14.78	Marvin	26.1
CHEBI_10329	pKb	1:15:6.57;1:17:-2.98;1:18:-3.67;1:19:-3.85;1:20:-4.68	Marvin	26.1
CHEBI_10352	pKa	1:31:19.49	Marvin	26.1
CHEBI_10352	pKb	1:31:-0.84	Marvin	26.1
CHEBI_10362	pKa	1:41:18.91	Marvin	26.1
CHEBI_10362	pKb	1:41:-1.09	Marvin	26.1
CHEBI_104120	pKb	1:6:-6.85	Marvin	26.1
CHEBI_10417	pKa	1:16:19.32	Marvin	26.1
CHEBI_10417	pKb	1:16:-0.91	Marvin	26.1
CHEBI_10432	pKa	1:11:9.78	Marvin	26.1
CHEBI_10432	pKb	1:11:-5.98	Marvin	26.1
CHEBI_10642	pKa	1:8:12.29;1:7:12.91;1:9:13.60;1:10:14.39;1:12:15.07;1:11:15.69	Marvin	26.1
CHEBI_10642	pKb	1:7:-3.65;1:8:-3.65;1:9:-3.65;1:10:-3.65;1:11:-3.65;1:12:-3.65	Marvin	26.1
CHEBI_10702	pKa	1:8:13.47;1:7:14.91	Marvin	26.1
CHEBI_10702	pKb	1:7:-3.34;1:8:-3.34	Marvin	26.1
CHEBI_10782	pKa	1:11:16.86	Marvin	26.1
CHEBI_10782	pKb	1:11:-1.99	Marvin	26.1
CHEBI_10790	pKa	1:9:-1.56;1:8:-0.79	Marvin	26.1
CHEBI_10790	pKb	1:5:14.82;1:4:14.14;1:8:-6.87;1:9:-6.87	Marvin	26.1
CHEBI_10979	pKa	1:11:4.23;1:9:15.41	Marvin	26.1
CHEBI_10979	pKb	1:9:-2.62;1:12:-7.07	Marvin	26.1
CHEBI_10980	pKa	1:13:3.58;1:10:9.50;1:11:14.25	Marvin	26.1
CHEBI_10980	pKb	1:11:-3.83;1:10:-5.96	Marvin	26.1
CHEBI_10983	pKa	1:7:4.41;1:5:15.70	Marvin	26.1
CHEBI_10983	pKb	1:5:-2.62	Marvin	26.1
CHEBI_10986	pKa	1:15:1.69;1:14:3.05;1:12:5.99;1:16:6.95;1:13:13.90	Marvin	26.1
CHEBI_10986	pKb	1:10:5.07;1:13:-3.72	Marvin	26.1
CHEBI_11009	pKa	1:12:4.02;1:10:14.19	Marvin	26.1
CHEBI_11009	pKb	1:10:-3.84	Marvin	26.1
CHEBI_11047	pKa	1:7:4.41;1:5:15.70	Marvin	26.1
CHEBI_11047	pKb	1:5:-2.62	Marvin	26.1
CHEBI_11060	pKa	1:11:4.20;1:9:13.52	Marvin	26.1
CHEBI_11060	pKb	1:9:-3.57	Marvin	26.1
CHEBI_1107	pKa	1:38:9.21;1:37:12.71	Marvin	26.1
CHEBI_1107	pKb	1:37:-6.30;1:38:-6.34	Marvin	26.1
CHEBI_1109	pKa	1:38:9.79	Marvin	26.1
CHEBI_1109	pKb	1:39:-4.89;1:38:-6.35	Marvin	26.1
CHEBI_1110	pKa	1:37:9.33	Marvin	26.1
CHEBI_1110	pKb	1:37:-6.01	Marvin	26.1
CHEBI_111503	pKa	1:12:1.74;1:13:6.76;1:11:12.96;1:10:14.14;1:9:15.17	Marvin	26.1
CHEBI_111503	pKb	1:8:9.14;1:9:-3.32;1:10:-3.44;1:11:-3.60	Marvin	26.1
CHEBI_111504	pKa	1:24:1.74;1:23:6.57;1:17:12.62;1:22:13.18;1:19:13.88;1:20:14.50;1:21:15.14	Marvin	26.1
CHEBI_111504	pKb	1:15:7.21;1:20:-3.44;1:17:-3.47;1:19:-3.47;1:22:-3.60;1:21:-3.63	Marvin	26.1
CHEBI_111505	pKa	1:21:12.59;1:18:13.13;1:20:13.76;1:19:14.24;1:22:14.74;1:23:15.15;1:16:15.61	Marvin	26.1
CHEBI_111505	pKb	1:15:6.71;1:16:-2.77;1:19:-3.32;1:21:-3.44;1:18:-3.47;1:20:-3.47;1:23:-3.60;1:22:-3.63	Marvin	26.1
CHEBI_111509	pKa	1:24:6.33;1:30:11.67;1:26:12.55;1:28:13.05;1:29:13.53;1:27:14.24;1:12:16.69	Marvin	26.1
CHEBI_111509	pKb	1:21:0.49;1:26:-3.53;1:27:-3.65;1:28:-3.65;1:29:-3.69;1:30:-4.34	Marvin	26.1
CHEBI_11152	pKa	1:24:14.58	Marvin	26.1
CHEBI_11152	pKb	1:24:-2.98;1:25:-6.74;1:26:-7.35	Marvin	26.1
CHEBI_111521	pKa	1:11:12.22;1:10:13.43;1:12:14.64;1:8:15.31	Marvin	26.1
CHEBI_111521	pKb	1:8:-2.78;1:10:-3.49;1:12:-3.69;1:11:-3.96;1:9:-7.56	Marvin	26.1
CHEBI_111522	pKa	1:13:1.75;1:12:6.77;1:10:12.22;1:9:13.44;1:11:14.81	Marvin	26.1
CHEBI_111522	pKb	1:9:-3.49;1:11:-3.69;1:10:-3.96;1:8:-7.71	Marvin	26.1
CHEBI_111523	pKa	1:13:1.73;1:12:6.75;1:10:12.26;1:11:13.66;1:9:15.01;1:1:19.43	Marvin	26.1
CHEBI_111523	pKb	1:9:-3.33;1:11:-3.65;1:10:-3.95;1:8:-8.00	Marvin	26.1
CHEBI_111542	pKa	1:11:12.26;1:12:13.65;1:10:14.87;1:8:15.61;1:1:19.81	Marvin	26.1
CHEBI_111542	pKb	1:8:-2.64;1:10:-3.33;1:12:-3.65;1:11:-3.95;1:9:-8.00	Marvin	26.1
CHEBI_11173	pKa	1:15:2.44;1:12:9.34;1:13:14.34	Marvin	26.1
CHEBI_11173	pKb	1:12:-6.05;1:13:-6.33	Marvin	26.1
CHEBI_11222	pKa	1:14:7.82	Marvin	26.1
CHEBI_11222	pKb	1:12:7.85;1:13:-1.38;1:14:-5.00	Marvin	26.1
CHEBI_11302	pKb	1:30:-0.48;1:28:-6.53;1:29:-7.01;1:27:-7.48	Marvin	26.1
CHEBI_11305	pKa	1:13:4.95;1:11:16.84	Marvin	26.1
CHEBI_11305	pKb	1:11:-1.99	Marvin	26.1
CHEBI_11320	pKa	1:25:4.95;1:23:18.48	Marvin	26.1
CHEBI_11320	pKb	1:23:-1.27	Marvin	26.1
CHEBI_11412	pKa	1:19:8.95;1:16:9.55;1:18:10.85;1:17:12.50;1:21:13.13;1:20:14.40	Marvin	26.1
CHEBI_11412	pKb	1:20:-3.70;1:21:-3.70;1:22:-4.93;1:16:-6.08;1:19:-6.18;1:17:-6.29;1:18:-6.30	Marvin	26.1
CHEBI_11424	pKa	1:8:3.80;1:6:13.14;1:9:15.19	Marvin	26.1
CHEBI_11424	pKb	1:9:-3.21;1:6:-4.27	Marvin	26.1
CHEBI_11438	pKa	1:12:2.96;1:10:3.81	Marvin	26.1
CHEBI_11449	pKa	1:12:2.52;1:9:11.97;1:10:13.29;1:7:14.03	Marvin	26.1
CHEBI_11449	pKb	1:7:-3.33;1:9:-4.04;1:10:-4.11;1:8:-8.54	Marvin	26.1
CHEBI_114953	pKa	1:13:2.48	Marvin	26.1
CHEBI_114953	pKb	1:9:13.19;1:8:9.12;1:11:-0.49	Marvin	26.1
CHEBI_1156	pKa	1:19:9.67;1:20:13.12	Marvin	26.1
CHEBI_1156	pKb	1:20:-6.25;1:19:-6.26;1:21:-7.48	Marvin	26.1
CHEBI_11561	pKa	1:9:3.25;1:7:14.98	Marvin	26.1
CHEBI_11561	pKb	1:7:-2.82;1:8:-9.84	Marvin	26.1
CHEBI_11596	pKa	1:10:3.98;1:8:4.86;1:6:14.29	Marvin	26.1
CHEBI_11596	pKb	1:6:-3.81	Marvin	26.1
CHEBI_116314	pKa	1:20:7.46	Marvin	26.1
CHEBI_116314	pKb	1:19:6.55	Marvin	26.1
CHEBI_11641	pKa	1:7:3.26;1:3:16.73	Marvin	26.1
CHEBI_11641	pKb	1:6:-9.74	Marvin	26.1
CHEBI_116509	pKa	1:14:-2.91	Marvin	26.1
CHEBI_116509	pKb	1:12:15.00;1:14:-7.47	Marvin	26.1
CHEBI_1178	pKa	1:11:3.63;1:9:5.57;1:12:13.73	Marvin	26.1
CHEBI_1178	pKb	1:12:-4.14	Marvin	26.1
CHEBI_11805	pKa	1:7:4.37;1:5:15.52	Marvin	26.1
CHEBI_11805	pKb	1:5:-2.69	Marvin	26.1
CHEBI_11812	pKa	1:7:3.01;1:9:13.66	Marvin	26.1
CHEBI_11812	pKb	1:9:-3.55	Marvin	26.1
CHEBI_11851	pKa	1:7:3.37	Marvin	26.1
CHEBI_11851	pKb	1:6:-9.72	Marvin	26.1
CHEBI_11867	pKa	1:27:4.79	Marvin	26.1
CHEBI_11867	pKb	1:25:-7.35	Marvin	26.1
CHEBI_1189	pKa	1:20:10.29	Marvin	26.1
CHEBI_1189	pKb	1:22:-4.88;1:20:-6.27;1:21:-7.48	Marvin	26.1
CHEBI_11892	pKa	1:9:-0.43;1:8:4.03	Marvin	26.1
CHEBI_11892	pKb	1:5:15.00;1:9:-6.89;1:6:-9.05	Marvin	26.1
CHEBI_11893	pKa	1:29:4.44;1:25:18.36	Marvin	26.1
CHEBI_11893	pKb	1:27:-0.33;1:25:-1.37;1:26:-7.43	Marvin	26.1
CHEBI_11901	pKa	1:29:4.39;1:25:18.30	Marvin	26.1
CHEBI_11901	pKb	1:26:-0.51;1:25:-1.42;1:27:-7.49	Marvin	26.1
CHEBI_11909	pKa	1:23:18.30;1:1:19.40	Marvin	26.1
CHEBI_11909	pKb	1:23:-1.36;1:22:-7.36	Marvin	26.1
CHEBI_11935	pKa	1:18:4.32;1:17:12.20;1:15:13.20;1:16:14.42;1:14:15.03	Marvin	26.1
CHEBI_11935	pKb	1:14:-2.98;1:15:-3.65;1:16:-3.68;1:17:-3.95;1:21:-4.30;1:20:-5.37	Marvin	26.1
CHEBI_11944	pKa	1:9:-2.31;1:8:14.92	Marvin	26.1
CHEBI_11944	pKb	1:8:-2.90	Marvin	26.1
CHEBI_11951	pKa	1:10:4.13;1:8:7.16	Marvin	26.1
CHEBI_11951	pKb	1:7:5.14	Marvin	26.1
CHEBI_11987	pKa	1:9:-2.58	Marvin	26.1
CHEBI_11987	pKb	1:8:-7.15	Marvin	26.1
CHEBI_12040	pKa	1:9:3.04;1:11:3.92;1:3:15.56	Marvin	26.1
CHEBI_12040	pKb	1:7:-7.23	Marvin	26.1
CHEBI_12060	pKa	1:18:12.45;1:17:13.97;1:12:18.54	Marvin	26.1
CHEBI_12060	pKb	1:13:7.02;1:15:-1.05;1:17:-3.67;1:18:-3.85;1:19:-5.00;1:12:-6.38;1:14:-7.49	Marvin	26.1
CHEBI_121196	pKa	1:13:2.64	Marvin	26.1
CHEBI_121196	pKb	1:9:-1.41;1:12:-2.81;1:8:-5.62;1:13:-7.42	Marvin	26.1
