ID	NAMES	COMPARTMENT
13glucan	1,3-beta-D-glucan	c
13glucan	1,3-beta-D-glucan	e
13pdg	3-phospho-D-glyceroyl phosphate	c
14glucan	1,4-alpha-D-glucan	c
14mnan	1,4-beta-D-mannan	c
1dgali	Galactinol	e
23gcar	2-Dehydro-3-deoxy-D-glucarate	c
25dhba	2,5-Dihydroxybenzoate	c
2d3dgalt	2-dehydro-3-deoxy-D-galactonate	c
2ddglcn	2-Deoxy-D-gluconate	c
2mac	2-maleylacetate	c
2maco	cis-2-Methylaconitate;(Z)-but-2-ene-1,2,3-tricarboxylate	m
2mcit	2-methylcitrate	m
2micit	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate	c
2micit	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate	m
2pg	2-phospho-D-glycerate	c
3d2ddglcn	3-Dehydro-2-deoxy-D-gluconate	c
3ddah7p	2-dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	c
3hba	3-hydroxybenzoate	c
3hpyr	3-hydroxypyruvate	c
3oa	3-oxoadipate	c
3oa	3-oxoadipate	m
3oacoa	3-oxoadipyl-CoA	m
3pg	3-phospho-D-glycerate	c
3pser	O-phospho-L-serine	c
3psme	5-O-(1-carboxyvinyl)-3-phosphoshikimate	c
3sulala	3-sulfino-L-alanine	c
3sulpyr	3-Sulfinopyruvate	c
4hba	4-Hydroxybenzoate	m
4hppyr	4-Hydroxyphenylpyruvate	c
4mop	4-methyl-2-oxopentanoate	c
4mop	4-methyl-2-oxopentanoate	m
54gcar	5-Dehydro-4-deoxy-D-glucarate	c
5opro	5-oxo-L-proline	c
a6rp5p2	5-amino-6-(5'-phosphoribitylamino)uracil	c
a6rp5p	5-amino-6-(5-phosphoribosylamino)uracil	c
a6rp	5-amino-6-(D-ribitylamino)uracil	c
aacacp	acetoacetyl-[acp]	c
aaccoa	acetoacetyl-CoA	c
aaccoa	acetoacetyl-CoA	m
aaproa	3-Acetamidopropanal	c
abee	4-aminobenzoate	c
abut	(S)-2-Aceto-2-hydroxybutanoate	m
ac	acetate	c
ac	acetate	e
ac	acetate	m
acacp	acetyl-[acp]	c
acact	acetoacetate	c
acact	acetoacetate	m
acal	acetaldehyde	c
acal	acetaldehyde	m
accln	Acetylcholine	e
accoa	acetyl-CoA	c
accoa	acetyl-CoA	m
aclac	2-acetolactate	m
acnl	indole-3-acetonitrile	c
aco	cis-aconitate	c
aco	cis-aconitate	m
acp	acyl-carrier protein	c
acpi	Acetyl phosphate	c
acylacp	acyl-[acp]	c
acylacpp	acylacpp[c]	c
acylcoa	Acyl-CoA	c
acylcoa	Acyl-CoA	m
acyldcoa	trans-2,3-Dehydroacyl-CoA	m
ad	adenine	c
ad	adenine	e
adg6p	alpha-D-glucose 6-phosphate	c
adglc	alpha-D-glucose	c
adglc	alpha-D-glucose	e
adn	adenosine	c
adp	Adenosine 5'-diphosphate	c
adp	Adenosine 5'-diphosphate	m
adprib	5-deoxy-D-ribofuranos-5-yl-ADP	c
afb1	aflatoxin B1	c
afb2	aflatoxin B2	c
afg1	aflatoxin G1	c
afg2	aflatoxin G2	c
agl3p	1-acyl-sn-glycerol 3-phosphate	c
agmt	agmatine	c
ahhmd	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate	c
ahhmp	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol	c
ahmpp	4-amino-2-methyl-5-diphosphomethylpyrimidine	c
ahtd	7,8-dihydroneopterin 3'-triphosphate	c
ahtd	7,8-dihydroneopterin 3'-triphosphate	m
aicar	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	c
air	5-amino-1-(5-phospho-D-ribosyl)imidazole	c
aka	2-oxoadipate	c
aka	2-oxoadipate	m
akg	2-oxoglutarate	c
akg	2-oxoglutarate	e
akg	2-oxoglutarate	m
akp	2-dehydropantoate	c
akp	2-dehydropantoate	m
ala	L-alanine	c
ala	L-alanine	e
ala	L-alanine	m
alagly	L-gamma-glutamyl-L-alanine	c
am6sa	2-aminomuconic 6-semialdehyde	c
