ID	NAMES	COMPARTMENT	MATCH	MODELSEED	MS NAMES
13glucan	1,3-beta-D-glucan	e	Y	cpd11791	1,3-beta-Glucan
13pdg	3-phospho-D-glyceroyl phosphate	c	Y	cpd00203	1,3-Bisphospho-D-glycerate
14glucan	1,4-alpha-D-glucan	c	Y	cpd11735	Amylose
14mnan	1,4-beta-D-mannan	c	Y	cpd12120	1,4-beta-D-Mannan
1dgali	Galactinol	e	Y	cpd00910	Galactinol
23gcar	2-Dehydro-3-deoxy-D-glucarate	c	Y	cpd02439	2-Dehydro-3-deoxy-D-glucarate
25dhba	2,5-Dihydroxybenzoate	c	Y	cpd00479	Gentisate
2d3dgalt	2-dehydro-3-deoxy-D-galactonate	c	Y	cpd00894	2-Dehydro-3-deoxy-D-galactonate
2ddglcn	2-Deoxy-D-gluconate	c	Y	cpd00176	2-keto-3-deoxygluconate
2mac	2-maleylacetate	c	Y	cpd01498	Maleylacetate
2maco	cis-2-Methylaconitate;(Z)-but-2-ene-1,2,3-tricarboxylate	m	Y	cpd02597	cis-2-Methylaconitate
2mcit	2-methylcitrate	m	Y	cpd01501	2-Methylcitrate
2micit	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate	m	Y	cpd02799	Methylisocitrate
2pg	2-phospho-D-glycerate	c	Y	cpd00482	2-Phospho-D-glycerate
3d2ddglcn	3-Dehydro-2-deoxy-D-gluconate	c	Y	cpd02441	3-Dehydro-2-deoxy-D-gluconate
3ddah7p	2-dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	c	Y	cpd02857	DAHP
3hba	3-hydroxybenzoate	c	Y	cpd00456	3-Hydroxybenzoate
3hpyr	3-hydroxypyruvate	c	Y	cpd00145	Hydroxypyruvate
3oa	3-oxoadipate	m	Y	cpd00630	3-Oxoadipate
3oacoa	3-oxoadipyl-CoA	m	Y	cpd11637	3-Oxoacyl-CoA
3pg	3-phospho-D-glycerate	c	Y	cpd00169	3-Phosphoglycerate
3pser	O-phospho-L-serine	c	Y	cpd00738	phosphoserine
3psme	5-O-(1-carboxyvinyl)-3-phosphoshikimate	c	Y	cpd00932	5-O--1-Carboxyvinyl-3-phosphoshikimate
3sulala	3-sulfino-L-alanine	c	Y	cpd00467	3-Sulfinoalanine
3sulpyr	3-Sulfinopyruvate	c	Y	cpd03284	3-Sulfinopyruvate
4hba	4-Hydroxybenzoate	m	Y	cpd15378	4-Hydroxy-benzylalcohol
4hppyr	4-Hydroxyphenylpyruvate	c	Y	cpd00868	p-hydroxyphenylpyruvate
4mop	4-methyl-2-oxopentanoate	m	Y	cpd00200	4MOP
54gcar	5-Dehydro-4-deoxy-D-glucarate	c	Y	cpd00515	5-Dehydro-4-deoxy-D-glucarate
5opro	5-oxo-L-proline	c	Y	cpd01293	5-Oxoproline
a6rp	5-amino-6-(D-ribitylamino)uracil	c	Y	cpd02882	4--1-D-Ribitylamino-5-aminouracil
a6rp5p	5-amino-6-(5-phosphoribosylamino)uracil	c	Y	cpd00931	5-Amino-6--5-phosphoribosylaminouracil
a6rp5p2	5-amino-6-(5'-phosphoribitylamino)uracil	c	Y	cpd02720	5-Amino-6--5-phosphoribitylaminouracil
aacacp	acetoacetyl-[acp]	c	Y	cpd11488	Acetoacetyl-ACP
aaccoa	acetoacetyl-CoA	m	Y	cpd00279	Acetoacetyl-CoA
aaproa	3-Acetamidopropanal	c	Y	cpd19440	3-Acetamidopropanal
abee	4-aminobenzoate	c	Y	cpd00443	ABEE
abut	(S)-2-Aceto-2-hydroxybutanoate	m	Y	cpd00498	2-Aceto-2-hydroxybutanoate
ac	acetate	m	Y	cpd00029	Acetate
