ID	NAMES	EQUATION	TRANSPORT	ADJUSTED	MATCH	COMPLETE	MODELSEED	MS DEFINITION
Biomass	Biomass deduced	(0.90068) 13glucan(cpd11791)[0] (0.22294) ala(cpd00035)[0] (0.16063) arg(cpd00051)[0] (0.08887) asn(cpd00132)[0] (0.14613) asp(cpd00041)[0] (71.4) atp(cpd00002)[0] (0.26575) chit(cpd11683)[0] (0.02091) ctp(cpd00052)[0] (0.03297) cys(cpd00084)[0] (0.00398) datp(cpd00115)[0] (0.00431) dctp(cpd00356)[0] (0.00431) dgtp(cpd00241)[0] (0.00398) dttp(cpd00357)[0] (0.03153) ffa[0] (0.076) gl(cpd00100)[0] (0.10126) gln(cpd00053)[0] (0.15371) glu(cpd00023)[0] (0.17484) gly(cpd00033)[0] (0.0015) glycogen(cpd00155)[0] (0.03051) gtp(cpd00038)[0] (71.4) h2o(cpd00001)[0] (0.06317) his(cpd00119)[0] (0.12286) ile(cpd00322)[0] (0.23243) leu(cpd00107)[0] (0.1126) lys(cpd00039)[0] (0.05566) met(cpd00060)[0] (0.3348) mnt(cpd03200)[0] (0.02264) paa[0] (0.07966) pc[0] (0.03399) pe[0] (0.09533) phe(cpd00066)[0] (0.15713) pro(cpd00129)[0] (0.01378) ps(cpd11455)[0] (0.2067) ser(cpd00054)[0] (0.06168) tagly[0] (0.15021) thr(cpd00161)[0] (0.03822) trp(cpd00065)[0] (0.07351) tyr(cpd00069)[0] (0.02795) utp(cpd00062)[0] (0.16131) val(cpd00156)[0] => (71.4) adp(cpd00008)[0] (71.4) h(cpd00067)[0] (71.4) pi(cpd00009)[0]	N	N	N	N	frxn00001	
cyto-c	cytochrome-c oxidase	(2) fero(cpd00110)[0] (6) h(cpd00067)[0] (0.5) o2(cpd00007)[0] => (2) feri(cpd00109)[0] h2o(cpd00001)[0] (4) h(cpd00067)[1]	Y	N	Y	Y	rxn10043	(0.5) O2[0] + (6) H+[0] + (2) Cytochrome c2+[0] <=> (1) H2O[0] + (4) H+[1] + (2) Cytochrome c3+[0]
etf-qo	Electron-transferring-flavoprotein dehydrogenase	fadh2(cpd00982)[0] q(cpd11669)[0] => fad(cpd00015)[0] h(cpd00067)[0] qh2(cpd11665)[0]	N	N	Y	Y	rxn12212	(1) FADH2[0] + (1) Q[0] <=> (1) FAD[0] + (1) QH2[0]
f-atpase	ATP synthesis(F type), H+-transporting two-sector ATPase	adp(cpd00008)[0] (4.7) h(cpd00067)[1] pi(cpd00009)[0] => atp(cpd00002)[0] h2o(cpd00001)[0] (4.7) h(cpd00067)[0]	Y	N	N	Y	frxn00002	
h-atpase	H+-exporting ATPase	atp(cpd00002)[0] h2o(cpd00001)[0] (3) h(cpd00067)[0] => adp(cpd00008)[0] (4) h(cpd00067)[1] pi(cpd00009)[0]	Y	N	Y	Y	rxn08173	(1) ADP[0] + (1) Phosphate[0] + (4) H+[1] => (1) H2O[0] + (1) ATP[0] + (3) H+[0]
nadh-q_cyto	NADH-ubiquinone oxidoreductase	(5) h(cpd00067)[0] nadh(cpd00004)[1] q(cpd11669)[0] => (4) h(cpd00067)[1] nad(cpd00003)[1] qh2(cpd11665)[0]	Y	N	N	Y	frxn00003	
nadh-q_cyto_alter	alternative NADH dehydrogenase 	h(cpd00067)[0] nadh(cpd00004)[0] q(cpd11669)[1] => nad(cpd00003)[0] qh2(cpd11665)[1]	Y	N	N	Y	frxn00004	
nadh-q_mito	NADH-ubiquinone oxidoreductase (respirer chain), complex I	(5) h(cpd00067)[0] nadh(cpd00004)[0] q(cpd11669)[0] => (4) h(cpd00067)[1] nad(cpd00003)[0] qh2(cpd11665)[0]	Y	N	N	Y	frxn00005	
nadh-q_mito_alter	alternative NADH dehydrogenase 	h(cpd00067)[0] nadh(cpd00004)[0] q(cpd11669)[0] => nad(cpd00003)[0] qh2(cpd11665)[0]	N	N	Y	Y	rxn06108	(1) NAD[0] + (1) QH2[0] <= (1) NADH[0] + (1) H+[0] + (1) Q[0]
oxids_alte	alternative oxidase	(0.5) o2(cpd00007)[0] qh2(cpd11665)[0] => h2o(cpd00001)[0] q(cpd11669)[0]	N	N	N	Y	frxn00006	
