ID	EQUATION
10000	(1) 15377[0] + (1) 16459[0] <=> (1) 28938[0] + (1) 31011[0]
10001	(1) 15377[0] + (1) 16459[0] <=> (1) 28938[0] + (1) 31011[0]
10002	(1) 15377[0] + (1) 16459[0] <=> (1) 28938[0] + (1) 31011[0]
10003	(1) 15377[0] + (1) 16459[0] <=> (1) 28938[0] + (1) 31011[0]
10004	(1) 17484[0] <=> (1) 16017[0]
10005	(1) 17484[0] <=> (1) 16017[0]
10006	(1) 17484[0] <=> (1) 16017[0]
10007	(1) 17484[0] <=> (1) 16017[0]
10008	(1) GENERIC:10594[0] + (1) 35924[0] <=> (1) GENERIC:10593[0] + (1) 15377[0] + (1) 30879[0]
10009	(1) GENERIC:10594[0] + (1) 35924[0] <=> (1) GENERIC:10593[0] + (1) 15377[0] + (1) 30879[0]
10010	(1) GENERIC:10594[0] + (1) 35924[0] <=> (1) GENERIC:10593[0] + (1) 15377[0] + (1) 30879[0]
10011	(1) GENERIC:10594[0] + (1) 35924[0] <=> (1) GENERIC:10593[0] + (1) 15377[0] + (1) 30879[0]
10012	(1) 15377[0] + (1) 15379[0] + (1) 58413[0] <=> (1) 16240[0] + (1) 58682[0]
10013	(1) 15377[0] + (1) 15379[0] + (1) 58413[0] <=> (1) 16240[0] + (1) 58682[0]
10014	(1) 15377[0] + (1) 15379[0] + (1) 58413[0] <=> (1) 16240[0] + (1) 58682[0]
10015	(1) 15377[0] + (1) 15379[0] + (1) 58413[0] <=> (1) 16240[0] + (1) 58682[0]
10016	(1) 15377[0] + (1) 16353[0] <=> (1) 15354[0] + (1) 30023[0] + (1) 15378[0]
10017	(1) 15377[0] + (1) 16353[0] <=> (1) 15354[0] + (1) 30023[0] + (1) 15378[0]
10018	(1) 15377[0] + (1) 16353[0] <=> (1) 15354[0] + (1) 30023[0] + (1) 15378[0]
10019	(1) 15377[0] + (1) 16353[0] <=> (1) 15354[0] + (1) 30023[0] + (1) 15378[0]
10020	(1) 58349[0] + (1) 15377[0] + (1) 57951[0] <=> (1) 58321[0] + (1) 57783[0] + (1) 29985[0] + (1) 15378[0]
10021	(1) 58349[0] + (1) 15377[0] + (1) 57951[0] <=> (1) 58321[0] + (1) 57783[0] + (1) 29985[0] + (1) 15378[0]
10022	(1) 58349[0] + (1) 15377[0] + (1) 57951[0] <=> (1) 58321[0] + (1) 57783[0] + (1) 29985[0] + (1) 15378[0]
10023	(1) 58349[0] + (1) 15377[0] + (1) 57951[0] <=> (1) 58321[0] + (1) 57783[0] + (1) 29985[0] + (1) 15378[0]
10024	(1) GENERIC:9845[0] + (1) 59789[0] <=> (1) 15378[0] + (1) 57856[0] + (1) GENERIC:9846[0]
10025	(1) GENERIC:9845[0] + (1) 59789[0] <=> (1) 15378[0] + (1) 57856[0] + (1) GENERIC:9846[0]
10026	(1) GENERIC:9845[0] + (1) 59789[0] <=> (1) 15378[0] + (1) 57856[0] + (1) GENERIC:9846[0]
10027	(1) GENERIC:9845[0] + (1) 59789[0] <=> (1) 15378[0] + (1) 57856[0] + (1) GENERIC:9846[0]
10028	(1) 29986[0] + (1) 15377[0] + (1) 15379[0] <=> (1) 28938[0] + (1) 16810[0] + (1) 16240[0]
10029	(1) 29986[0] + (1) 15377[0] + (1) 15379[0] <=> (1) 28938[0] + (1) 16810[0] + (1) 16240[0]
10030	(1) 29986[0] + (1) 15377[0] + (1) 15379[0] <=> (1) 28938[0] + (1) 16810[0] + (1) 16240[0]
10031	(1) 29986[0] + (1) 15377[0] + (1) 15379[0] <=> (1) 28938[0] + (1) 16810[0] + (1) 16240[0]
10032	(1) 15377[0] + (1) GENERIC:14703[0] <=> (1) 28938[0] + (1) GENERIC:14704[0]
10033	(1) 15377[0] + (1) GENERIC:14703[0] <=> (1) 28938[0] + (1) GENERIC:14704[0]
10034	(1) 15377[0] + (1) GENERIC:14703[0] <=> (1) 28938[0] + (1) GENERIC:14704[0]
10035	(1) 15377[0] + (1) GENERIC:14703[0] <=> (1) 28938[0] + (1) GENERIC:14704[0]
10036	(1) 15379[0] + (1) 18353[0] <=> (1) 18346[0] + (1) 16240[0]
10037	(1) 15379[0] + (1) 18353[0] <=> (1) 18346[0] + (1) 16240[0]
10038	(1) 15379[0] + (1) 18353[0] <=> (1) 18346[0] + (1) 16240[0]
10039	(1) 15379[0] + (1) 18353[0] <=> (1) 18346[0] + (1) 16240[0]
10040	(1) 58343[0] + (1) 15377[0] <=> (1) 456215[0] + (1) 43474[0]
