cpd00806	C6H12O8P	C6H11O8P
cpd00807	C6H12N3O4P	C6H11N3O4P
cpd00808	C5H10O8P	C5H9O8P
cpd00809	C4H9NO6P	C4H8NO6P
cpd00810	C10H11N2O11P	C10H10N2O11P
cpd00812	C6H11O7P	C6H10O7P
cpd00817	C5H10O8P	C5H9O8P
cpd00818	C6H12O9P	C6H11O9P
cpd00824	C18H40NO5P	C18H39NO5P
cpd00831	C6H12O8P	C6H11O8P
cpd00834	C11H22N2O7PS	C11H21N2O7PS
cpd00842	C25H39N7O18P3S	C25H38N7O18P3S
cpd00851	C5H8NO3	C5H9NO3
cpd00859	C9H12N2O9P	C9H11N2O9P
cpd00863	C6H12O9P	C6H11O9P
cpd00867	C6H12O9P	C6H11O9P
cpd00871	C5H10O11P2	C5H8O11P2
cpd00873	C11H13NO9P	C11H12NO9P
cpd00880	C6H9O10P	C6H8O10P
cpd00888	C3H10NO4P	C3H9NO4P
cpd00891	C25H36N7O19P3S	C25H35N7O19P3S
cpd00905	C10H13N5O17P4	C10H12N5O17P4
cpd00911	C6H10O9P	C6H9O9P
cpd00930	C6H8N2O5P	C6H7N2O5P
cpd00931	C9H14N4O9P	C9H13N4O9P
cpd00932	C10H10O10P	C10H9O10P
cpd00945	C6H9O9P	C6H8O9P
cpd00956	C12H14NO9P	C12H13NO9P
cpd00957	C9H15N5O8P	C9H14N5O8P
cpd00988	C10H13N5O7P	C10H12N5O7P
cpd00989	C9H12N2O9P	C9H11N2O9P
cpd01048	HO4As	AsHO4
cpd01092	C4H6N4O3	C4H5N4O3
cpd01260	C33H55N7O17P3S	C33H54N7O17P3S
cpd01270	C17H22N4O9P	C17H21N4O9P
cpd01335	C29H47N7O17P3S	C29H46N7O17P3S
cpd01449	C35H33N4O5Mg	C35H32N4O5.Mg
cpd01507	C27H38N7O20P3S	C27H42N7O20P3S
cpd01557	C25H37N7O17P3S	C25H36N7O17P3S
cpd01567	C4H6N4O3	C4H5N4O3
cpd01620	C42H40N4O16	C42H41N4O16
cpd01662	C4H8O5P	C4H7O5P
cpd01665	C3H7NO6P	C3H6NO6P
cpd01693	C12H22O14P	C12H21O14P
cpd01695	C35H59N7O17P3S	C35H58N7O17P3S
cpd01775	C15H21N5O20P4	C15H20N5O20P4
cpd01777	C15H21N5O14P2	C15H19N5O14P2
cpd01844	C3H6O5P	C3H5O5P
cpd01845	C35H30N4O5Mg	C35H30N4O5.Mg
cpd01850	C6H12O9P	C6H11O9P
cpd01882	C26H41N7O17P3S	C26H40N7O17P3S
