cpd16307	C42H72O39P	noformula
cpd07097	C15H10O4	C15H9O4
cpd08029	C8H8O2Hg	C6H4.C2H4O2.Hg
cpd08028	C2O2Cl3	C2Cl3O2
cpd00782	C28H42N7O19P3S	C28H41N7O19P3S
cpd00783	C19H26N4O16PR	C19H28N4O16PR
cpd01971	C8H6O2Br	C8H6BrO2
cpd00786	C5H12O8P	C5H11O8P
cpd03384	C21H41N2O5PR	C21H42N2O5PR
cpd11601	C26H36O24*2	(C26H36O24)n
cpd11603		C7H14O6
cpd11602	C12H22O11	C6H12O6(C6H10O5)n
cpd17810	C17H35N5O6	C17H39N5O6
cpd04247	C16H18N3O4S	C16H19N3O4S
cpd04245	C16H16N3O4S	C16H17N3O4S
cpd11710	C7H14N5O2R2	C7H13N5O2R2
cpd15186	C7H6O4F	C7H6FO4
cpd14499		noformula
cpd00146	CH3NO5P	CH2NO5P
cpd00148	C5H9O7PR	C5H10O7PR
cpd07099	C82H51O52	C82H53O52
cpd09375	H2N3O9Bi	Bi.H2NO3.N2O6
cpd11716	C14H21NO14S*2	(C14H21NO14S)n
cpd18034	C10H20O7P2	C10H18O7P2
cpd11862	C12H18O9*2	(C12H18O9)n
cpd05123	C12H10N3O4F3	C12H10F3N3O4
cpd00760	C26H41N7O17P3S	C26H40N7O17P3S
cpd00766	C6H5O6	C6H7O6
cpd09316	C6H7O2Cl	C6H7ClO2
cpd09314	C6H2O5Cl2	C6H2Cl2O5
cpd09315	C6H5O5Cl	C6H5ClO5
cpd09312	C6HO4Cl3	C6HCl3O4
cpd09313	C6HO4Cl2	C6HCl2O4
cpd09310	C6H3O2Cl3	C6H2Cl3O2
cpd09311	C6H5O2Cl3	C6H5Cl3O2
cpd08152	C33H38N4O6	C33H39ClN4O6
cpd08151	C14H15N3O2Cl2	C14H15Cl2N3O2
cpd12225	CH3RS2	C8H16NORS2
cpd09475	C15H15O2Br	C15H15BrO2
cpd02656	C13H18N4O6	C13H17N4O6
cpd09474	C15H14O2Br2	C15H14Br2O2
cpd11469	C23H41N2O8PRS	C12H21ORS
cpd11468	C23H43N2O8PRS	C12H23ORS
cpd01148	C10H15N6O6P	C10H14N6O6P
cpd11465	C15H25N2O8PRS	C4H5ORS
cpd11464	C15H27N2O8PRS	C4H7ORS
cpd11467	C25H45N2O8PRS	C14H25ORS
cpd11466	C25H47N2O8PRS	C14H27ORS
cpd01143	C25H32N2O6	C25H33N2O6
cpd11463	C4H5N2O3R2	C2H4NO2R(C2H2NOR)n
cpd05568	C36H46N2O10	C36H47N2O10
cpd10646	C20H11NO2Cl2	C20H11Cl2NO2
cpd00497	C10H12N4O9P	C10H11N4O9P
cpd11269	C35H36N3O5F3	C35H36F3N3O5
cpd10397	C10H6OCl6	C10H6Cl6O
cpd10390	CHClBr2	CHBr2Cl
cpd00493	C8H13N2O5P	C8H12N2O5P
cpd00491	C6H14O9P	C6H13O9P
cpd11263	C48H77N7O21P3S	C48H76N7O21P3S
cpd11262	C48H77N7O20P3S	C48H76N7O20P3S
cpd10398	C4H6OClF3	C4H6ClF3O
cpd11266	C14H13N3O2SCl	C14H13ClN3O2S
cpd02223	C17H20O10	C17H18O11
cpd11264	C15H10O3	C15H9O3
cpd05142	Br	C12H19BrN2O2
cpd12885	C9H9NO4RS	C9H10NO4RS
cpd09191	C18H11NO4	C20H12NO6R
cpd09172	C21H16O7	C21H17O7
cpd09173	C21H14O8	C21H15O8
cpd03913	C45H58N6O12	C45H60N6O12
