ID	AraCyc	EcoCyc	KEGG	MetaCyc	PlantCyc
rxn00065	null	null	rn00230	null	null
rxn00068	Degradation|Noncarbon-Nutrients|PWY-5934	null	null	Biosynthesis|Degradation|Ethylene-Biosynthesis|HORMONE-SYN|Noncarbon-Nutrients|PWY-5934|PWY-6854|Plant-Hormone-Biosynthesis	PWY-5934|Transport-Pathways
rxn00069	Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLUGLNSYN-PWY|GLUTAMATE-SYN|IND-AMINO-ACID-SYN|NITROGEN-DEG|Noncarbon-Nutrients|PWY-3282|PWY-6963	null	rn00250|rn00910	Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLUGLNSYN-PWY|GLUTAMATE-SYN|GLUTAMINE-SYN|IND-AMINO-ACID-SYN|Metabolic-Clusters|NITROGEN-DEG|Noncarbon-Nutrients|PWY-3282|PWY-5505|PWY-6963	Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLUGLNSYN-PWY|GLUTAMATE-SYN|IND-AMINO-ACID-SYN|NITROGEN-DEG|Noncarbon-Nutrients|Other-Degradation|PWY-3282|PWY-6963|PWY4LZ-283|PWY4LZ-81
rxn00071	null	null	rn00053	COFACTOR-DEGRADATION|Degradation|PWY-6370	null
rxn00072	null	null	rn00860	null	null
rxn00074	null	null	rn00860	null	null
rxn00076	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5381	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PYRIDNUCSAL-PWY	rn00760	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-II|NAD-Metabolism|NAD-SYN|PWY-3502|PWY-5381|PYRIDNUCSAL-PWY	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5381
rxn00077	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NADPHOS-DEPHOS-PWY	rn00760	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NADPHOS-DEPHOS-PWY|PWY-5083	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083
rxn00078	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083	null	null	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5083
rxn00080	null	null	rn00860	null	null
