ID	AraCyc	EcoCyc	KEGG	MetaCyc	PlantCyc
rxn00888	Biosynthesis|Carbohydrates-Biosynthesis|Oligosaccharides-Biosynthesis|PWY-5337	null	rn00052	Biosynthesis|Carbohydrates-Biosynthesis|Oligosaccharides-Biosynthesis|PWY-5337	Biosynthesis|Carbohydrates-Biosynthesis|Oligosaccharides-Biosynthesis|PWY-5337
rxn00890	null	null	rn00052	null	null
rxn00891	null	null	rn00520	null	null
rxn00892	null	null	rn00520	null	null
rxn00895	null	null	rn00520	null	null
rxn00897	null	null	rn00520	null	null
rxn00898	null	null	rn00770	null	null
rxn00899	null	null	null	Amino-Acid-Degradation|Degradation|VALDEG-PWY|VALINE-DEG	Amino-Acid-Degradation|Degradation|VALDEG-PWY|VALINE-DEG
rxn00900	null	null	rn00770	null	null
rxn00901	null	null	rn00280	null	null
rxn00902	null	Amino-Acid-Biosynthesis|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|IND-AMINO-ACID-SYN|LEUCINE-SYN|LEUSYN-PWY	rn00290|rn00620	Amino-Acid-Biosynthesis|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|Energy-Metabolism|IND-AMINO-ACID-SYN|LEUCINE-SYN|LEUSYN-PWY|PWY-6871	Amino-Acid-Biosynthesis|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|IND-AMINO-ACID-SYN|LEUCINE-SYN|LEUSYN-PWY
rxn00903	null	ALANINE-SYN|ALANINE-VALINESYN-PWY|Amino-Acid-Biosynthesis|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|IND-AMINO-ACID-SYN|PWY0-1061|VALINE-BIOSYNTHESIS|VALSYN-PWY	rn00280|rn00290|rn00770|rn00966	ALANINE-SYN|ALANINE-VALINESYN-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|PWY-5057|PWY0-1061|VALDEG-PWY|VALINE-BIOSYNTHESIS|VALINE-DEG|VALSYN-PWY	AMINO-ACID-FAMILY-SYN|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|Degradation|ILE-VAL-PWY|IND-AMINO-ACID-SYN|VALDEG-PWY|VALINE-BIOSYNTHESIS|VALINE-DEG|VALSYN-PWY
rxn00904	null	ALANINE-SYN|ALANINE-VALINESYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PWY0-1061	rn00290	ALANINE-SYN|ALANINE-VALINESYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PWY0-1061	null
rxn00906	null	null	rn00670	Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|PWY-2201|Vitamin-Biosynthesis	null
rxn00907	Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|PWY-3841|Vitamin-Biosynthesis	1CMET2-PWY|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|Vitamin-Biosynthesis	rn00670|rn00720	1CMET2-PWY|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CO2-Fixation|CODH-PWY|Carbohydrates-Biosynthesis|Cofactor-Biosynthesis|Degradation|Folate-Biosynthesis|Formaldehyde-Oxidation|Gluconeogenesis|NUCLEO-DEG|PWY-1722|PWY-1882|PWY-2201|PWY-3841|PWY-5497|PWY-6142|PWY-6146|Purine-Degradation|Vitamin-Biosynthesis	Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|PWY-3841|Vitamin-Biosynthesis
rxn00908	null	1CMET2-PWY|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|Vitamin-Biosynthesis	rn00630|rn00910	1CMET2-PWY|Amino-Acid-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|Energy-Metabolism|Folate-Biosynthesis|GLYCINE-SYN|GLYCINE-SYN2-PWY|IND-AMINO-ACID-SYN|PWY-181|PWY-2201|PWY-3841|Photosynthesis|Vitamin-Biosynthesis	Biosynthesis|Cofactor-Biosynthesis|Energy-Metabolism|Folate-Biosynthesis|PWY-181|PWY-3841|PWY4LZ-235|Photosynthesis|Vitamin-Biosynthesis
rxn00910	null	null	rn00670|rn00680	null	null
rxn00911	null	null	rn00670	null	null
rxn00912	Biosynthesis|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTO-PWY|PWY-4221ARA|Pantothenate-Biosynthesis|Vitamin-Biosynthesis	Biosynthesis|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTO-PWY|PANTOSYN-PWY|Pantothenate-Biosynthesis|Vitamin-Biosynthesis	rn00770	Biosynthesis|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTO-PWY|PANTOSYN-PWY|PWY-4221|PWY-6654|Pantothenate-Biosynthesis|Vitamin-Biosynthesis	Biosynthesis|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTO-PWY|PWY-4221|PWY-4221ARA|Pantothenate-Biosynthesis|Vitamin-Biosynthesis
rxn00913	AROMATIC-COMPOUNDS-DEGRADATION|Degradation|Guanosine-Nucleotides-Degradation|NUCLEO-DEG|P165-PWY|PWY-5044|PWY-6595|PWY-6606|PWY-6607|Purine-Degradation|Urate-Degradation	Degradation|Guanosine-Nucleotides-Degradation|NUCLEO-DEG|PWY-6608|Purine-Degradation	rn00230	AROMATIC-COMPOUNDS-DEGRADATION|Degradation|Guanosine-Nucleotides-Degradation|NUCLEO-DEG|P165-PWY|PWY-5044|PWY-6353|PWY-6595|PWY-6606|PWY-6607|PWY-6608|Purine-Degradation|Urate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION|Degradation|Guanosine-Nucleotides-Degradation|NUCLEO-DEG|P165-PWY|PWY-5044|PWY-6595|PWY-6606|PWY-6607|Purine-Degradation|Urate-Degradation
rxn00914	Biosynthesis|Guanine-Guanosine-Salvage|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6618|Purine-Nucleotides-Salvage	Biosynthesis|Guanine-Guanosine-Salvage|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-6579|PWY-6618|Purine-Nucleotides-Salvage	rn00230	Biosynthesis|Guanine-Guanosine-Salvage|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6579|PWY-6618|Purine-Nucleotides-Salvage	Biosynthesis|Guanine-Guanosine-Salvage|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6618|Purine-Nucleotides-Salvage
rxn00915	Biosynthesis|Guanine-Guanosine-Salvage|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6599|Purine-Nucleotides-Salvage	Biosynthesis|Guanine-Guanosine-Salvage|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-6579|PWY-6620|Purine-Nucleotides-Salvage	rn00230	Biosynthesis|Guanine-Guanosine-Salvage|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PUR-NUC-SYN|PWY-5043|PWY-6579|PWY-6599|PWY-6620|PYR-NUC-SYN|Purine-Nucleotides-Salvage	Biosynthesis|Guanine-Guanosine-Salvage|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6599|Purine-Nucleotides-Salvage
rxn00916	null	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6125|Purine-Nucleotide-De-Novo-Biosynthesis	rn00230	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6125|Purine-Nucleotide-De-Novo-Biosynthesis	null
rxn00917	Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-841|Purine-Nucleotide-De-Novo-Biosynthesis	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6125|Purine-Nucleotide-De-Novo-Biosynthesis	rn00230	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6125|PWY-841|Purine-Nucleotide-De-Novo-Biosynthesis	Biosynthesis|DENOVOPURINE3-PWY|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-841|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00918	null	null	rn00230	null	null
rxn00919	null	null	rn00500	null	null
rxn00920	null	null	rn00230	null	null
rxn00921	null	null	rn00627	null	null
rxn00926	null	null	rn00230	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-6610|Purine-Nucleotides-Salvage	Degradation|Other-Degradation|PWY4LZ-81
rxn00927	null	null	rn00230	null	null
rxn00928	null	null	rn00330	null	null
rxn00929	ARG-PRO-PWY|ARGININE-DEG|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|PROLINE-SYN|PROSYN-PWY|PWY-3341	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PROLINE-SYN|PROSYN-PWY	rn00330	ARG-PRO-PWY|ARGININE-DEG|ARGORNPROST-PWY|Activation-Inactivation-Interconversion|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|Interconversion|PROLINE-SYN|PROSYN-PWY|PWY-3341|PWY-4981|PWY-6344	ARG-PRO-PWY|ARGININE-DEG|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|PROLINE-SYN|PROSYN-PWY|PWY-3341|PWY4LZ-7318
rxn00930	null	null	rn00330	null	null
rxn00931	ARG-PRO-PWY|ARGININE-DEG|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|PROLINE-SYN|PROSYN-PWY|PWY-3341	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PROLINE-SYN|PROSYN-PWY	rn00330	ARG-PRO-PWY|ARGININE-DEG|ARGORNPROST-PWY|Activation-Inactivation-Interconversion|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|Interconversion|PROLINE-SYN|PROSYN-PWY|PWY-3341|PWY-4981|PWY-6344	ARG-PRO-PWY|ARGININE-DEG|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|PROLINE-SYN|PROSYN-PWY|PWY-3341|PWY4LZ-7318
rxn00932	null	null	rn00330	null	null
rxn00933	null	null	rn00330	ARGORNPROST-PWY|Activation-Inactivation-Interconversion|Amino-Acid-Degradation|Degradation|Interconversion|PWY-6344	null
rxn00934	null	null	rn00630|rn00680	C1-COMPOUNDS|Degradation|Energy-Metabolism|Formaldehyde-Assimilation|PWY-1622|PWY-5741	null
rxn00935	null	null	rn00620	null	null
rxn00937	ASPARAGINE-SYN|ASPSYNII-PWY|Amino-Acid-Biosynthesis|Biosynthesis|Cyanide-Detoxification|Degradation|Detoxification|IND-AMINO-ACID-SYN|Other-Degradation	null	rn00460	ASPARAGINE-SYN|ASPSYNII-PWY|Amino-Acid-Biosynthesis|Biosynthesis|Cyanide-Detoxification|Degradation|Detoxification|IND-AMINO-ACID-SYN|Other-Degradation	ASPARAGINE-SYN|ASPSYNII-PWY|Amino-Acid-Biosynthesis|Biosynthesis|Cyanide-Detoxification|Degradation|Detoxification|IND-AMINO-ACID-SYN|Other-Degradation
rxn00938	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5381	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PYRIDNUCSAL-PWY	rn00760	AROMATIC-COMPOUNDS-DEGRADATION|Biosynthesis|Cofactor-Biosynthesis|Degradation|NAD-Metabolism|NAD-SYN|P345-PWY|PWY-3502|PWY-5381|PYRIDNUCSAL-PWY	AROMATIC-COMPOUNDS-DEGRADATION|Biosynthesis|Cofactor-Biosynthesis|Degradation|NAD-Metabolism|P345-PWY|PWY-5381
rxn00939	null	null	rn00760	null	null
rxn00940	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5381	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PYRIDNUCSAL-PWY	rn00760	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PWY-3502|PWY-5381|PYRIDNUCSAL-PWY	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|PWY-5381
rxn00941	null	null	rn00760	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-III|NAD-Metabolism|NAD-SYN	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-III|NAD-Metabolism|NAD-SYN
rxn00942	null	null	rn00760	null	null
rxn00943	null	null	rn00062|rn01040	null	null
rxn00945	null	null	rn00062	null	null
rxn00946	null	null	rn00071	null	null
rxn00947	Activation|Activation-Inactivation-Interconversion|Biosynthesis|Lipid-Biosynthesis|PWY-5143|PWY-6803	null	rn00071	Activation|Activation-Inactivation-Interconversion|Alkanes-Biosynthesis|Biosynthesis|Carbohydrates-Biosynthesis|Energy-Metabolism|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-5143|PWY-5885|PWY-5972|PWY-6803|PWY-6873|PWY-7033|Stearate-Biosynthesis	Activation|Activation-Inactivation-Interconversion|Alkanes-Biosynthesis|Biosynthesis|Carbohydrates-Biosynthesis|Lipid-Biosynthesis|PWY-5143|PWY-6803|PWY-7033
rxn00948	null	null	rn00600	Biosynthesis|Degradation|Fatty-Acid-and-Lipid-Degradation|Lipid-Biosynthesis|PWY-5129|PWY3DJ-12|SPHINGOLIPID-SYN-PWY	Biosynthesis|Lipid-Biosynthesis|PWY-5129
rxn00949	null	null	rn00920	null	null
rxn00950	null	null	rn00920	null	null
rxn00952	null	null	rn00270	Amino-Acid-Biosynthesis|Biosynthesis|CYSTEINE-SYN|IND-AMINO-ACID-SYN|METHIONINE-SYN|Other-Amino-Acid-Biosynthesis|PWY-5344|PWY-5345|PWY-6293|PWY-821	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PWY-5344
rxn00956	null	null	rn00480	null	null
rxn00957	null	null	rn00623|rn00627	4-HYDROXYMANDELATE-DEGRADATION-PWY|4-Hydroxybenzoate-Biosynthesis|AROMATIC-COMPOUNDS-BIOSYN|AROMATIC-COMPOUNDS-DEGRADATION|Biosynthesis|Degradation|PWY-2504|PWY-5181|PWY-5183|PWY-6431|PWY-6954|PWY-7046|Phenolic-Compounds-Degradation|TOLUENE-DEG|TOLUENE-DEG-4-OH-PWY	4-Hydroxybenzoate-Biosynthesis|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|PWY-6431
rxn00958	null	null	rn00623|rn00627	4-HYDROXYMANDELATE-DEGRADATION-PWY|AROMATIC-COMPOUNDS-DEGRADATION|Degradation|PWY-2504|PWY-6954|PWY-7046|Phenolic-Compounds-Degradation	null
rxn00959	null	null	rn00362|rn00627	null	null
rxn00960	null	null	rn00362	null	null
rxn00961	null	null	rn00362	null	null
rxn00962	null	null	rn00362	4-HYDROXYMANDELATE-DEGRADATION-PWY|AROMATIC-COMPOUNDS-DEGRADATION|CHLORINATED-COMPOUNDS-DEG|Chloroaromatic-Compounds-Degradation|Chlorobenzoate-Degradation|Degradation|PWY-2504|PWY-5181|PWY-5183|PWY-6215|PWY-6954|TOLUENE-DEG|TOLUENE-DEG-4-OH-PWY	null
rxn00963	null	null	rn00362	null	null
rxn00964	null	null	rn00362|rn00627	AROMATIC-COMPOUNDS-DEGRADATION|BENZCOA-PWY|Degradation|PHENOLDEG-PWY|PWY-7046|Phenol-Degradation|Phenolic-Compounds-Degradation	null
rxn00965	4-Hydroxybenzoate-Biosynthesis|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|PWY-5754|PWY-6435	null	rn00130|rn00362	4-Hydroxybenzoate-Biosynthesis|AROMATIC-COMPOUNDS-BIOSYN|AROMATIC-COMPOUNDS-DEGRADATION|Biosynthesis|CHLORINATED-COMPOUNDS-DEG|Chloroaromatic-Compounds-Degradation|Chlorobenzoate-Degradation|Degradation|PWY-5754|PWY-6215|PWY-6435|PWY3O-1109	4-Hydroxybenzoate-Biosynthesis|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|PWY-6435
rxn00966	null	4-Hydroxybenzoate-Biosynthesis|ALL-CHORISMATE-PWY|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|Cofactor-Biosynthesis|PWY-5755|Quinone-Biosynthesis|UBISYN-PWY|Ubiquinone-Biosynthesis	rn00130	4-Hydroxybenzoate-Biosynthesis|ALL-CHORISMATE-PWY|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|Cofactor-Biosynthesis|PWY-5755|PWY-5870|PWY3O-1109|Quinone-Biosynthesis|UBISYN-PWY|Ubiquinone-Biosynthesis	null
rxn00967	null	null	rn00130	null	null
rxn00968	null	null	rn00363	null	null
rxn00970	null	null	rn00360	null	null
rxn00971	null	null	rn00720	Autotrophic-CO2-Fixation|C1-COMPOUNDS|CO2-Fixation|Degradation|PWY-5392|Reductive-TCA-Cycles	null
rxn00974	Amino-Acid-Biosynthesis|Biosynthesis|Energy-Metabolism|GLUTAMINE-SYN|GLYOXYLATE-BYPASS|IND-AMINO-ACID-SYN|PWY-5464|PWY-561|PWY-5690|PWY-6549|PWYQT-4481|TCA-VARIANTS	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXYLATE-BYPASS|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS	rn00020|rn00630|rn00720	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Amino-Acid-Biosynthesis|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CO2-Fixation|Carbohydrates-Biosynthesis|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLUTAMINE-SYN|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXYLATE-BYPASS|IND-AMINO-ACID-SYN|P105-PWY|P23-PWY|PWY-5392|PWY-5464|PWY-561|PWY-5690|PWY-5750|PWY-5913|PWY-6549|PWY-6728|PWY-6969|REDCITCYC|Reductive-TCA-Cycles|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS	Amino-Acid-Biosynthesis|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CO2-Fixation|Degradation|Energy-Metabolism|GLUTAMINE-SYN|GLYOXYLATE-BYPASS|IND-AMINO-ACID-SYN|P23-PWY|PWY-5464|PWY-5464-PLANT|PWY-561|PWY-5690|PWY-6549|PWYQT-4481|Reductive-TCA-Cycles|TCA-VARIANTS
rxn00975	null	null	rn00051|rn00520	null	null
rxn00977	null	null	rn00052	null	null
rxn00979	null	Alcohol-Degradation|Carbohydrates-Degradation|D-Arabinose-Degradation|DARABCATK12-PWY|Degradation|GLYCOL-GLYOXDEG-PWY|PWY0-1280|Sugars-And-Polysaccharides	rn00630	Alcohol-Degradation|Carbohydrates-Degradation|D-Arabinose-Degradation|DARABCATK12-PWY|Degradation|GLYCOL-GLYOXDEG-PWY|PWY-5257|PWY0-1280|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides	null
rxn00980	null	null	rn00630	Energy-Metabolism|PWY-181|Photosynthesis	Energy-Metabolism|PWY-181|PWY4LZ-235|Photosynthesis
rxn00983	null	null	rn00561	null	null
rxn00985	null	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLYCINE-SYN|IND-AMINO-ACID-SYN|PWY-5437|THREOCAT-PWY|THREONINE-DEG	rn00640	Alcohol-Degradation|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLYCINE-SYN|IND-AMINO-ACID-SYN|PWY-5437|PWY-7013|THREOCAT-PWY|THREONINE-DEG	null
rxn00986	null	null	rn00640	null	null
rxn00987	null	null	rn00760	AROMATIC-COMPOUNDS-DEGRADATION|Degradation|Nicotinate-Degradation|PWY-5055|PWY-5062	null
rxn00988	null	null	rn00650	null	null
rxn00989	null	null	rn00650	Energy-Metabolism|PWY-6876	null
rxn00990	null	ACETOACETATE-DEG-PWY|Degradation|Fatty-Acid-and-Lipid-Degradation	rn00640	ACETOACETATE-DEG-PWY|Degradation|Energy-Metabolism|Fatty-Acid-and-Lipid-Degradation|Fermentation|PWY-6588|PWY-6594|PWY-6604|Pyruvate-Degradation	null
rxn00991	null	null	rn00072|rn00280|rn00650	Amino-Acid-Degradation|CARBOXYLATES-DEG|Degradation|Energy-Metabolism|LEU-DEG2-PWY|LEUCINE-DEG|OTHER-ENERGY|PWY-5074|PWY66-367	Amino-Acid-Degradation|Degradation|LEU-DEG2-PWY|LEUCINE-DEG
rxn00992	null	null	rn00072|rn00650	Energy-Metabolism|OTHER-ENERGY|PWY66-367|PWY66-368	null
rxn00993	Amino-Acid-Degradation|Degradation|TYRFUMCAT-PWY|TYROSINE-DEG	null	rn00350|rn00643	Amino-Acid-Degradation|Degradation|TYRFUMCAT-PWY|TYROSINE-DEG	Amino-Acid-Degradation|Degradation|TYRFUMCAT-PWY|TYROSINE-DEG
rxn00994	null	null	null	Amino-Acid-Degradation|Degradation|Energy-Metabolism|Fermentation|LYSINE-DEG|P163-PWY|PWY-5327|PWY-6588|PWY-6594|PWY-6604|PWY-7003|Pyruvate-Degradation	null
rxn00995	null	null	rn00072|rn00640	Acetone-Degradation|Degradation|Energy-Metabolism|Fatty-Acid-and-Lipid-Degradation|Fermentation|OTHER-ENERGY|PWY-5451|PWY-6588|PWY-6594|PWY-6604|PWY-6876|PWY66-367|Pyruvate-Degradation	null
rxn00996	null	null	rn00650	null	null
rxn00997	null	null	rn00360|rn00960	null	null
rxn00998	null	null	rn00360|rn00960	null	null
rxn00999	null	null	rn00360	Amino-Acid-Degradation|Degradation|PHENYLALANINE-DEG|PWY-6318	null
rxn01000	null	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|PHENYLALANINE-SYN|PHESYN	rn00400	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|PHENYLALANINE-SYN|PHESYN|PWY-6628	null
rxn01002	null	null	null	Amino-Acid-Degradation|Degradation|PWY-5081|TRYPTOPHAN-DEG	null
rxn01003	Amino-Acid-Degradation|Degradation|PHENYLALANINE-DEG|PWY-5079	null	rn00360	ANAPHENOXI-PWY|AROMATIC-COMPOUNDS-DEGRADATION|Amino-Acid-Degradation|BENZCOA-PWY|Degradation|PHENYLALANINE-DEG|PWY-5079	Amino-Acid-Degradation|Degradation|PHENYLALANINE-DEG|PWY-5079
rxn01004	null	null	rn00360	null	null
rxn01005	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|CYCLITOLS-DEG|Carbohydrates-Biosynthesis|Degradation|Interconversion|PWY-4841|PWY-5114|SECONDARY-METABOLITE-DEGRADATION|SUGAR-NUCLEOTIDES|Sugar-Derivatives|UDP-Sugar-Biosynthesis	null	rn00040|rn00053|rn00520	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|CYCLITOLS-DEG|Carbohydrates-Biosynthesis|Degradation|Interconversion|PWY-4841|PWY-5114|SECONDARY-METABOLITE-DEGRADATION|SUGAR-NUCLEOTIDES|Sugar-Derivatives	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|CYCLITOLS-DEG|Carbohydrates-Biosynthesis|Degradation|Interconversion|PWY-4841|PWY-5114|SECONDARY-METABOLITE-DEGRADATION|SUGAR-NUCLEOTIDES|Sugar-Derivatives
rxn01007	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Interconversion|PWY-4821|PWY-5114|SUGAR-NUCLEOTIDES|UDP-Sugar-Biosynthesis	null	rn00500|rn00520	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Interconversion|PWY-4821|PWY-5114|SUGAR-NUCLEOTIDES	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Interconversion|PWY-4821|PWY-5114|SUGAR-NUCLEOTIDES
rxn01008	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Interconversion|PWY-4861|PWY-5114|SUGAR-NUCLEOTIDES|UDP-Sugar-Biosynthesis	null	rn00500|rn00520	Activation-Inactivation-Interconversion|Ascorbate-Biosynthesis|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Cofactor-Biosynthesis|Interconversion|PWY-4861|PWY-5114|PWY-6415|SUGAR-NUCLEOTIDES|Vitamin-Biosynthesis	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Interconversion|PWY-4861|PWY-5114|SUGAR-NUCLEOTIDES
rxn01009	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Interconversion|PWY-5113|PWY-5114|Polysaccharides-Biosynthesis|SUGAR-NUCLEOTIDES|UDP-Sugar-Biosynthesis	null	rn00520	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Interconversion|PWY-5113|PWY-5114|Polysaccharides-Biosynthesis|SUGAR-NUCLEOTIDES	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Interconversion|PWY-5113|PWY-5114|Polysaccharides-Biosynthesis|SUGAR-NUCLEOTIDES
rxn01010	null	null	rn00520	null	null
rxn01011	null	null	rn00260|rn00630|rn00680	C1-COMPOUNDS|Degradation|Energy-Metabolism|Formaldehyde-Assimilation|PWY-1622|PWY-181|Photosynthesis	Energy-Metabolism|PWY-181|PWY4LZ-235|Photosynthesis
rxn01012	null	null	rn00630	null	null
rxn01013	null	null	rn00260|rn00630	C1-COMPOUNDS|Degradation|Formaldehyde-Assimilation|PWY-1622	Energy-Metabolism|PWY4LZ-235|Photosynthesis
rxn01014	null	null	rn00630	null	null
rxn01015	null	null	rn00630	null	null
rxn01016	null	null	rn00910	null	null
rxn01018	Biosynthesis|Nucleotide-Biosynthesis|PWY-5686|PWY0-162|PYR-NUC-SYN|Pyrimid-Ribonucleot-De-Novo-Biosyn|Pyrimidine-De-Novo-Biosyn	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5686|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn	rn00240|rn00250	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5686|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn	Biosynthesis|Nucleotide-Biosynthesis|PWY-5686|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
