id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd37684	MetaCyc:CPD-24575;ChEBI:137167	MetaCyc:CPD-24575;ChEBI:137167	MetaCyc:CPD-24575;ChEBI:137167	MetaCyc:CPD-24575;ChEBI:137167	MetaCyc:CPD-24575	MetaCyc:CPD-24575				
cpd37685	MetaCyc:CPD-25820;ChEBI:137172	MetaCyc:CPD-25820;ChEBI:137172	MetaCyc:CPD-25820;ChEBI:137172	MetaCyc:CPD-25820;ChEBI:137172	MetaCyc:CPD-25820	MetaCyc:CPD-25820				
cpd37686	ChEBI:137179	ChEBI:137179		ChEBI:137179						
cpd37687	ChEBI:137180	ChEBI:137180		ChEBI:137180						
cpd37688	ChEBI:137182@Charged	ChEBI:137182@Charged		ChEBI:137182@Charged						
cpd37689	ChEBI:137186@Charged	ChEBI:137186@Charged		ChEBI:137186@Charged						
cpd37690	ChEBI:137187	ChEBI:137187	ChEBI:137187	ChEBI:137187						
cpd37691	ChEBI:137207@Charged	ChEBI:137207@Charged		ChEBI:137207@Charged						
cpd37692	ChEBI:137320	ChEBI:137320	ChEBI:137320	ChEBI:137320						
cpd37693	ChEBI:137321@Charged	ChEBI:137321@Charged		ChEBI:137321@Charged						
cpd37694	MetaCyc:Protein-alpha-D-mannosyl-L-Thr@Charged;ChEBI:137323@Charged	MetaCyc:Protein-alpha-D-mannosyl-L-Thr@Charged;ChEBI:137323@Charged		MetaCyc:Protein-alpha-D-mannosyl-L-Thr@Charged;ChEBI:137323@Charged	MetaCyc:Protein-alpha-D-mannosyl-L-Thr	MetaCyc:Protein-alpha-D-mannosyl-L-Thr			MetaCyc:Protein-alpha-D-mannosyl-L-Thr@Charged	
cpd37695	ChEBI:137324	ChEBI:137324	ChEBI:137324	ChEBI:137324						
cpd37696										
cpd37697	ChEBI:137334	ChEBI:137334	ChEBI:137334	ChEBI:137334						
cpd37698	ChEBI:137357@Charged	ChEBI:137357@Charged		ChEBI:137357@Charged						
cpd37699	ChEBI:137373@Charged	ChEBI:137373@Charged	ChEBI:137373@Charged	ChEBI:137373@Charged						
cpd37700	ChEBI:137386	ChEBI:137386		ChEBI:137386						
cpd37701	ChEBI:137387	ChEBI:137387		ChEBI:137387						
cpd37702	ChEBI:137390	ChEBI:137390	ChEBI:137390	ChEBI:137390						
cpd37703	ChEBI:137391	ChEBI:137391	ChEBI:137391	ChEBI:137391						
cpd37704	ChEBI:137403	ChEBI:137403		ChEBI:137403						
cpd37705	MetaCyc:CPD-25481;ChEBI:137407	MetaCyc:CPD-25481;ChEBI:137407	MetaCyc:CPD-25481;ChEBI:137407	MetaCyc:CPD-25481;ChEBI:137407	MetaCyc:CPD-25481	MetaCyc:CPD-25481				
cpd37706	MetaCyc:CPD-25491;ChEBI:137408	MetaCyc:CPD-25491;ChEBI:137408	MetaCyc:CPD-25491;ChEBI:137408	MetaCyc:CPD-25491;ChEBI:137408	MetaCyc:CPD-25491	MetaCyc:CPD-25491				
cpd37707	MetaCyc:CPD-25492;ChEBI:137410	MetaCyc:CPD-25492;ChEBI:137410	MetaCyc:CPD-25492;ChEBI:137410	MetaCyc:CPD-25492;ChEBI:137410	MetaCyc:CPD-25492	MetaCyc:CPD-25492				
cpd37708	ChEBI:137411	ChEBI:137411	ChEBI:137411	ChEBI:137411						
cpd37709	ChEBI:137412	ChEBI:137412	ChEBI:137412	ChEBI:137412						
cpd37710	MetaCyc:CPD-24693;ChEBI:137442	MetaCyc:CPD-24693;ChEBI:137442	MetaCyc:CPD-24693;ChEBI:137442	MetaCyc:CPD-24693;ChEBI:137442	MetaCyc:CPD-24693	MetaCyc:CPD-24693				
cpd37711	ChEBI:137458	ChEBI:137458	ChEBI:137458	ChEBI:137458						
cpd37712	ChEBI:137459	ChEBI:137459	ChEBI:137459	ChEBI:137459						
cpd37713	ChEBI:137460	ChEBI:137460	ChEBI:137460	ChEBI:137460						
cpd37714	ChEBI:137461	ChEBI:137461	ChEBI:137461	ChEBI:137461						
cpd37715	ChEBI:137467	ChEBI:137467	ChEBI:137467	ChEBI:137467						
cpd37716	ChEBI:137469	ChEBI:137469	ChEBI:137469	ChEBI:137469						
cpd37717	ChEBI:137474	ChEBI:137474	ChEBI:137474	ChEBI:137474						
cpd37718	ChEBI:137475	ChEBI:137475	ChEBI:137475	ChEBI:137475						
cpd37719	ChEBI:137476	ChEBI:137476	ChEBI:137476	ChEBI:137476						
cpd37720	MetaCyc:CPD-24266;ChEBI:137497	MetaCyc:CPD-24266;ChEBI:137497	MetaCyc:CPD-24266;ChEBI:137497	MetaCyc:CPD-24266;ChEBI:137497	MetaCyc:CPD-24266	MetaCyc:CPD-24266				
cpd37721	MetaCyc:CPD-24267;ChEBI:137498	MetaCyc:CPD-24267;ChEBI:137498	MetaCyc:CPD-24267;ChEBI:137498	MetaCyc:CPD-24267;ChEBI:137498	MetaCyc:CPD-24267	MetaCyc:CPD-24267				
cpd37722	ChEBI:137521@Charged	ChEBI:137521@Charged	ChEBI:137521@Charged	ChEBI:137521@Charged						
cpd37723	ChEBI:137523	ChEBI:137523	ChEBI:137523	ChEBI:137523						
cpd37724	ChEBI:137524	ChEBI:137524	ChEBI:137524	ChEBI:137524						
cpd37725	ChEBI:137525	ChEBI:137525	ChEBI:137525	ChEBI:137525						
cpd37726	MetaCyc:Protein-GlcNAc-alpha-D-mannosyl-L-Thr@Charged;ChEBI:137540@Charged	MetaCyc:Protein-GlcNAc-alpha-D-mannosyl-L-Thr@Charged;ChEBI:137540@Charged		MetaCyc:Protein-GlcNAc-alpha-D-mannosyl-L-Thr@Charged;ChEBI:137540@Charged	MetaCyc:Protein-GlcNAc-alpha-D-mannosyl-L-Thr	MetaCyc:Protein-GlcNAc-alpha-D-mannosyl-L-Thr			MetaCyc:Protein-GlcNAc-alpha-D-mannosyl-L-Thr@Charged	
cpd37727	MetaCyc:CPD-24610;ChEBI:137542	MetaCyc:CPD-24610;ChEBI:137542	MetaCyc:CPD-24610;ChEBI:137542	MetaCyc:CPD-24610;ChEBI:137542	MetaCyc:CPD-24610	MetaCyc:CPD-24610				
cpd37728	ChEBI:137543	ChEBI:137543	ChEBI:137543	ChEBI:137543						
cpd37729	ChEBI:137546	ChEBI:137546	ChEBI:137546	ChEBI:137546						
cpd37730	ChEBI:137547	ChEBI:137547	ChEBI:137547	ChEBI:137547						
cpd37731	ChEBI:137549	ChEBI:137549	ChEBI:137549	ChEBI:137549						
cpd37732	ChEBI:13757	ChEBI:13757		ChEBI:13757						
cpd37733	ChEBI:137580	ChEBI:137580	ChEBI:137580	ChEBI:137580						
cpd37734	ChEBI:137581	ChEBI:137581	ChEBI:137581	ChEBI:137581						
cpd37735	ChEBI:137582	ChEBI:137582	ChEBI:137582	ChEBI:137582						
cpd37736	ChEBI:137583	ChEBI:137583	ChEBI:137583	ChEBI:137583						
cpd37737	ChEBI:137584	ChEBI:137584	ChEBI:137584	ChEBI:137584						
cpd37738	ChEBI:137585	ChEBI:137585	ChEBI:137585	ChEBI:137585						
cpd37739	ChEBI:137600	ChEBI:137600	ChEBI:137600	ChEBI:137600						
cpd37740	ChEBI:137663	ChEBI:137663	ChEBI:137663	ChEBI:137663						
cpd37741	ChEBI:137664	ChEBI:137664	ChEBI:137664	ChEBI:137664						
cpd37742	ChEBI:137667	ChEBI:137667		ChEBI:137667						
cpd37743	ChEBI:137668@Charged	ChEBI:137668@Charged	ChEBI:137668@Charged	ChEBI:137668@Charged						
cpd37744	ChEBI:137675	ChEBI:137675	ChEBI:137675	ChEBI:137675						
cpd37745	ChEBI:137687	ChEBI:137687	ChEBI:137687	ChEBI:137687						
cpd37746	ChEBI:137688	ChEBI:137688	ChEBI:137688	ChEBI:137688						
cpd37747	ChEBI:137724	ChEBI:137724	ChEBI:137724	ChEBI:137724						
cpd37748	ChEBI:137731	ChEBI:137731		ChEBI:137731						
cpd37749	ChEBI:137732	ChEBI:137732		ChEBI:137732						
cpd37750	ChEBI:137740	ChEBI:137740		ChEBI:137740						
cpd37751	ChEBI:137748	ChEBI:137748		ChEBI:137748						
cpd37752	MetaCyc:CPD-25826;ChEBI:137789	MetaCyc:CPD-25826;ChEBI:137789	MetaCyc:CPD-25826;ChEBI:137789	MetaCyc:CPD-25826;ChEBI:137789	MetaCyc:CPD-25826	MetaCyc:CPD-25826				
cpd37753	ChEBI:137796	ChEBI:137796	ChEBI:137796	ChEBI:137796@Charged						
cpd37754	ChEBI:137818	ChEBI:137818	ChEBI:137818	ChEBI:137818						
cpd37755	ChEBI:137820	ChEBI:137820	ChEBI:137820	ChEBI:137820						
cpd37756	ChEBI:137824	ChEBI:137824	ChEBI:137824	ChEBI:137824						
cpd37757	ChEBI:137830	ChEBI:137830	ChEBI:137830	ChEBI:137830						
cpd37758	ChEBI:137882	ChEBI:137882	ChEBI:137882	ChEBI:137882						
cpd37759	ChEBI:137886	ChEBI:137886	ChEBI:137886	ChEBI:137886						
cpd37760	ChEBI:137931	ChEBI:137931	ChEBI:137931	ChEBI:137931						
cpd37761	ChEBI:137933	ChEBI:137933		ChEBI:137933						
cpd37762	ChEBI:137941	ChEBI:137941		ChEBI:137941						
cpd37763	ChEBI:137942	ChEBI:137942		ChEBI:137942						
cpd37764	ChEBI:137950@Charged	ChEBI:137950@Charged		ChEBI:137950@Charged						
