id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd13044	KEGG:C07281@Charged	KEGG:C07281@Charged		KEGG:C07281@Charged	KEGG:C07281	KEGG:C07281	GC	KEGG:C07281@Charged	KEGG:C07281@Charged	
cpd13045	KEGG:C07282@Charged	KEGG:C07282@Charged		KEGG:C07282@Charged	KEGG:C07282	KEGG:C07282	GC	KEGG:C07282@Charged	KEGG:C07282@Charged	
cpd13046					KEGG:C07283	KEGG:C07283				
cpd13047										
cpd13048										
cpd13049										
cpd13050										
cpd13051										
cpd13052										
cpd13053										
cpd13054	MetaCyc:CPD-24362@Charged;MetaCyc:DIMETHYLARSINATE;KEGG:C07308@Charged;ChEBI:16223	MetaCyc:CPD-24362@Charged;MetaCyc:DIMETHYLARSINATE;KEGG:C07308@Charged;ChEBI:16223	MetaCyc:CPD-24362@Charged;MetaCyc:DIMETHYLARSINATE;KEGG:C07308@Charged;ChEBI:16223	MetaCyc:CPD-24362@Charged;MetaCyc:DIMETHYLARSINATE;KEGG:C07308@Charged;ChEBI:16223	KEGG:C07308		GC	MetaCyc:DIMETHYLARSINATE@Charged	MetaCyc:DIMETHYLARSINATE@Charged	
cpd13055	KEGG:C07314	KEGG:C07314		KEGG:C07314		KEGG:C07314	GC	KEGG:C07314@Charged	KEGG:C07314@Charged	
cpd13057	MetaCyc:CPD-7104;KEGG:C07351;ChEBI:133419	MetaCyc:CPD-7104;KEGG:C07351;ChEBI:133419	MetaCyc:CPD-7104;KEGG:C07351;ChEBI:133419	MetaCyc:CPD-7104;KEGG:C07351;ChEBI:133419	KEGG:C07351	KEGG:C07351	EQ	eQuilibrator:MNXM12640	MetaCyc:CPD-7104@Charged	eQuilibrator:MNXM12640
cpd13083	KEGG:C07487	KEGG:C07487	KEGG:C07487	KEGG:C07487	KEGG:C07487	KEGG:C07487	GC	KEGG:C07487@Charged	KEGG:C07487@Charged	eQuilibrator:MNXM64698
cpd13195										
cpd13196										
cpd13197										
cpd13198										
cpd13199										
cpd13218										
cpd13267	KEGG:C08037	KEGG:C08037		KEGG:C08037	KEGG:C08037		GC	KEGG:C08037@Charged	KEGG:C08037@Charged	
cpd13269						KEGG:C08043				
cpd13319										
cpd13332					KEGG:C08253	KEGG:C08253				
cpd13333					KEGG:C08721	KEGG:C08721				
cpd13334										
cpd13335										
cpd13336										
cpd13337										
cpd13338										
cpd13339										
cpd13340										
cpd13341										
cpd13342										
cpd13343										
cpd13345										
cpd13346										
cpd13347										
cpd13355						KEGG:C11205				
cpd13357					KEGG:C11244	KEGG:C11244				
cpd13361					KEGG:C11317	KEGG:C11317				
cpd13362	KEGG:C11334@Charged	KEGG:C11334@Charged		KEGG:C11334@Charged	KEGG:C11334	KEGG:C11334	GC	KEGG:C11334@Charged	KEGG:C11334@Charged	
cpd13363										
cpd13364	KEGG:C11439@Charged	KEGG:C11439@Charged		KEGG:C11439@Charged	KEGG:C11439	KEGG:C11439	GC	KEGG:C11439@Charged	KEGG:C11439@Charged	
cpd13365	KEGG:C11440@Charged	KEGG:C11440@Charged		KEGG:C11440@Charged	KEGG:C11440	KEGG:C11440	GC	KEGG:C11440@Charged	KEGG:C11440@Charged	
cpd13366										
cpd13367	KEGG:C11449@Charged	KEGG:C11449@Charged		KEGG:C11449@Charged	KEGG:C11449	KEGG:C11449	GC	KEGG:C11449@Charged	KEGG:C11449@Charged	
cpd13368										
cpd13369										
cpd13370					KEGG:C11475	KEGG:C11475				
cpd13371										
cpd13372					KEGG:C11478	KEGG:C11478				
cpd13373	KEGG:C11482	KEGG:C11482		KEGG:C11482	KEGG:C11482		GC	KEGG:C11482@Charged	KEGG:C11482@Charged	
cpd13374										
cpd13375										
cpd13376	KEGG:C11547@Charged	KEGG:C11547@Charged		KEGG:C11547@Charged	KEGG:C11547	KEGG:C11547	GC	KEGG:C11547@Charged	KEGG:C11547@Charged	
cpd13377	KEGG:C11548@Charged	KEGG:C11548@Charged		KEGG:C11548@Charged	KEGG:C11548	KEGG:C11548	GC	KEGG:C11548@Charged	KEGG:C11548@Charged	
cpd13378						KEGG:C11549				
cpd13379						KEGG:C11550				
cpd13380						KEGG:C11551				
cpd13381						KEGG:C11552				
cpd13382					KEGG:C11553	KEGG:C11553				
cpd13383	KEGG:C11554@Charged;ChEBI:57658	KEGG:C11554@Charged;ChEBI:57658		KEGG:C11554@Charged;ChEBI:57658	KEGG:C11554	KEGG:C11554	GC	KEGG:C11554@Charged	KEGG:C11554@Charged	
