id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd24000	MetaCyc:CPD-13694	MetaCyc:CPD-13694	MetaCyc:CPD-13694	MetaCyc:CPD-13694	MetaCyc:CPD-13694	MetaCyc:CPD-13694	GC	MetaCyc:CPD-13694@Charged	MetaCyc:CPD-13694@Charged	eQuilibrator:MNXM9919
cpd24001	MetaCyc:CPD-13695	MetaCyc:CPD-13695	MetaCyc:CPD-13695	MetaCyc:CPD-13695	MetaCyc:CPD-13695	MetaCyc:CPD-13695	GC	MetaCyc:CPD-13695@Charged	MetaCyc:CPD-13695@Charged	
cpd24002	MetaCyc:CPD-13696	MetaCyc:CPD-13696	MetaCyc:CPD-13696	MetaCyc:CPD-13696	MetaCyc:CPD-13696	MetaCyc:CPD-13696	GC	MetaCyc:CPD-13696@Charged	MetaCyc:CPD-13696@Charged	eQuilibrator:MNXM10109
cpd24003	MetaCyc:CPD-13697;ChEBI:136759	MetaCyc:CPD-13697;ChEBI:136759	MetaCyc:CPD-13697;ChEBI:136759	MetaCyc:CPD-13697;ChEBI:136759	MetaCyc:CPD-13697	MetaCyc:CPD-13697	GC	MetaCyc:CPD-13697@Charged	MetaCyc:CPD-13697@Charged	eQuilibrator:MNXM722941
cpd24004	MetaCyc:CPD-13698	MetaCyc:CPD-13698	MetaCyc:CPD-13698	MetaCyc:CPD-13698	MetaCyc:CPD-13698	MetaCyc:CPD-13698	GC	MetaCyc:CPD-13698@Charged	MetaCyc:CPD-13698@Charged	eQuilibrator:MNXM9905
cpd24005	MetaCyc:CPD-13699;ChEBI:86014	MetaCyc:CPD-13699;ChEBI:86014	MetaCyc:CPD-13699;ChEBI:86014	MetaCyc:CPD-13699;ChEBI:86014	MetaCyc:CPD-13699	MetaCyc:CPD-13699	GC	MetaCyc:CPD-13699@Charged	MetaCyc:CPD-13699@Charged	eQuilibrator:MNXM9940
cpd24006	MetaCyc:CPD-13700;ChEBI:83792	MetaCyc:CPD-13700;ChEBI:83792	MetaCyc:CPD-13700;ChEBI:83792	MetaCyc:CPD-13700;ChEBI:83792	MetaCyc:CPD-13700	MetaCyc:CPD-13700	GC	MetaCyc:CPD-13700@Charged	MetaCyc:CPD-13700@Charged	eQuilibrator:MNXM6835
cpd24007	MetaCyc:CPD-13706;ChEBI:85549	MetaCyc:CPD-13706;ChEBI:85549	MetaCyc:CPD-13706;ChEBI:85549	MetaCyc:CPD-13706;ChEBI:85549	MetaCyc:CPD-13706	MetaCyc:CPD-13706	GC	MetaCyc:CPD-13706@Charged	MetaCyc:CPD-13706@Charged	eQuilibrator:MNXM10481
cpd24008										
cpd24009	MetaCyc:CPD-13719	MetaCyc:CPD-13719	MetaCyc:CPD-13719	MetaCyc:CPD-13719		MetaCyc:CPD-13719	GC	MetaCyc:CPD-13719@Charged	MetaCyc:CPD-13719@Charged	
