id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd21000	MetaCyc:CPD-10708;ChEBI:61688	MetaCyc:CPD-10708;ChEBI:61688	MetaCyc:CPD-10708;ChEBI:61688	MetaCyc:CPD-10708;ChEBI:61688			GC	MetaCyc:CPD-10708@Charged	MetaCyc:CPD-10708@Charged	eQuilibrator:MNXM5092
cpd21001	KEGG:C19755	KEGG:C19755	KEGG:C19755	KEGG:C19755		KEGG:C19755	GC	KEGG:C19755@Charged	KEGG:C19755@Charged	
cpd21002	MetaCyc:CPD-11441;KEGG:C19756;ChEBI:60968	MetaCyc:CPD-11441;KEGG:C19756;ChEBI:60968	MetaCyc:CPD-11441;KEGG:C19756;ChEBI:60968	MetaCyc:CPD-11441;KEGG:C19756;ChEBI:60968		KEGG:C19756	GC	MetaCyc:CPD-11441@Charged	MetaCyc:CPD-11441@Charged	eQuilibrator:MNXM4786
cpd21003	MetaCyc:CPD-12846;KEGG:C19757;ChEBI:61316	MetaCyc:CPD-12846;KEGG:C19757;ChEBI:61316	MetaCyc:CPD-12846;KEGG:C19757;ChEBI:61316	MetaCyc:CPD-12846;KEGG:C19757;ChEBI:61316		KEGG:C19757	EQ	eQuilibrator:MNXM4919	KEGG:C19757@Charged	eQuilibrator:MNXM4919
cpd21004	KEGG:C19758;ChEBI:55332	KEGG:C19758;ChEBI:55332	KEGG:C19758;ChEBI:55332	KEGG:C19758;ChEBI:55332	KEGG:C19758	KEGG:C19758	GC	KEGG:C19758@Charged	KEGG:C19758@Charged	eQuilibrator:MNXM5070
cpd21005	MetaCyc:CPD-7524;KEGG:C19759;ChEBI:62463	MetaCyc:CPD-7524;KEGG:C19759;ChEBI:62463	MetaCyc:CPD-7524;KEGG:C19759;ChEBI:62463	MetaCyc:CPD-7524;KEGG:C19759;ChEBI:62463			EQ	eQuilibrator:MNXM6133	MetaCyc:CPD-7524@Charged	eQuilibrator:MNXM6133
cpd21006	MetaCyc:CPD-11293@Charged;KEGG:C19760@Charged;ChEBI:60374@Charged	MetaCyc:CPD-11293@Charged;KEGG:C19760@Charged;ChEBI:60374@Charged	MetaCyc:CPD-11293@Charged;KEGG:C19760@Charged;ChEBI:60374@Charged	MetaCyc:CPD-11293@Charged;KEGG:C19760@Charged;ChEBI:60374@Charged	KEGG:C19760		EQ	eQuilibrator:MNXM756	MetaCyc:CPD-11293@Charged	eQuilibrator:MNXM756
cpd21007	KEGG:C19761@Charged;ChEBI:58892	KEGG:C19761@Charged;ChEBI:58892	KEGG:C19761@Charged;ChEBI:58892	KEGG:C19761@Charged;ChEBI:58892	KEGG:C19761	KEGG:C19761	EQ	eQuilibrator:MNXM2596	KEGG:C19761@Charged	eQuilibrator:MNXM2596
cpd21008	KEGG:C19762@Charged	KEGG:C19762@Charged	KEGG:C19762@Charged	KEGG:C19762@Charged	KEGG:C19762	KEGG:C19762	GC	KEGG:C19762@Charged	KEGG:C19762@Charged	
cpd21009	KEGG:C19763@Charged;ChEBI:62441	KEGG:C19763@Charged;ChEBI:62441	KEGG:C19763@Charged;ChEBI:62441	KEGG:C19763@Charged;ChEBI:62441	KEGG:C19763	KEGG:C19763	GC	KEGG:C19763@Charged	KEGG:C19763@Charged	eQuilibrator:MNXM2728
