id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd44000										
cpd44001										
cpd44002										
cpd44003										
cpd44004	MetaCyc:CDP-SUGARS	MetaCyc:CDP-SUGARS		MetaCyc:CDP-SUGARS	MetaCyc:CDP-SUGARS	MetaCyc:CDP-SUGARS			MetaCyc:CDP-SUGARS@Charged	
cpd44005	MetaCyc:DTDP-SUGARS	MetaCyc:DTDP-SUGARS		MetaCyc:DTDP-SUGARS	MetaCyc:DTDP-SUGARS	MetaCyc:DTDP-SUGARS			MetaCyc:DTDP-SUGARS@Charged	
cpd44006										
cpd44007										
cpd44008	MetaCyc:cyclic-beta-12-glucan	MetaCyc:cyclic-beta-12-glucan	MetaCyc:cyclic-beta-12-glucan	MetaCyc:cyclic-beta-12-glucan	MetaCyc:cyclic-beta-12-glucan	MetaCyc:cyclic-beta-12-glucan				
cpd44009										
cpd44010	MetaCyc:CPD-25861	MetaCyc:CPD-25861	MetaCyc:CPD-25861	MetaCyc:CPD-25861	MetaCyc:CPD-25861	MetaCyc:CPD-25861				
cpd44011										
cpd44012										
cpd44013										
cpd44014	MetaCyc:VLC-2R-Hydroxy-Fatty-Acids	MetaCyc:VLC-2R-Hydroxy-Fatty-Acids		MetaCyc:VLC-2R-Hydroxy-Fatty-Acids	MetaCyc:VLC-2R-Hydroxy-Fatty-Acids	MetaCyc:VLC-2R-Hydroxy-Fatty-Acids				
cpd44015	MetaCyc:8-HPODE	MetaCyc:8-HPODE	MetaCyc:8-HPODE	MetaCyc:8-HPODE	MetaCyc:8-HPODE	MetaCyc:8-HPODE				
cpd44016	MetaCyc:10-HPODE	MetaCyc:10-HPODE	MetaCyc:10-HPODE	MetaCyc:10-HPODE	MetaCyc:10-HPODE	MetaCyc:10-HPODE				
cpd44017	MetaCyc:11-HPODE	MetaCyc:11-HPODE	MetaCyc:11-HPODE	MetaCyc:11-HPODE	MetaCyc:11-HPODE	MetaCyc:11-HPODE				
cpd44018	MetaCyc:CPD0-2208	MetaCyc:CPD0-2208	MetaCyc:CPD0-2208	MetaCyc:CPD0-2208	MetaCyc:CPD0-2208				MetaCyc:CPD0-2208@Charged	
cpd44019	MetaCyc:Farnesoates@Charged	MetaCyc:Farnesoates@Charged	MetaCyc:Farnesoates@Charged	MetaCyc:Farnesoates@Charged					MetaCyc:Farnesoates@Charged	
cpd44020	MetaCyc:CPD-21834@Charged	MetaCyc:CPD-21834@Charged		MetaCyc:CPD-21834@Charged	MetaCyc:CPD-21834	MetaCyc:CPD-21834				
