id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd14163	KEGG:C13415	KEGG:C13415	KEGG:C13415	KEGG:C13415		KEGG:C13415	GC	KEGG:C13415@Charged	KEGG:C13415@Charged	
cpd14170					KEGG:C13424	KEGG:C13424				
cpd14226	KEGG:C13500@Charged	KEGG:C13500@Charged		KEGG:C13500@Charged	KEGG:C13500	KEGG:C13500	GC	KEGG:C13500@Charged	KEGG:C13500@Charged	
cpd14231	MetaCyc:SQDG-32-0;MetaCyc:SQDG-32-1;MetaCyc:SQDG-32-2;MetaCyc:SQDG-32-3;MetaCyc:SQDG-34-1;MetaCyc:SQDG-34-2;MetaCyc:SQDG-34-3;MetaCyc:SQDG-34-4;MetaCyc:SQDG-34-5;MetaCyc:SQDG-34-6;MetaCyc:SQDG-36-1;MetaCyc:SQDG-36-2;MetaCyc:SQDG-36-3;MetaCyc:SQDG-36-4;MetaCyc:SQDG-36-5;MetaCyc:SQDG-36-6;KEGG:C13508@Charged;ChEBI:131487	MetaCyc:SQDG-32-0;MetaCyc:SQDG-32-1;MetaCyc:SQDG-32-2;MetaCyc:SQDG-32-3;MetaCyc:SQDG-34-1;MetaCyc:SQDG-34-2;MetaCyc:SQDG-34-3;MetaCyc:SQDG-34-4;MetaCyc:SQDG-34-5;MetaCyc:SQDG-34-6;MetaCyc:SQDG-36-1;MetaCyc:SQDG-36-2;MetaCyc:SQDG-36-3;MetaCyc:SQDG-36-4;MetaCyc:SQDG-36-5;MetaCyc:SQDG-36-6;KEGG:C13508@Charged;ChEBI:131487		MetaCyc:SQDG-32-0;MetaCyc:SQDG-32-1;MetaCyc:SQDG-32-2;MetaCyc:SQDG-32-3;MetaCyc:SQDG-34-1;MetaCyc:SQDG-34-2;MetaCyc:SQDG-34-3;MetaCyc:SQDG-34-4;MetaCyc:SQDG-34-5;MetaCyc:SQDG-34-6;MetaCyc:SQDG-36-1;MetaCyc:SQDG-36-2;MetaCyc:SQDG-36-3;MetaCyc:SQDG-36-4;MetaCyc:SQDG-36-5;MetaCyc:SQDG-36-6;KEGG:C13508@Charged;ChEBI:131487	KEGG:C13508	KEGG:C13508	GC	KEGG:C13508@Charged	KEGG:C13508@Charged	
cpd14242	KEGG:C13523@Charged	KEGG:C13523@Charged		KEGG:C13523@Charged	KEGG:C13523	KEGG:C13523	GC	KEGG:C13523@Charged	KEGG:C13523@Charged	
cpd14262	KEGG:C13553@Charged	KEGG:C13553@Charged		KEGG:C13553@Charged	KEGG:C13553	KEGG:C13553	GC	KEGG:C13553@Charged	KEGG:C13553@Charged	
cpd14295					KEGG:C13594	KEGG:C13594				
cpd14296					KEGG:C13595	KEGG:C13595				
cpd14328										
cpd14338					KEGG:C13723	KEGG:C13723				
cpd14339					KEGG:C13724					
cpd14340					KEGG:C13726	KEGG:C13726				
cpd14345	KEGG:C13781@Charged	KEGG:C13781@Charged		KEGG:C13781@Charged	KEGG:C13781	KEGG:C13781	GC	KEGG:C13781@Charged	KEGG:C13781@Charged	
