id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd16000	Override:ACPs	Override:ACPs								
cpd16001										
cpd16002										
cpd16003										
cpd16004										
cpd16006										
cpd16007										
cpd16008										
cpd16009										
cpd16010										
cpd16011										
cpd16012										
cpd16013										
cpd16014	Override:ACPs	Override:ACPs								
cpd16015										
cpd16016										
cpd16017										
cpd16018										
cpd16019										
cpd16020										
cpd16021										
cpd16022										
cpd16023										
cpd16024										
cpd16025										
cpd16026	Override:ACPs	Override:ACPs								
cpd16027										
cpd16028										
cpd16029	Override:ACPs	Override:ACPs								
cpd16030										
cpd16031										
cpd16032										
cpd16033										
cpd16034										
cpd16035										
cpd16036										
cpd16037										
cpd16038										
cpd16039										
cpd16040										
cpd16041										
cpd16042										
cpd16043										
cpd16044										
cpd16045										
cpd16046										
cpd16047										
cpd16048										
cpd16049										
cpd16050										
cpd16051										
cpd16052										
cpd16053										
cpd16054										
cpd16055										
cpd16056										
cpd16057										
cpd16058										
cpd16059										
cpd16060										
cpd16061										
cpd16062										
cpd16063										
cpd16064										
cpd16065										
cpd16066										
cpd16067										
cpd16068										
cpd16069										
cpd16070										
cpd16071										
cpd16072										
cpd16073										
cpd16074										
cpd16075										
cpd16076										
cpd16079										
cpd16080										
cpd16081										
cpd16082										
cpd16083										
cpd16084										
cpd16085										
cpd16086										
cpd16087										
cpd16088										
cpd16089										
cpd16090										
cpd16091										
cpd16092										
cpd16093										
cpd16095										
cpd16096										
cpd16097										
cpd16099		Override:ACPs								
cpd16100										
cpd16101										
cpd16102										
cpd16103										
cpd16104										
cpd16105										
cpd16106										
cpd16107										
cpd16108										
cpd16109										
cpd16110										
cpd16111										
cpd16113										
cpd16114										
cpd16115										
cpd16118										
cpd16119										
cpd16120										
cpd16121										
cpd16123										
cpd16124										
cpd16125										
cpd16126	MetaCyc:CPD-37;ChEBI:17117	MetaCyc:CPD-37;ChEBI:17117	MetaCyc:CPD-37;ChEBI:17117	MetaCyc:CPD-37;ChEBI:17117	MetaCyc:CPD-37	MetaCyc:CPD-37	EQ	eQuilibrator:MNXM718	MetaCyc:CPD-37@Charged	eQuilibrator:MNXM718
cpd16127										
cpd16128										
cpd16129										
cpd16130										
cpd16131										
cpd16132										
cpd16133										
cpd16134										
cpd16135										
cpd16136										
cpd16137										
cpd16138										
cpd16139										
cpd16140										
cpd16141										
cpd16142										
cpd16143										
cpd16144										
cpd16145										
cpd16147										
cpd16148										
cpd16149										
cpd16151										
cpd16152										
cpd16153										
cpd16154										
cpd16155										
cpd16156										
cpd16157										
cpd16158										
cpd16159										
cpd16160										
cpd16161										
cpd16162										
cpd16163										
cpd16164										
cpd16165										
cpd16167										
cpd16168										
cpd16169										
cpd16170										
cpd16171										
cpd16172										
cpd16173										
cpd16174	MetaCyc:NA+;KEGG:C01330;ChEBI:29101	MetaCyc:NA+;KEGG:C01330;ChEBI:29101	MetaCyc:NA+;KEGG:C01330;ChEBI:29101	MetaCyc:NA+;KEGG:C01330;ChEBI:29101	KEGG:C01330		GC	KEGG:C01330@Charged	KEGG:C01330@Charged	
cpd16175										
cpd16176										
cpd16177										
cpd16178										
cpd16179										
cpd16180										
cpd16181										
cpd16182										
cpd16183										
cpd16184										
cpd16185										
cpd16186										
cpd16187										
cpd16188										
cpd16189										
cpd16190										
cpd16191										
cpd16192										
cpd16193										
cpd16194										
cpd16195										
cpd16196										
cpd16197										
cpd16198										
cpd16199										
cpd16200										
cpd16201										
cpd16203										
cpd16204										
cpd16205										
cpd16206										
cpd16207										
cpd16208										
cpd16209										
cpd16210										
cpd16211										
cpd16212										
cpd16213										
cpd16218										
cpd16219										
cpd16220										
cpd16224										
cpd16225										
cpd16226										
cpd16227										
cpd16228										
cpd16229										
cpd16230										
cpd16231										
cpd16232										
cpd16233										
cpd16234										
cpd16235	KEGG:C16520	KEGG:C16520		KEGG:C16520		KEGG:C16520	GC	KEGG:C16520@Charged	KEGG:C16520@Charged	
cpd16238										
cpd16239										
cpd16240										
cpd16241										
cpd16242										
cpd16243										
