id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd19000	KEGG:C00162	KEGG:C00162		KEGG:C00162	KEGG:C00162		GC	KEGG:C00162@Charged	KEGG:C00162@Charged	
cpd19001	MetaCyc:ALPHA-GLUCOSE;KEGG:C00267;ChEBI:17925	MetaCyc:ALPHA-GLUCOSE;KEGG:C00267;ChEBI:17925	MetaCyc:ALPHA-GLUCOSE;KEGG:C00267;ChEBI:17925	MetaCyc:ALPHA-GLUCOSE;KEGG:C00267;ChEBI:17925	KEGG:C00267	KEGG:C00267	EQ	eQuilibrator:MNXM99	MetaCyc:ALPHA-GLUCOSE@Charged	eQuilibrator:MNXM99
cpd19002	KEGG:C00302@Charged	KEGG:C00302@Charged	KEGG:C00302@Charged	KEGG:C00302@Charged	KEGG:C00302	KEGG:C00302	GC	KEGG:C00302@Charged	KEGG:C00302@Charged	
cpd19003	KEGG:C00487@Charged;ChEBI:17126	KEGG:C00487@Charged;ChEBI:17126	KEGG:C00487@Charged;ChEBI:17126	KEGG:C00487@Charged;ChEBI:17126	KEGG:C00487	KEGG:C00487	GC	KEGG:C00487@Charged	KEGG:C00487@Charged	
cpd19004	KEGG:C00641	KEGG:C00641		KEGG:C00641	KEGG:C00641	KEGG:C00641	GC	KEGG:C00641@Charged	KEGG:C00641@Charged	
cpd19005	MetaCyc:CPD0-2032;KEGG:C00661@Charged	MetaCyc:CPD0-2032;KEGG:C00661@Charged	MetaCyc:CPD0-2032;KEGG:C00661@Charged	MetaCyc:CPD0-2032;KEGG:C00661@Charged	KEGG:C00661	KEGG:C00661	GC	KEGG:C00661@Charged	KEGG:C00661@Charged	
cpd19006	MetaCyc:ALPHA-GLC-6-P;KEGG:C00668@Charged;ChEBI:58225	MetaCyc:ALPHA-GLC-6-P;KEGG:C00668@Charged;ChEBI:58225	MetaCyc:ALPHA-GLC-6-P;KEGG:C00668@Charged;ChEBI:58225	MetaCyc:ALPHA-GLC-6-P;KEGG:C00668@Charged;ChEBI:58225	KEGG:C00668	KEGG:C00668	EQ	eQuilibrator:MNXM215	MetaCyc:ALPHA-GLC-6-P@Charged	eQuilibrator:MNXM215
cpd19007	KEGG:C00806	KEGG:C00806	KEGG:C00806	KEGG:C00806@Charged	KEGG:C00806	KEGG:C00806	GC	KEGG:C00806@Charged	KEGG:C00806@Charged	
cpd19008	MetaCyc:CPD-10353;KEGG:C00810;ChEBI:15686	MetaCyc:CPD-10353;KEGG:C00810;ChEBI:15686	MetaCyc:CPD-10353;KEGG:C00810;ChEBI:15686	MetaCyc:CPD-10353;KEGG:C00810;ChEBI:15686	KEGG:C00810	KEGG:C00810	EQ	eQuilibrator:MNXM664	KEGG:C00810@Charged	eQuilibrator:MNXM664
cpd19009	MetaCyc:CPD-13559;KEGG:C00936;ChEBI:28729	MetaCyc:CPD-13559;KEGG:C00936;ChEBI:28729	MetaCyc:CPD-13559;KEGG:C00936;ChEBI:28729	MetaCyc:CPD-13559;KEGG:C00936;ChEBI:28729	KEGG:C00936	KEGG:C00936	EQ	eQuilibrator:MNXM919	KEGG:C00936@Charged	eQuilibrator:MNXM919
cpd19010										
cpd19011										
cpd19012	MetaCyc:CPD-13584@Charged;MetaCyc:HCN;KEGG:C00177@Charged;KEGG:C01326;ChEBI:18407	MetaCyc:CPD-13584@Charged;MetaCyc:HCN;KEGG:C00177@Charged;KEGG:C01326;ChEBI:18407	MetaCyc:CPD-13584@Charged;MetaCyc:HCN;KEGG:C00177@Charged;KEGG:C01326;ChEBI:18407	MetaCyc:CPD-13584@Charged;MetaCyc:HCN;KEGG:C00177@Charged;KEGG:C01326;ChEBI:18407	KEGG:C00177		GC	KEGG:C00177@Charged	KEGG:C00177@Charged	
cpd19013	MetaCyc:AMMONIA@Charged;MetaCyc:AMMONIUM;KEGG:C00014@Charged;KEGG:C01342;ChEBI:28938	MetaCyc:AMMONIA@Charged;MetaCyc:AMMONIUM;KEGG:C00014@Charged;KEGG:C01342;ChEBI:28938	MetaCyc:AMMONIA@Charged;MetaCyc:AMMONIUM;KEGG:C00014@Charged;KEGG:C01342;ChEBI:28938	MetaCyc:AMMONIA@Charged;MetaCyc:AMMONIUM;KEGG:C00014@Charged;KEGG:C01342;ChEBI:28938		KEGG:C00014	EQ	eQuilibrator:MNXM15	MetaCyc:AMMONIA@Charged	eQuilibrator:MNXM15
cpd19014					KEGG:C01490	KEGG:C01490				
cpd19015										
cpd19016	MetaCyc:25-DIAMINOPENTANOATE;KEGG:C01602@Charged	MetaCyc:25-DIAMINOPENTANOATE;KEGG:C01602@Charged	MetaCyc:25-DIAMINOPENTANOATE;KEGG:C01602@Charged	MetaCyc:25-DIAMINOPENTANOATE;KEGG:C01602@Charged	KEGG:C01602	KEGG:C01602	GC	MetaCyc:25-DIAMINOPENTANOATE@Charged	MetaCyc:25-DIAMINOPENTANOATE@Charged	
cpd19017	MetaCyc:CPD-1908	MetaCyc:CPD-1908	MetaCyc:CPD-1908	MetaCyc:CPD-1908	KEGG:C01766	KEGG:C01766	GC	MetaCyc:CPD-1908@Charged	MetaCyc:CPD-1908@Charged	
cpd19018	MetaCyc:D-TARTRATE;KEGG:C02107@Charged;ChEBI:30927	MetaCyc:D-TARTRATE;KEGG:C02107@Charged;ChEBI:30927	MetaCyc:D-TARTRATE;KEGG:C02107@Charged;ChEBI:30927	MetaCyc:D-TARTRATE;KEGG:C02107@Charged;ChEBI:30927	KEGG:C02107	KEGG:C02107	EQ	eQuilibrator:MNXM7948	KEGG:C02107@Charged	eQuilibrator:MNXM7948
cpd19019	MetaCyc:L-CYSTATHIONINE;KEGG:C02291;ChEBI:58161	MetaCyc:L-CYSTATHIONINE;KEGG:C02291;ChEBI:58161	MetaCyc:L-CYSTATHIONINE;KEGG:C02291;ChEBI:58161	MetaCyc:L-CYSTATHIONINE;KEGG:C02291@Charged;ChEBI:58161	KEGG:C02291	KEGG:C02291	EQ	eQuilibrator:MNXM319	KEGG:C02291@Charged	eQuilibrator:MNXM319
cpd19020	MetaCyc:S-ALLANTOIN;KEGG:C02350;ChEBI:15678@Original	MetaCyc:S-ALLANTOIN;KEGG:C02350;ChEBI:15678@Original	MetaCyc:S-ALLANTOIN;KEGG:C02350;ChEBI:15678@Original	MetaCyc:S-ALLANTOIN;KEGG:C02350;ChEBI:15678@Original	KEGG:C02350	KEGG:C02350	EQ	eQuilibrator:MNXM91795	KEGG:C02350@Charged	eQuilibrator:MNXM91795
cpd19021	KEGG:C02385@Charged	KEGG:C02385@Charged	KEGG:C02385@Charged	KEGG:C02385@Charged	KEGG:C02385	KEGG:C02385	GC	KEGG:C02385@Charged	KEGG:C02385@Charged	
cpd19022	MetaCyc:BENZOSEMIQUINONE;KEGG:C02389;ChEBI:17977	MetaCyc:BENZOSEMIQUINONE;KEGG:C02389;ChEBI:17977	MetaCyc:BENZOSEMIQUINONE;KEGG:C02389;ChEBI:17977	MetaCyc:BENZOSEMIQUINONE;KEGG:C02389;ChEBI:17977	KEGG:C02389	KEGG:C02389	EQ	eQuilibrator:MNXM7107	MetaCyc:BENZOSEMIQUINONE@Charged	eQuilibrator:MNXM7107
cpd19023	MetaCyc:CPD-1090;KEGG:C02485;ChEBI:15408	MetaCyc:CPD-1090;KEGG:C02485;ChEBI:15408	MetaCyc:CPD-1090;KEGG:C02485;ChEBI:15408	MetaCyc:CPD-1090;KEGG:C02485;ChEBI:15408	KEGG:C02485	KEGG:C02485	EQ	eQuilibrator:MNXM1787	KEGG:C02485@Charged	eQuilibrator:MNXM1787
cpd19024	MetaCyc:PROPANE-1-2-DIOL;KEGG:C02917;ChEBI:29002	MetaCyc:PROPANE-1-2-DIOL;KEGG:C02917;ChEBI:29002	MetaCyc:PROPANE-1-2-DIOL;KEGG:C02917;ChEBI:29002	MetaCyc:PROPANE-1-2-DIOL;KEGG:C02917;ChEBI:29002	KEGG:C02917	KEGG:C02917	EQ	eQuilibrator:MNXM1255	KEGG:C02917@Charged	eQuilibrator:MNXM1255
