id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd15000	MetaCyc:CPD-15033;KEGG:C16284	MetaCyc:CPD-15033;KEGG:C16284	MetaCyc:CPD-15033;KEGG:C16284	MetaCyc:CPD-15033;KEGG:C16284	KEGG:C16284	KEGG:C16284	EQ	eQuilibrator:MNXM12485	KEGG:C16284@Charged	eQuilibrator:MNXM12485
cpd15001	KEGG:C16285@Charged	KEGG:C16285@Charged	KEGG:C16285@Charged	KEGG:C16285@Charged	KEGG:C16285	KEGG:C16285	GC	KEGG:C16285@Charged	KEGG:C16285@Charged	eQuilibrator:MNXM7800
cpd15002	MetaCyc:CPD-10158;KEGG:C16286;ChEBI:46702	MetaCyc:CPD-10158;KEGG:C16286;ChEBI:46702	MetaCyc:CPD-10158;KEGG:C16286;ChEBI:46702	MetaCyc:CPD-10158;KEGG:C16286;ChEBI:46702		KEGG:C16286	GC	KEGG:C16286@Charged	KEGG:C16286@Charged	eQuilibrator:MNXM2444
cpd15003	KEGG:C16287	KEGG:C16287	KEGG:C16287	KEGG:C16287	KEGG:C16287	KEGG:C16287	EQ	eQuilibrator:MNXM48622	KEGG:C16287@Charged	eQuilibrator:MNXM48622
cpd15004	MetaCyc:CPD-16544@Charged;KEGG:C16288@Charged	MetaCyc:CPD-16544@Charged;KEGG:C16288@Charged	MetaCyc:CPD-16544@Charged;KEGG:C16288@Charged	MetaCyc:CPD-16544@Charged;KEGG:C16288@Charged	KEGG:C16288	KEGG:C16288	GC	KEGG:C16288@Charged	KEGG:C16288@Charged	
cpd15005	KEGG:C16289@Charged	KEGG:C16289@Charged	KEGG:C16289@Charged	KEGG:C16289@Charged	KEGG:C16289	KEGG:C16289	GC	KEGG:C16289@Charged	KEGG:C16289@Charged	
cpd15006	MetaCyc:CPD-16543@Charged;KEGG:C16290@Charged	MetaCyc:CPD-16543@Charged;KEGG:C16290@Charged	MetaCyc:CPD-16543@Charged;KEGG:C16290@Charged	MetaCyc:CPD-16543@Charged;KEGG:C16290@Charged	KEGG:C16290	KEGG:C16290	GC	KEGG:C16290@Charged	KEGG:C16290@Charged	
cpd15007	MetaCyc:CPD-20647;KEGG:C16291;ChEBI:80427	MetaCyc:CPD-20647;KEGG:C16291;ChEBI:80427	MetaCyc:CPD-20647;KEGG:C16291;ChEBI:80427	MetaCyc:CPD-20647;KEGG:C16291;ChEBI:80427			EQ	eQuilibrator:MNXM10398	KEGG:C16291@Charged	eQuilibrator:MNXM10398
cpd15008	KEGG:C16292@Charged	KEGG:C16292@Charged	KEGG:C16292@Charged	KEGG:C16292@Charged	KEGG:C16292	KEGG:C16292	GC	KEGG:C16292@Charged	KEGG:C16292@Charged	
cpd15009	KEGG:C16293@Charged	KEGG:C16293@Charged	KEGG:C16293@Charged	KEGG:C16293@Charged	KEGG:C16293	KEGG:C16293	GC	KEGG:C16293@Charged	KEGG:C16293@Charged	
cpd15010	KEGG:C16294@Charged	KEGG:C16294@Charged	KEGG:C16294@Charged	KEGG:C16294@Charged	KEGG:C16294	KEGG:C16294	GC	KEGG:C16294@Charged	KEGG:C16294@Charged	
cpd15011	KEGG:C16295@Charged	KEGG:C16295@Charged	KEGG:C16295@Charged	KEGG:C16295@Charged	KEGG:C16295	KEGG:C16295	GC	KEGG:C16295@Charged	KEGG:C16295@Charged	
cpd15012	KEGG:C16296@Charged	KEGG:C16296@Charged	KEGG:C16296@Charged	KEGG:C16296@Charged	KEGG:C16296	KEGG:C16296	GC	KEGG:C16296@Charged	KEGG:C16296@Charged	
cpd15013	KEGG:C16297@Charged	KEGG:C16297@Charged	KEGG:C16297@Charged	KEGG:C16297@Charged	KEGG:C16297	KEGG:C16297	GC	KEGG:C16297@Charged	KEGG:C16297@Charged	
cpd15014	KEGG:C16298@Charged	KEGG:C16298@Charged	KEGG:C16298@Charged	KEGG:C16298@Charged	KEGG:C16298	KEGG:C16298	GC	KEGG:C16298@Charged	KEGG:C16298@Charged	
