id	names	formula	mass	charge	inchikey	smiles
3-Isopropenyl-4H-hexano-lactones	a 7-hydroxy-4-isopropenyl-7-methyloxepan-2-one|a 7-hydroxy-4-isoprenyl-7-methyl-2-oxo-oxepanone|a 3-isopropenyl-4-hydroxy-hexano-6-lactone	C10H16O3	184.235	10000000	ZZVPZXLETLTSEB-UHFFFAOYSA-N	C=C(C)C1CCC(C)(O)OC(=O)C1
Digalactosyldiacylglycerols-34-6	digalactosyldiacylglycerol-34:6|DGDG-34:6|DGDG34:6	null	10000000	10000000		
Monoterpenol-Acetate-Esters	a monoterpenol acetate ester	null	10000000	10000000		*OC(C)=O
Digalactosyldiacylglycerols-34-3	digalactosyldiacylglycerol-34:3|DGDG-34:3|DGDG34:3	null	10000000	10000000		
Citronellates	citronellate|citronellic acid|3,7-dimethyl-6-octenoic acid|rhodinolic acid	C10H17O2	169.243	10000000	GJWSUKYXUMVMGX-UHFFFAOYSA-M	CC(C)=CCCC(C)CC(=O)[O-]
Digalactosyldiacylglycerols-38-6	digalactosyldiacylglycerol-38:6|DGDG-38:6|DGDG38:6	null	10000000	10000000		
4-isopropenyl-7-methyloxepan-2-one	a 4-isopropenyl-7-methyloxepan-2-one	C10H16O2	168.235	10000000	DNWZWUWUDAGNJB-UHFFFAOYSA-N	C=C(C)C1CCC(C)OC(=O)C1
Digalactosyldiacylglycerols-38-3	digalactosyldiacylglycerol-38:3|DGDG-38:3|DGDG38:3	null	10000000	10000000		
Digalactosyldiacylglycerols-36-4	digalactosyldiacylglycerol-36:4|DGDG-36:4|DGDG36:4	null	10000000	10000000		
GlcCer-42-2-3s	a glucosylceramide(42:2)-3|a GlcCer(42:2)-3|a glucosyl ceramide(42:2)-3	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-42-1-2s	a glucosylceramide(42:1)-2|a GlcCer(42:1)-2|a glucosyl ceramide(42:1)-2	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-40-1-3s	a glucosylceramide(40:1)-3|a GlcCer(40:1)-3|a glucosyl ceramide(40:1)-3	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-38-1-2s	a glucosylceramide(38:1)-2|a GlcCer(38:1)-2|a glucosyl ceramide(38:1)-2	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-44-1-3s	a glucosylceramide(44:1)-3|a GlcCer(44:1)-3|a glucosyl ceramide(44:1)-3	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-34-1-3s	a glucosylceramide(34:1)-3|a GlcCer(34:1)-3|a glucosyl ceramide(34:1)-3	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-44-0-2s	a glucosylceramide(44:0)-2|a GlcCer(44:0)-2|a glucosyl ceramide(44:0)-2	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-42-1-3s	a glucosylceramide(42:1)-3|a GlcCer(42:1)-3|a glucosyl ceramide(42:1)-3	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
Sesquiterpenols	a sesquiterpenol	null	10000000	10000000		
GlcCer-42-0-2s	a glucosylceramide(42:0)-2|a GlcCer(42:0)-2|a glucosyl ceramide(42:0)-2	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-38-1-3s	a glucosylceramide(38:1)-3|a GlcCer(38:1)-3|a glucosyl ceramide(38:1)-3	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
