id	names	formula	mass	charge	inchikey	smiles
GlcCer-44-2-2s	a glucosylceramide(44:2)-2|a GlcCer(44:2)-2|a glucosyl ceramide(44:2)-2	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-36-1-2s	a glucosylceramide(36:1)-2|a GlcCer(36:1)-2|a glucosyl ceramide(36:1)-2	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
Polyethylene-glycols	a poly(ethylene glycol)	null	10000000	10000000		
GlcCer-44-0-3s	a glucosylceramide(44:0)-3|a GlcCer(44:0)-3|a glucosyl ceramide(44:0)-3	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-42-2-2s	a glucosylceramide(42:2)-2|a GlcCer(42:2)-2|a glucosyl ceramide(42:2)-2	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-42-0-3s	a glucosylceramide(42:0)-3|a GlcCer(42:0)-3|a glucosyl ceramide(42:0)-3	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-40-1-2s	a glucosylceramide(40:1)-2|a GlcCer(40:1)-2|a glucosyl ceramide(40:1)-2	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-44-2-3s	a glucosylceramide(44:2)-3|a GlcCer(44:2)-3|a glucosyl ceramide(44:2)-3	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-36-1-3s	a glucosylceramide(36:1)-3|a GlcCer(36:1)-3|a glucosyl ceramide(36:1)-3	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
CPD-25234	usnate|usnic acid	C18H14O7	342.304	10000000	ICTZCAHDGHPRQR-UHFFFAOYSA-M	CC(=O)C1=C([O-])C2(C)C(=CC1=O)Oc1c(C(C)=O)c(O)c(C)c(O)c12
GlcCer-44-1-2s	a glucosylceramide(44:1)-2|a GlcCer(44:1)-2|a glucosyl ceramide(44:1)-2	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
GlcCer-34-1-2s	a glucosylceramide(34:1)-2|a GlcCer(34:1)-2|a glucosyl ceramide(34:1)-2	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](*)O
Monogalactosylceramide-Sulfate	an N-acyl-1-beta-D-(3-O-sulfo)-galactosyl-sphing-4-enine|SM4	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OS(=O)(=O)[O-])[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC
Glucosyl-acyl-sphingosines	a beta-D-glucosyl-N-acylsphingosine|a beta-D-glucosyl-(1<->1)-ceramide|N-acyl-beta-D-glucosyl-sphingosine|a glucosylceramide (II)	null	10000000	10000000		*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC
GDGT-Phospholipids	a glycerol dibiphytanyl glycerol tetraether phospholipid	null	10000000	10000000		*OC[C@@H]1CO*O[C@H](COP(=O)([O-])O*)CO*O1
Glucosyl-Calditocaldarchaetidylinositols	a glucosyl-caldito-caldarchaetidylinositol|GCCI	null	10000000	10000000		O=P([O-])(OC[C@@H]1CO*O[C@H](CO[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@@]2(O)CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CO*O1)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
