id	compartment	reversibility	gfdir	type	base_cost	forward_cost	reverse_cost	complexes
rxn00024	c0|e0	>	=	gapfilling	0	0	0	null
rxn00036	c0|e0	>	=	gapfilling	0	0	0	null
rxn00045	c0|e0	=	=	gapfilling	0	0	0	null
rxn00053	c0|e0	>	=	gapfilling	0	0	0	null
rxn00075	c0|e0	>	=	gapfilling	0	0	0	null
rxn00194	c0|e0	>	=	gapfilling	0	0	0	null
rxn01010	c0|e0	=	=	gapfilling	0	0	0	null
rxn01204	c0|e0	=	=	gapfilling	0	0	0	null
rxn01326	c0|e0	>	=	gapfilling	0	0	0	null
rxn01336	c0|e0	=	=	gapfilling	0	0	0	null
rxn01338	c0|e0	=	=	gapfilling	0	0	0	null
rxn01374	c0|e0	=	=	gapfilling	0	0	0	null
rxn01407	c0|e0	=	=	gapfilling	0	0	0	null
rxn01408	c0|e0	>	=	gapfilling	0	0	0	null
rxn01409	c0|e0	>	=	gapfilling	0	0	0	null
rxn01410	c0|e0	=	=	gapfilling	0	0	0	null
rxn01411	c0|e0	>	=	gapfilling	0	0	0	null
rxn01412	c0|e0	=	=	gapfilling	0	0	0	null
rxn01459	c0|e0	=	=	gapfilling	0	0	0	null
rxn01460	c0|e0	=	=	gapfilling	0	0	0	null
rxn01461	c0|e0	=	=	gapfilling	0	0	0	null
rxn01462	c0|e0	>	=	gapfilling	0	0	0	null
rxn01494	c0|e0	>	=	gapfilling	0	0	0	null
rxn01495	c0|e0	>	=	gapfilling	0	0	0	null
rxn01496	c0|e0	=	=	gapfilling	0	0	0	null
rxn01497	c0|e0	>	=	gapfilling	0	0	0	null
rxn01498	c0|e0	>	=	gapfilling	0	0	0	null
rxn01499	c0|e0	>	=	gapfilling	0	0	0	null
rxn01585	c0|e0	>	=	gapfilling	0	0	0	null
rxn01622	c0|e0	?	=	gapfilling	0	0	0	null
rxn01623	c0|e0	?	=	gapfilling	0	0	0	null
rxn01624	c0|e0	?	=	gapfilling	0	0	0	null
rxn01625	c0|e0	?	=	gapfilling	0	0	0	null
rxn01716	c0|e0	>	=	gapfilling	0	0	0	null
rxn01721	c0|e0	>	=	gapfilling	0	0	0	null
rxn01722	c0|e0	=	=	gapfilling	0	0	0	null
rxn01723	c0|e0	=	=	gapfilling	0	0	0	null
rxn01724	c0|e0	>	=	gapfilling	0	0	0	null
rxn01725	c0|e0	=	=	gapfilling	0	0	0	null
rxn01726	c0|e0	>	=	gapfilling	0	0	0	null
rxn01727	c0|e0	>	=	gapfilling	0	0	0	null
rxn01728	c0|e0	>	=	gapfilling	0	0	0	null
rxn01809	c0|e0	=	=	gapfilling	0	0	0	null
rxn01810	c0|e0	=	=	gapfilling	0	0	0	null
rxn01811	c0|e0	>	=	gapfilling	0	0	0	null
rxn01812	c0|e0	=	=	gapfilling	0	0	0	null
rxn01839	c0|e0	>	=	gapfilling	0	0	0	null
rxn01851	c0|e0	=	=	gapfilling	0	0	0	null
rxn01880	c0|e0	=	=	gapfilling	0	0	0	null
rxn01881	c0|e0	=	=	gapfilling	0	0	0	null
rxn01882	c0|e0	>	=	gapfilling	0	0	0	null
rxn01942	c0|e0	=	=	gapfilling	0	0	0	null
rxn02018	c0|e0	=	=	gapfilling	0	0	0	null
