index	id	name	hierarchy	pH	aliases
0	c	Cytosol	3	7	cytoskeleton,cytosol,oil bodies,CCI-CYTOSOL-PL,CCO-CYTOPLASM
1	e	Extracellular	0	7	extracellular,CCI-EXTRACELLULAR-PL,CCO-MEMBRANE,CCI-PM-PLANT-PL
2	m	Mitochondria	4	7	mitochondria,mitochondrial matrix,CCI-MIT-PL,CCI-MIT-LUM-PL
3	x	Peroxisome	4	7	peroxisome,CCI-PEROXISOME-PL
