id	name	source	reference	confidence	roles
cpx00001	mscpx.1	ModelSEED	null	1.0	ftr06398;triggering;0;1
cpx00002	mscpx.2	ModelSEED	null	1.0	ftr09211;triggering;0;1
cpx00003	mscpx.3	ModelSEED	null	1.0	ftr02388;triggering;0;1|ftr02390;triggering;0;1
cpx00004	mscpx.4	ModelSEED	null	1.0	ftr03313;triggering;0;1
cpx00005	mscpx.5	ModelSEED	null	1.0	ftr01387;triggering;0;1
cpx00006	mscpx.6	ModelSEED	null	1.0	ftr00671;triggering;0;1
cpx00007	mscpx.7	ModelSEED	null	1.0	ftr03651;triggering;0;1
cpx00008	mscpx.8	ModelSEED	null	1.0	ftr10821;triggering;0;1
cpx00009	mscpx.9	ModelSEED	null	1.0	ftr06967;triggering;0;1
cpx00010	mscpx.10	ModelSEED	null	1.0	ftr09923;triggering;0;1
cpx00011	mscpx.11	ModelSEED	null	1.0	ftr09922;triggering;0;1
cpx00012	mscpx.12	ModelSEED	null	1.0	ftr02311;triggering;0;1
cpx00013	mscpx.13	ModelSEED	null	1.0	ftr02320;triggering;0;1
cpx00014	mscpx.14	ModelSEED	null	1.0	ftr01527;triggering;0;1
cpx00015	mscpx.15	ModelSEED	null	1.0	ftr00168;triggering;0;1
cpx00016	mscpx.16	ModelSEED	null	1.0	ftr05346;triggering;0;1
cpx00017	mscpx.17	ModelSEED	null	1.0	ftr02286;triggering;0;1
cpx00018	mscpx.18	ModelSEED	null	1.0	ftr02289;triggering;0;1
cpx00019	mscpx.19	ModelSEED	null	1.0	ftr01997;triggering;0;1
cpx00020	mscpx.20	ModelSEED	null	1.0	ftr02279;triggering;0;1
cpx00021	mscpx.21	ModelSEED	null	1.0	ftr02281;triggering;0;1
cpx00022	mscpx.22	ModelSEED	null	1.0	ftr02291;triggering;0;1
cpx00023	mscpx.23	ModelSEED	null	1.0	ftr02283;triggering;0;1
cpx00024	mscpx.24	ModelSEED	null	1.0	ftr02290;triggering;0;1
cpx00025	mscpx.25	ModelSEED	null	1.0	ftr02287;triggering;0;1
cpx00026	mscpx.26	ModelSEED	null	1.0	ftr02280;triggering;0;1
cpx00027	mscpx.27	ModelSEED	null	1.0	ftr02282;triggering;0;1
cpx00028	mscpx.28	ModelSEED	null	1.0	ftr02285;triggering;0;1
cpx00029	mscpx.29	ModelSEED	null	1.0	ftr02284;triggering;0;1
cpx00030	mscpx.30	ModelSEED	null	1.0	ftr01615;triggering;0;1
cpx00031	mscpx.31	ModelSEED	null	1.0	ftr09236;triggering;0;1
cpx00032	mscpx.32	ModelSEED	null	1.0	ftr05893;triggering;0;1
cpx00033	mscpx.33	ModelSEED	null	1.0	ftr02935;triggering;0;1|ftr02936;triggering;0;1
cpx00034	mscpx.34	ModelSEED	null	1.0	ftr07503;triggering;0;1
cpx00035	mscpx.35	ModelSEED	null	1.0	ftr04000;triggering;0;1
cpx00036	mscpx.36	ModelSEED	null	1.0	ftr04993;triggering;0;1
cpx00037	mscpx.37	ModelSEED	null	1.0	ftr06131;triggering;0;1
cpx00038	mscpx.38	ModelSEED	null	1.0	null
cpx00039	mscpx.39	ModelSEED	null	1.0	ftr02541;triggering;0;1
cpx00040	mscpx.40	ModelSEED	null	1.0	ftr07036;triggering;0;1
cpx00041	mscpx.41	ModelSEED	null	1.0	ftr01957;triggering;0;1
cpx00042	mscpx.42	ModelSEED	null	1.0	ftr03143;triggering;0;1
cpx00043	mscpx.43	ModelSEED	null	1.0	ftr07744;triggering;0;1
cpx00044	mscpx.44	ModelSEED	null	1.0	ftr04947;triggering;0;1
cpx00045	mscpx.45	ModelSEED	null	1.0	ftr05559;triggering;0;1
cpx00046	mscpx.46	ModelSEED	null	1.0	ftr05119;triggering;0;1
cpx00047	mscpx.47	ModelSEED	null	1.0	ftr09842;triggering;0;1
cpx00048	mscpx.48	ModelSEED	null	1.0	ftr06570;triggering;0;1
cpx00049	mscpx.49	ModelSEED	null	1.0	ftr05093;triggering;0;1
cpx00050	mscpx.50	ModelSEED	null	1.0	ftr11175;triggering;0;1
cpx00051	mscpx.51	ModelSEED	null	1.0	ftr09836;triggering;0;1
cpx00052	mscpx.52	ModelSEED	null	1.0	ftr09847;triggering;0;1
cpx00053	mscpx.53	ModelSEED	null	1.0	ftr01531;triggering;0;1
cpx00054	mscpx.54	ModelSEED	null	1.0	ftr01530;triggering;0;1
cpx00055	mscpx.55	ModelSEED	null	1.0	ftr07556;triggering;0;1
cpx00056	mscpx.56	ModelSEED	null	1.0	ftr05951;triggering;0;1
cpx00057	mscpx.57	ModelSEED	null	1.0	null
cpx00058	mscpx.58	ModelSEED	null	1.0	ftr02220;triggering;0;1
cpx00059	mscpx.59	ModelSEED	null	1.0	null
cpx00060	mscpx.60	ModelSEED	null	1.0	null
cpx00061	mscpx.61	ModelSEED	null	1.0	null
cpx00062	mscpx.62	ModelSEED	null	1.0	null
cpx00063	mscpx.63	ModelSEED	null	1.0	ftr02218;triggering;0;1
cpx00064	mscpx.64	ModelSEED	null	1.0	null
cpx00065	mscpx.65	ModelSEED	null	1.0	ftr02219;triggering;0;1
cpx00066	mscpx.66	ModelSEED	null	1.0	ftr02342;triggering;0;1
cpx00067	mscpx.67	ModelSEED	null	1.0	null
cpx00068	mscpx.68	ModelSEED	null	1.0	ftr02216;triggering;0;1
cpx00069	mscpx.69	ModelSEED	null	1.0	ftr02609;triggering;0;1
cpx00070	mscpx.70	ModelSEED	null	1.0	ftr04432;triggering;0;1
cpx00071	mscpx.71	ModelSEED	null	1.0	ftr06604;triggering;0;1
cpx00072	mscpx.72	ModelSEED	null	1.0	ftr05208;triggering;0;1
cpx00073	mscpx.73	ModelSEED	null	1.0	ftr00150;triggering;0;1
cpx00074	mscpx.74	ModelSEED	null	1.0	ftr06657;triggering;0;1
cpx00075	mscpx.75	ModelSEED	null	1.0	ftr02919;triggering;0;1
cpx00076	mscpx.76	ModelSEED	null	1.0	ftr01624;triggering;0;1
cpx00077	mscpx.77	ModelSEED	null	1.0	ftr08427;triggering;0;1
cpx00078	mscpx.78	ModelSEED	null	1.0	ftr02330;triggering;0;1
cpx00079	mscpx.79	ModelSEED	null	1.0	ftr02335;triggering;0;1
cpx00080	mscpx.80	ModelSEED	null	1.0	ftr02332;triggering;0;1
cpx00081	mscpx.81	ModelSEED	null	1.0	ftr02331;triggering;0;1
cpx00082	mscpx.82	ModelSEED	null	1.0	ftr02333;triggering;0;1
cpx00083	mscpx.83	ModelSEED	null	1.0	ftr08648;triggering;0;1
cpx00084	mscpx.84	ModelSEED	null	1.0	ftr09292;triggering;0;1
cpx00085	mscpx.85	ModelSEED	null	1.0	ftr09291;triggering;0;1
cpx00086	mscpx.86	ModelSEED	null	1.0	ftr11177;triggering;0;1
cpx00087	mscpx.87	ModelSEED	null	1.0	ftr05962;triggering;0;1|ftr05961;triggering;0;1
cpx00088	mscpx.88	ModelSEED	null	1.0	ftr03556;triggering;0;1
cpx00089	mscpx.89	ModelSEED	null	1.0	ftr04745;triggering;0;1
cpx00090	mscpx.90	ModelSEED	null	1.0	ftr03954;triggering;0;1
cpx00091	mscpx.91	ModelSEED	null	1.0	ftr01645;triggering;0;1|ftr01947;triggering;0;1|ftr01946;triggering;0;1
cpx00092	mscpx.92	ModelSEED	null	1.0	ftr02368;triggering;0;1|ftr02370;triggering;0;1|ftr02369;triggering;0;1|ftr02367;triggering;0;1
cpx00093	mscpx.93	ModelSEED	null	1.0	ftr03524;triggering;0;1
cpx00094	mscpx.94	ModelSEED	null	1.0	ftr01418;triggering;0;1
cpx00095	mscpx.95	ModelSEED	null	1.0	ftr03201;triggering;0;1
cpx00096	mscpx.96	ModelSEED	null	1.0	ftr02992;triggering;0;1
cpx00097	mscpx.97	ModelSEED	null	1.0	ftr00285;triggering;0;1
cpx00098	mscpx.98	ModelSEED	null	1.0	ftr02512;triggering;0;1
cpx00099	mscpx.99	ModelSEED	null	1.0	ftr02433;triggering;0;1
cpx00100	mscpx.100	ModelSEED	null	1.0	ftr03148;triggering;0;1|ftr03147;triggering;0;1
cpx00101	mscpx.101	ModelSEED	null	1.0	ftr04234;triggering;0;1
cpx00102	mscpx.102	ModelSEED	null	1.0	ftr04210;triggering;0;1
cpx00103	mscpx.103	ModelSEED	null	1.0	ftr04233;triggering;0;1
cpx00104	mscpx.104	ModelSEED	null	1.0	ftr03141;triggering;0;1
cpx00105	mscpx.105	ModelSEED	null	1.0	ftr04258;triggering;0;1
cpx00106	mscpx.106	ModelSEED	null	1.0	ftr08585;triggering;0;1
cpx00107	mscpx.107	ModelSEED	null	1.0	ftr02413;triggering;0;1
cpx00108	mscpx.108	ModelSEED	null	1.0	ftr09165;triggering;0;1|ftr07617;triggering;0;1|ftr09157;triggering;0;1|ftr02412;triggering;0;1|ftr09156;triggering;0;1|ftr07616;triggering;0;1
cpx00109	mscpx.109	ModelSEED	null	1.0	ftr02413;triggering;0;1|ftr01616;triggering;0;1
cpx00110	mscpx.110	ModelSEED	null	1.0	ftr05121;triggering;0;1
cpx00111	mscpx.111	ModelSEED	null	1.0	ftr02689;triggering;0;1
cpx00112	mscpx.112	ModelSEED	null	1.0	null
cpx00113	mscpx.113	ModelSEED	null	1.0	ftr02823;triggering;0;1
cpx00114	mscpx.114	ModelSEED	null	1.0	ftr04422;triggering;0;1
cpx00115	mscpx.115	ModelSEED	null	1.0	ftr00970;triggering;0;1
cpx00116	mscpx.116	ModelSEED	null	1.0	ftr01425;triggering;0;1
cpx00117	mscpx.117	ModelSEED	null	1.0	ftr02994;triggering;0;1
cpx00118	mscpx.118	ModelSEED	null	1.0	ftr02814;triggering;0;1
cpx00119	mscpx.119	ModelSEED	null	1.0	ftr02813;triggering;0;1
cpx00120	mscpx.120	ModelSEED	null	1.0	ftr02238;triggering;0;1|ftr02237;triggering;0;1
cpx00121	mscpx.121	ModelSEED	null	1.0	ftr05054;triggering;0;1
cpx00122	mscpx.122	ModelSEED	null	1.0	ftr04989;triggering;0;1
cpx00123	mscpx.123	ModelSEED	null	1.0	ftr09818;triggering;0;1
cpx00124	mscpx.124	ModelSEED	null	1.0	ftr09817;triggering;0;1
cpx00125	mscpx.125	ModelSEED	null	1.0	ftr09816;triggering;0;1
cpx00126	mscpx.126	ModelSEED	null	1.0	ftr02129;triggering;0;1|ftr02128;triggering;0;1|ftr02127;triggering;0;1
cpx00127	mscpx.127	ModelSEED	null	1.0	ftr08308;triggering;0;1
cpx00128	mscpx.128	ModelSEED	null	1.0	ftr02130;triggering;0;1
cpx00129	mscpx.129	ModelSEED	null	1.0	ftr08228;triggering;0;1
cpx00130	mscpx.130	ModelSEED	null	1.0	ftr00885;triggering;0;1
cpx00131	mscpx.131	ModelSEED	null	1.0	ftr04997;triggering;0;1
cpx00132	mscpx.132	ModelSEED	null	1.0	ftr06528;triggering;0;1
cpx00133	mscpx.133	ModelSEED	null	1.0	ftr00552;triggering;0;1
cpx00134	mscpx.134	ModelSEED	null	1.0	ftr02403;triggering;0;1
cpx00135	mscpx.135	ModelSEED	null	1.0	null
cpx00136	mscpx.136	ModelSEED	null	1.0	ftr02401;triggering;0;1
cpx00137	mscpx.137	ModelSEED	null	1.0	ftr02400;triggering;0;1
cpx00138	mscpx.138	ModelSEED	null	1.0	null
cpx00139	mscpx.139	ModelSEED	null	1.0	ftr09870;triggering;0;1
cpx00140	mscpx.140	ModelSEED	null	1.0	null
cpx00141	mscpx.141	ModelSEED	null	1.0	ftr07948;triggering;0;1
cpx00142	mscpx.142	ModelSEED	null	1.0	ftr07949;triggering;0;1
cpx00143	mscpx.143	ModelSEED	null	1.0	ftr07929;triggering;0;1
cpx00144	mscpx.144	ModelSEED	null	1.0	ftr06770;triggering;0;1
cpx00145	mscpx.145	ModelSEED	null	1.0	ftr01405;triggering;0;1
cpx00146	mscpx.146	ModelSEED	null	1.0	ftr08303;triggering;0;1
cpx00147	mscpx.147	ModelSEED	null	1.0	ftr00145;triggering;0;1
cpx00148	mscpx.148	ModelSEED	null	1.0	ftr04686;triggering;0;1
cpx00149	mscpx.149	ModelSEED	null	1.0	ftr02996;triggering;0;1
cpx00150	mscpx.150	ModelSEED	null	1.0	ftr08994;triggering;0;1
cpx00151	mscpx.151	ModelSEED	null	1.0	ftr08995;triggering;0;1
cpx00152	mscpx.152	ModelSEED	null	1.0	ftr04206;triggering;0;1
