external_id	kind	value	tool	tool_version
C00019	pKb	1:16:9.42;1:18:7.02;1:20:-1.05;1:22:-3.68;1:23:-3.85;1:19:-7.09	Marvin	26.1
C00020	pKa	1:19:1.23;1:18:6.18;1:17:12.46;1:16:13.98;1:11:18.54	Marvin	26.1
C00020	pKb	1:12:7.09;1:14:-1.05;1:16:-3.67;1:17:-3.85;1:11:-6.38;1:13:-7.09	Marvin	26.1
C00021	pKa	1:24:1.81;1:22:12.47;1:21:14.01	Marvin	26.1
C00021	pKb	1:15:9.50;1:17:7.02;1:19:-1.05;1:21:-3.65;1:22:-3.85;1:18:-7.09	Marvin	26.1
C00022	pKa	1:5:2.93	Marvin	26.1
C00022	pKb	1:4:-9.58	Marvin	26.1
C00024	pKa	1:37:0.82;1:39:1.85;1:41:2.73;1:35:4.49;1:36:5.81;1:32:6.55	Marvin	26.1
C00024	pKb	1:27:7.19;1:29:-1.07	Marvin	26.1
C00025	pKa	1:10:1.88;1:8:4.27	Marvin	26.1
C00025	pKb	1:6:9.54	Marvin	26.1
C00026	pKa	1:9:2.66;1:8:3.87	Marvin	26.1
C00026	pKb	1:6:-9.67	Marvin	26.1
C00027	pKa	1:2:11.52;1:1:14.40	Marvin	26.1
C00027	pKb	1:1:-4.19;1:2:-4.19	Marvin	26.1
C00029	pKa	1:26:1.87;1:28:2.84;1:19:6.39;1:24:12.05;1:23:12.63;1:20:13.24;1:21:14.02;1:22:14.81	Marvin	26.1
C00029	pKb	1:20:-3.65;1:21:-3.66;1:22:-3.68;1:23:-3.79;1:24:-3.96	Marvin	26.1
C00031	pKa	1:11:11.30;1:8:12.69;1:10:13.58;1:9:14.51;1:7:15.12	Marvin	26.1
C00031	pKb	1:7:-2.98;1:8:-3.65;1:9:-3.68;1:10:-3.94;1:12:-4.39;1:11:-4.39	Marvin	26.1
C00032	pKa	1:42:3.62;1:40:4.08;1:36:15.95;1:35:16.77	Marvin	26.1
C00032	pKb	1:37:5.06;1:38:4.50	Marvin	26.1
C00033	pKa	1:4:4.54	Marvin	26.1
C00035	pKa	1:20:1.77;1:22:2.66;1:18:4.94;1:19:6.92;1:17:12.60;1:13:16.53	Marvin	26.1
C00035	pKb	1:11:9.07;1:12:0.72;1:17:-3.85;1:13:-6.33	Marvin	26.1
C00036	pKa	1:8:2.41;1:7:3.58;1:1:15.78	Marvin	26.1
C00036	pKb	1:5:-9.87	Marvin	26.1
C00037	pKa	1:5:2.31	Marvin	26.1
C00037	pKb	1:3:9.24	Marvin	26.1
C00038	pKa	1:1:3.09;1:1:3.55;1:1:4.40;1:1:6.05	Marvin	26.1
C00041	pKa	1:6:2.47	Marvin	26.1
C00041	pKb	1:4:9.48	Marvin	26.1
C00042	pKa	1:6:3.55;1:8:5.69	Marvin	26.1
C00043	pKa	1:31:1.82;1:29:2.75;1:22:6.15;1:23:6.76;1:27:12.40;1:25:13.04;1:24:13.91;1:26:14.55	Marvin	26.1
C00043	pKb	1:26:-3.63;1:24:-3.64;1:25:-3.66;1:27:-3.79	Marvin	26.1
C00044	pKa	1:24:0.89;1:20:2.06;1:22:2.68;1:18:4.94;1:19:6.92;1:17:12.60;1:13:16.53	Marvin	26.1
C00044	pKb	1:11:9.07;1:17:-3.85;1:13:-6.33	Marvin	26.1
C00047	pKa	1:10:2.74	Marvin	26.1
C00047	pKb	1:7:10.29;1:8:9.44	Marvin	26.1
C00048	pKa	1:4:2.61	Marvin	26.1
C00048	pKb	1:3:-9.24	Marvin	26.1
C00049	pKa	1:9:1.70;1:7:3.82	Marvin	26.1
C00049	pKb	1:5:9.61	Marvin	26.1
C00051	pKa	1:19:2.02;1:16:3.68;1:17:4.84;1:14:6.56;1:20:10.04	Marvin	26.1
C00051	pKb	1:11:9.37;1:13:1.45;1:12:-0.32	Marvin	26.1
C00052	pKa	1:26:1.87;1:28:2.84;1:19:6.39;1:24:12.05;1:23:12.63;1:20:13.24;1:21:14.02;1:22:14.81	Marvin	26.1
C00052	pKb	1:20:-3.65;1:21:-3.66;1:22:-3.68;1:23:-3.79;1:24:-3.96	Marvin	26.1
C00053	pKa	1:22:-2.12;1:18:0.84;1:20:2.06;1:17:5.86;1:16:12.61	Marvin	26.1
C00053	pKb	1:12:7.05;1:14:-1.02;1:16:-3.87;1:13:-7.09	Marvin	26.1
C00054	pKa	1:21:0.71;1:18:1.38;1:20:5.71;1:17:6.34;1:16:12.61	Marvin	26.1
C00054	pKb	1:12:7.12;1:14:-1.06;1:16:-3.87;1:13:-7.09	Marvin	26.1
C00055	pKa	1:17:1.22;1:15:4.86;1:16:6.33;1:14:12.57;1:13:14.04	Marvin	26.1
C00055	pKb	1:11:3.21;1:13:-3.66;1:14:-3.79;1:10:-4.56;1:20:-5.72;1:15:-6.84	Marvin	26.1
C00058	pKa	1:3:4.27	Marvin	26.1
C00059	pKa	1:2:-3.03;1:1:1.90	Marvin	26.1
C00061	pKa	1:28:1.48;1:25:2.97;1:27:6.52;1:24:12.91;1:23:14.14;1:22:15.24	Marvin	26.1
C00061	pKb	1:19:-2.40;1:22:-3.24;1:23:-3.54;1:24:-3.61;1:18:-3.91	Marvin	26.1
C00062	pKa	1:12:2.41;1:9:19.80	Marvin	26.1
C00062	pKb	1:8:12.96;1:7:9.12;1:10:-0.68	Marvin	26.1
C00063	pKa	1:21:0.89;1:17:2.03;1:19:2.60;1:15:4.95;1:16:6.93;1:14:12.57;1:13:14.04	Marvin	26.1
C00063	pKb	1:11:3.32;1:13:-3.66;1:14:-3.79;1:15:-6.80	Marvin	26.1
C00064	pKa	1:10:1.91;1:8:6.80	Marvin	26.1
C00064	pKb	1:6:9.54;1:7:5.96	Marvin	26.1
C00065	pKa	1:7:2.03;1:5:15.17	Marvin	26.1
C00065	pKb	1:4:8.88;1:5:-2.85	Marvin	26.1
C00067	pKb	1:2:-8.09	Marvin	26.1
C00068	pKa	1:18:1.78;1:21:3.22;1:19:7.28;1:15:7.84	Marvin	26.1
C00068	pKb	1:13:7.96;1:14:-1.38;1:15:-5.00	Marvin	26.1
C00072	pKa	1:9:4.03;1:10:13.01;1:8:13.87;1:7:15.61;1:5:19.24	Marvin	26.1
C00072	pKb	1:7:-2.98;1:8:-3.56;1:11:-7.49;1:10:-7.57;1:9:-7.60	Marvin	26.1
C00073	pKa	1:8:2.53	Marvin	26.1
C00073	pKb	1:6:9.50	Marvin	26.1
C00074	pKa	1:6:1.63;1:5:3.56;1:7:6.82	Marvin	26.1
C00075	pKa	1:21:0.89;1:17:2.06;1:19:2.68;1:12:6.28;1:16:7.03;1:14:12.56;1:13:14.03	Marvin	26.1
C00075	pKb	1:15:-1.02;1:13:-3.66;1:14:-3.79	Marvin	26.1
C00076	pKa	1:1:3.09;1:1:3.55;1:1:4.40;1:1:6.05	Marvin	26.1
C00077	pKa	1:9:2.67	Marvin	26.1
C00077	pKb	1:6:10.29;1:7:9.44	Marvin	26.1
C00078	pKa	1:15:2.54;1:13:16.16	Marvin	26.1
C00078	pKb	1:12:9.40	Marvin	26.1
C00079	pKa	1:12:2.47	Marvin	26.1
C00079	pKb	1:10:9.45	Marvin	26.1
C00081	pKa	1:23:0.95;1:19:2.06;1:21:2.68;1:18:6.89;1:17:8.10;1:16:12.60	Marvin	26.1
C00081	pKb	1:13:0.03;1:16:-3.85;1:11:-6.40	Marvin	26.1
C00082	pKa	1:13:2.00;1:11:9.37	Marvin	26.1
C00082	pKb	1:10:10.10;1:11:-5.96	Marvin	26.1
C00083	pKa	1:40:0.81;1:42:1.84;1:44:2.70;1:34:3.70;1:38:4.56;1:39:5.79;1:32:6.47	Marvin	26.1
C00083	pKb	1:28:7.15	Marvin	26.1
C00084	pKa	1:1:16.73	Marvin	26.1
C00084	pKb	1:3:-6.87	Marvin	26.1
C00085	pKa	1:11:1.22;1:12:6.25;1:10:10.28;1:9:12.73;1:8:13.99;1:7:14.68	Marvin	26.1
C00085	pKb	1:7:-3.45;1:8:-3.69;1:9:-4.03;1:15:-4.42;1:10:-4.86	Marvin	26.1
C00086	pKa	1:4:0.55	Marvin	26.1
C00086	pKb	1:2:15.00;1:4:-6.64;1:3:-8.44	Marvin	26.1
C00088	pKb	1:1:-3.47	Marvin	26.1
C00089	pKa	1:20:11.84;1:19:12.39;1:16:13.04;1:15:13.51;1:17:13.94;1:18:14.39;1:14:14.77;1:13:15.23	Marvin	26.1
C00089	pKb	1:13:-2.98;1:14:-2.98;1:15:-3.46;1:16:-3.65;1:18:-3.68;1:17:-3.69;1:19:-3.95;1:20:-4.04	Marvin	26.1
C00090	pKa	1:8:9.34;1:7:12.84	Marvin	26.1
C00090	pKb	1:7:-6.29;1:8:-6.29	Marvin	26.1
C00091	pKa	1:41:0.82;1:43:1.85;1:45:2.70;1:35:3.73;1:39:4.56;1:40:5.80;1:33:6.50	Marvin	26.1
C00091	pKb	1:29:7.16	Marvin	26.1
C00092	pKa	1:11:1.22;1:12:6.25;1:10:11.30;1:7:12.69;1:9:13.62;1:8:14.90	Marvin	26.1
C00092	pKb	1:7:-3.65;1:8:-3.68;1:9:-3.94;1:15:-4.39;1:10:-4.39	Marvin	26.1
C00093	pKa	1:6:1.51;1:7:6.53;1:5:13.66;1:4:15.57	Marvin	26.1
C00093	pKb	1:4:-2.97;1:5:-3.39	Marvin	26.1
C00094	pKa	1:2:1.70;1:1:7.30	Marvin	26.1
C00095	pKa	1:11:10.28;1:10:12.73;1:9:13.91;1:8:14.47;1:7:15.00	Marvin	26.1
C00095	pKb	1:7:-2.98;1:8:-3.45;1:9:-3.69;1:10:-4.03;1:12:-4.42;1:11:-4.86	Marvin	26.1
C00096	pKa	1:29:1.90;1:31:2.84;1:28:4.95;1:27:12.17;1:26:12.80;1:19:16.53	Marvin	26.1
C00096	pKb	1:17:9.07;1:18:0.74;1:26:-3.85;1:27:-3.96;1:19:-6.33	Marvin	26.1
C00097	pKa	1:6:2.35;1:7:9.09	Marvin	26.1
C00097	pKb	1:4:10.36	Marvin	26.1
C00099	pKa	1:6:4.08	Marvin	26.1
C00099	pKb	1:4:10.31	Marvin	26.1
C00100	pKa	1:38:0.82;1:40:1.85;1:42:2.72;1:36:4.12;1:37:5.85;1:32:6.63	Marvin	26.1
C00100	pKb	1:28:7.23;1:26:4.82	Marvin	26.1
C00101	pKa	1:30:-3.56;1:32:3.80;1:28:4.56;1:25:6.23	Marvin	26.1
C00101	pKb	1:20:20.78;1:22:11.69;1:21:2.97;1:25:-2.26	Marvin	26.1
C00102	pKa	1:16:8.85	Marvin	26.1
C00102	pKb	1:15:0.13;1:16:-5.96	Marvin	26.1
C00103	pKa	1:11:1.16;1:12:6.22;1:10:12.22;1:8:13.20;1:9:14.42;1:7:15.03	Marvin	26.1
C00103	pKb	1:7:-2.98;1:8:-3.65;1:9:-3.68;1:10:-3.96;1:14:-4.40	Marvin	26.1
C00104	pKa	1:18:1.74;1:21:2.65;1:19:6.89;1:17:8.10;1:16:12.46;1:15:13.98	Marvin	26.1
C00104	pKb	1:13:0.08;1:15:-3.67;1:16:-3.85;1:11:-6.40	Marvin	26.1
C00105	pKa	1:17:1.23;1:16:6.01;1:12:6.63;1:14:12.56;1:13:14.03	Marvin	26.1
C00105	pKb	1:15:-1.01;1:10:-3.12;1:13:-3.66;1:14:-3.79;1:20:-5.08	Marvin	26.1
C00106	pKa	1:7:7.91;1:8:9.98	Marvin	26.1
C00106	pKb	1:5:-0.70;1:6:-9.07	Marvin	26.1
C00108	pKa	1:10:4.89;1:8:19.44	Marvin	26.1
C00108	pKb	1:8:1.95	Marvin	26.1
C00109	pKa	1:6:3.19	Marvin	26.1
C00109	pKb	1:5:-9.65	Marvin	26.1
C00111	pKa	1:7:1.19;1:6:6.22;1:4:13.80;1:2:16.69	Marvin	26.1
C00111	pKb	1:4:-3.32;1:5:-8.44	Marvin	26.1
C00112	pKa	1:17:1.71;1:19:2.56;1:15:4.95;1:16:6.93;1:14:12.57;1:13:14.04	Marvin	26.1
C00112	pKb	1:11:3.31;1:13:-3.66;1:14:-3.79;1:10:-4.60;1:15:-6.80	Marvin	26.1
C00113	pKa	1:20:1.00;1:21:1.68;1:23:4.62;1:15:11.46	Marvin	26.1
C00113	pKb	1:16:5.58	Marvin	26.1
C00114	pKa	1:7:13.97	Marvin	26.1
C00114	pKb	1:7:-3.25	Marvin	26.1
C00116	pKa	1:6:13.61;1:5:15.17;1:4:16.06	Marvin	26.1
C00116	pKb	1:4:-2.97;1:5:-2.97;1:6:-3.37	Marvin	26.1
C00117	pKa	1:9:1.22;1:10:6.25;1:8:11.31;1:6:12.91;1:7:14.31	Marvin	26.1
C00117	pKb	1:6:-3.68;1:7:-3.94;1:13:-4.39;1:8:-4.39	Marvin	26.1
C00118	pKa	1:7:1.40;1:6:6.42;1:5:12.86	Marvin	26.1
C00118	pKb	1:5:-3.76;1:4:-7.63	Marvin	26.1
C00119	pKa	1:9:1.13;1:12:1.92;1:14:2.84;1:8:6.16;1:11:7.00;1:7:12.28;1:6:13.91	Marvin	26.1
C00119	pKb	1:6:-3.68;1:7:-3.96;1:17:-4.40	Marvin	26.1
C00120	pKa	1:15:-0.88;1:14:4.14	Marvin	26.1
C00120	pKb	1:11:13.30;1:15:-6.90	Marvin	26.1
C00121	pKa	1:9:11.31;1:7:12.90;1:8:14.15;1:6:14.86	Marvin	26.1
C00121	pKb	1:6:-2.98;1:7:-3.68;1:8:-3.94;1:10:-4.39;1:9:-4.39	Marvin	26.1
C00122	pKa	1:8:3.55;1:6:4.41	Marvin	26.1
C00123	pKa	1:9:2.79	Marvin	26.1
C00123	pKb	1:7:9.52	Marvin	26.1
C00124	pKa	1:11:11.30;1:8:12.69;1:10:13.58;1:9:14.51;1:7:15.12	Marvin	26.1
C00124	pKb	1:7:-2.98;1:8:-3.65;1:9:-3.68;1:10:-3.94;1:12:-4.39;1:11:-4.39	Marvin	26.1
C00127	pKa	1:32:2.96;1:36:3.38;1:38:3.71;1:34:4.04;1:33:4.46;1:30:4.95;1:28:6.12;1:27:6.71	Marvin	26.1
C00128	pKa	1:35:1.78;1:33:2.85;1:34:4.81;1:26:6.48;1:31:12.57;1:30:14.04	Marvin	26.1
C00128	pKb	1:23:3.43;1:22:1.10;1:30:-3.66;1:31:-3.79;1:34:-6.87	Marvin	26.1
C00129	pKa	1:7:1.78;1:9:2.72;1:6:6.92	Marvin	26.1
C00130	pKa	1:18:1.22;1:19:6.24;1:17:8.08;1:16:12.46;1:15:13.98	Marvin	26.1
C00130	pKb	1:12:3.13;1:13:-1.37;1:15:-3.67;1:16:-3.85	Marvin	26.1
C00131	pKa	1:22:0.89;1:18:2.06;1:20:2.68;1:17:6.67;1:16:13.98	Marvin	26.1
C00131	pKb	1:12:7.28;1:14:-1.03;1:16:-3.24;1:13:-7.07	Marvin	26.1
C00132	pKa	1:2:15.78	Marvin	26.1
C00132	pKb	1:2:-2.46	Marvin	26.1
C00133	pKa	1:6:2.47	Marvin	26.1
C00133	pKb	1:4:9.48	Marvin	26.1
C00134	pKb	1:6:10.51;1:5:9.90	Marvin	26.1
C00135	pKa	1:11:1.85;1:9:11.94	Marvin	26.1
C00135	pKb	1:7:9.19;1:8:6.73	Marvin	26.1
C00136	pKa	1:39:0.82;1:41:1.85;1:43:2.72;1:37:4.14;1:38:5.85;1:33:6.65	Marvin	26.1
C00136	pKb	1:29:7.24;1:27:4.84	Marvin	26.1
C00137	pKa	1:8:12.29;1:7:12.91;1:9:13.60;1:10:14.39;1:12:15.07;1:11:15.69	Marvin	26.1
C00137	pKb	1:7:-3.65;1:8:-3.65;1:9:-3.65;1:10:-3.65;1:11:-3.65;1:12:-3.65	Marvin	26.1
C00140	pKa	1:11:6.58;1:14:11.71;1:12:12.98;1:13:14.26;1:10:14.91;1:5:18.54	Marvin	26.1
C00140	pKb	1:9:0.66;1:10:-2.98;1:13:-3.63;1:12:-3.64;1:14:-4.34;1:15:-6.10	Marvin	26.1
C00141	pKa	1:7:3.37	Marvin	26.1
C00141	pKb	1:6:-9.72	Marvin	26.1
C00143	pKa	1:31:-4.10;1:33:3.65;1:29:4.50;1:24:6.13	Marvin	26.1
C00143	pKb	1:21:20.71;1:22:11.48;1:26:1.81;1:24:-2.39	Marvin	26.1
C00144	pKa	1:20:1.35;1:18:4.92;1:19:6.27;1:17:12.46;1:16:13.98;1:13:16.53	Marvin	26.1
C00144	pKb	1:11:9.07;1:12:0.64;1:16:-3.67;1:17:-3.85;1:13:-6.33	Marvin	26.1
C00146	pKa	1:7:10.02	Marvin	26.1
C00146	pKb	1:7:-5.96	Marvin	26.1
C00147	pKa	1:10:9.84;1:6:19.61	Marvin	26.1
C00147	pKb	1:8:2.51;1:9:-2.91;1:6:-6.65	Marvin	26.1
C00148	pKa	1:8:1.94	Marvin	26.1
C00148	pKb	1:6:10.33	Marvin	26.1
C00149	pKa	1:9:3.20;1:7:5.13;1:5:14.30	Marvin	26.1
C00149	pKb	1:5:-3.91	Marvin	26.1
C00152	pKa	1:9:1.72;1:7:6.52	Marvin	26.1
C00152	pKb	1:5:9.61;1:6:5.40	Marvin	26.1
C00153	pKa	1:9:7.18	Marvin	26.1
C00153	pKb	1:7:4.49;1:8:2.43	Marvin	26.1
C00154	pKa	1:51:0.82;1:53:1.85;1:55:2.72;1:49:4.13;1:50:5.85;1:45:6.62	Marvin	26.1
C00154	pKb	1:41:7.22;1:39:4.83	Marvin	26.1
C00155	pKa	1:7:2.46;1:8:9.91	Marvin	26.1
C00155	pKb	1:5:9.25	Marvin	26.1
C00156	pKa	1:9:4.38;1:8:9.67	Marvin	26.1
C00156	pKb	1:8:-6.06	Marvin	26.1
C00158	pKa	1:12:3.06;1:10:5.37;1:8:6.09;1:13:13.92	Marvin	26.1
C00158	pKb	1:13:-4.19	Marvin	26.1
C00159	pKa	1:11:11.30;1:8:12.69;1:10:13.58;1:9:14.51;1:7:15.12	Marvin	26.1
C00159	pKb	1:7:-2.98;1:8:-3.65;1:9:-3.68;1:10:-3.94;1:12:-4.39;1:11:-4.39	Marvin	26.1
C00160	pKa	1:5:3.53;1:3:14.78	Marvin	26.1
C00160	pKb	1:3:-3.61	Marvin	26.1
C00163	pKa	1:5:4.75	Marvin	26.1
C00164	pKa	1:7:4.02;1:2:15.57	Marvin	26.1
C00164	pKb	1:5:-7.47	Marvin	26.1
C00166	pKa	1:11:3.33;1:6:15.80	Marvin	26.1
C00166	pKb	1:10:-9.76	Marvin	26.1
C00167	pKa	1:27:1.87;1:29:2.83;1:25:4.84;1:18:6.40;1:23:12.17;1:22:12.77;1:21:13.42;1:11:19.49	Marvin	26.1
C00167	pKb	1:21:-3.73;1:22:-3.79;1:23:-3.96	Marvin	26.1
C00168	pKa	1:6:2.57;1:4:14.01	Marvin	26.1
C00168	pKb	1:4:-3.39	Marvin	26.1
C00169	pKa	1:3:0.31;1:5:2.53;1:4:7.52	Marvin	26.1
C00169	pKb	1:2:3.50	Marvin	26.1
C00170	pKa	1:18:12.47;1:17:14.01;1:12:18.54	Marvin	26.1
C00170	pKb	1:13:7.02;1:15:-1.05;1:17:-3.65;1:18:-3.85;1:19:-4.99;1:12:-6.38;1:14:-7.49	Marvin	26.1
C00175	pKa	1:1:3.09;1:1:3.55;1:1:4.40;1:1:6.05	Marvin	26.1
C00177	pKa	1:1:9.50	Marvin	26.1
C00178	pKa	1:8:8.46;1:9:10.55	Marvin	26.1
C00178	pKb	1:6:-0.90;1:7:-9.06	Marvin	26.1
C00179	pKa	1:8:19.80	Marvin	26.1
C00179	pKb	1:7:13.16;1:6:9.78;1:9:-0.75	Marvin	26.1
C00180	pKa	1:9:4.08	Marvin	26.1
C00181	pKa	1:9:11.31;1:8:12.79;1:6:13.76;1:7:14.97	Marvin	26.1
C00181	pKb	1:6:-3.53;1:7:-3.67;1:8:-3.94;1:10:-4.35;1:9:-4.39	Marvin	26.1
C00182	pKa	1:38:11.19;1:37:11.87;1:36:12.26;1:35:12.63;1:34:13.05;1:33:13.62;1:32:14.05;1:31:14.55	Marvin	26.1
C00182	pKb	1:31:-3.68;1:32:-3.69;1:33:-3.69;1:34:-3.94;1:35:-3.95;1:36:-3.95;1:37:-3.95;1:38:-4.39	Marvin	26.1
C00183	pKa	1:8:2.72	Marvin	26.1
C00183	pKb	1:6:9.60	Marvin	26.1
C00184	pKa	1:4:13.50;1:5:14.20	Marvin	26.1
C00184	pKb	1:4:-3.32;1:5:-3.32;1:6:-8.41	Marvin	26.1
C00185	pKa	1:20:11.25;1:19:12.17;1:15:12.80;1:17:13.32;1:16:14.00;1:18:14.41;1:14:14.78;1:13:15.22	Marvin	26.1
C00185	pKb	1:13:-2.98;1:14:-2.98;1:15:-3.65;1:16:-3.68;1:17:-3.69;1:18:-3.94;1:19:-3.95;1:20:-4.39	Marvin	26.1
C00186	pKa	1:6:3.78;1:4:14.59	Marvin	26.1
C00186	pKb	1:4:-3.67	Marvin	26.1
C00187	pKa	1:28:18.20	Marvin	26.1
C00187	pKb	1:28:-1.40	Marvin	26.1
C00188	pKa	1:8:2.21;1:6:14.95	Marvin	26.1
C00188	pKb	1:5:8.95;1:6:-2.94	Marvin	26.1
C00189	pKa	1:4:15.61	Marvin	26.1
C00189	pKb	1:3:9.50;1:4:-2.53	Marvin	26.1
C00190	pKa	1:24:1.87;1:26:2.84;1:18:6.39;1:22:12.07;1:21:12.67;1:20:13.37;1:19:14.06;1:17:14.89	Marvin	26.1
C00190	pKb	1:17:-3.53;1:20:-3.66;1:19:-3.67;1:21:-3.79;1:22:-3.96	Marvin	26.1
C00191	pKa	1:11:3.21;1:12:11.31;1:4:12.73;1:9:13.66;1:8:14.92;1:7:19.98	Marvin	26.1
C00191	pKb	1:7:-3.69;1:8:-3.73;1:9:-3.94;1:12:-4.40;1:13:-4.45	Marvin	26.1
C00192	pKa	1:2:12.15	Marvin	26.1
C00192	pKb	1:1:5.84;1:2:-4.05	Marvin	26.1
C00193	pKb	1:8:-7.11	Marvin	26.1
C00194	pKa	1:85:1.86;1:80:5.03;1:81:5.41;1:82:5.68;1:77:5.93;1:79:6.17;1:83:6.46;1:78:6.89	Marvin	26.1
C00196	pKa	1:11:2.56;1:8:9.70;1:9:14.35	Marvin	26.1
C00196	pKb	1:8:-6.34;1:9:-6.61	Marvin	26.1
C00197	pKa	1:7:1.30;1:6:3.84;1:8:6.48;1:4:13.53	Marvin	26.1
C00197	pKb	1:4:-4.15	Marvin	26.1
C00198	pKa	1:10:11.62;1:8:13.05;1:9:14.35;1:7:14.97	Marvin	26.1
C00198	pKb	1:7:-2.99;1:8:-3.66;1:9:-3.72;1:10:-4.26;1:11:-7.45	Marvin	26.1
C00199	pKa	1:11:1.48;1:10:6.50;1:9:12.24;1:6:13.71;1:8:14.35	Marvin	26.1
C00199	pKb	1:6:-3.33;1:8:-3.58;1:9:-3.98;1:7:-8.53	Marvin	26.1
C00200	pKb	1:14:0.23	Marvin	26.1
C00202	pKb	1:8:-9.65	Marvin	26.1
C00203	pKa	1:31:1.82;1:29:2.75;1:22:6.15;1:23:6.76;1:27:12.40;1:25:13.04;1:24:13.91;1:26:14.55	Marvin	26.1
C00203	pKb	1:26:-3.63;1:24:-3.64;1:25:-3.66;1:27:-3.79	Marvin	26.1
C00204	pKa	1:11:2.91;1:10:13.30;1:8:14.74;1:7:15.80	Marvin	26.1
C00204	pKb	1:7:-2.97;1:8:-3.27;1:10:-3.49;1:9:-9.71	Marvin	26.1
C00206	pKa	1:18:1.73;1:20:2.65;1:17:6.68;1:16:13.98;1:11:18.54	Marvin	26.1
C00206	pKb	1:12:7.29;1:14:-1.03;1:16:-3.24;1:11:-6.37;1:13:-7.07	Marvin	26.1
C00207	pKa	1:2:19.51	Marvin	26.1
C00207	pKb	1:4:-7.19	Marvin	26.1
C00208	pKa	1:20:11.25;1:19:12.17;1:15:12.80;1:17:13.32;1:16:14.00;1:18:14.41;1:14:14.78;1:13:15.22	Marvin	26.1
C00208	pKb	1:13:-2.98;1:14:-2.98;1:15:-3.65;1:16:-3.68;1:17:-3.69;1:18:-3.94;1:19:-3.95;1:20:-4.39	Marvin	26.1
C00209	pKa	1:5:1.36;1:3:4.11	Marvin	26.1
C00212	pKa	1:18:12.45;1:17:13.89;1:16:14.78;1:11:18.54	Marvin	26.1
C00212	pKb	1:12:7.02;1:14:-1.05;1:16:-2.98;1:17:-3.67;1:18:-3.85;1:19:-5.00;1:11:-6.38;1:13:-7.49	Marvin	26.1
C00213	pKa	1:6:2.06	Marvin	26.1
C00213	pKb	1:4:10.35	Marvin	26.1
C00214	pKa	1:15:6.32;1:14:13.89;1:13:14.79	Marvin	26.1
C00214	pKb	1:16:-0.88;1:11:-2.58;1:13:-2.98;1:14:-3.24;1:17:-5.02	Marvin	26.1
C00216	pKa	1:9:11.31;1:8:12.79;1:6:13.76;1:7:14.97	Marvin	26.1
C00216	pKb	1:6:-3.53;1:7:-3.67;1:8:-3.94;1:10:-4.35;1:9:-4.39	Marvin	26.1
C00217	pKa	1:10:1.88;1:8:4.27	Marvin	26.1
C00217	pKb	1:6:9.54	Marvin	26.1
C00218	pKb	1:2:10.08	Marvin	26.1
C00219	pKa	1:22:4.82	Marvin	26.1
C00220	pKb	1:17:2.44;1:18:-0.21;1:19:-1.30	Marvin	26.1
