external_id	kind	value	tool	tool_version
C00001	pKa	1:1:14.00	Marvin	26.1
C00001	pKb	1:1:0.00	Marvin	26.1
C00002	pKa	1:23:0.89;1:19:2.06;1:21:2.68;1:18:6.67;1:17:12.60	Marvin	26.1
C00002	pKb	1:12:7.27;1:14:-1.06;1:17:-3.85;1:13:-7.09	Marvin	26.1
C00003	pKa	1:35:1.75;1:37:3.07;1:33:5.96;1:31:11.76	Marvin	26.1
C00003	pKb	1:24:7.06;1:23:3.83;1:26:-1.05;1:31:-4.22;1:25:-7.09	Marvin	26.1
C00004	pKa	1:36:1.76;1:34:2.67;1:33:6.68;1:32:12.60	Marvin	26.1
C00004	pKb	1:23:5.97;1:24:4.52;1:26:-2.46;1:32:-3.85;1:25:-9.38	Marvin	26.1
C00005	pKa	1:33:0.65;1:38:1.79;1:36:2.67;1:34:5.70;1:32:6.54	Marvin	26.1
C00005	pKb	1:23:6.17;1:24:4.50;1:26:-2.46	Marvin	26.1
C00006	pKa	1:34:0.66;1:36:1.78;1:39:2.64;1:35:5.52;1:32:6.14	Marvin	26.1
C00006	pKb	1:24:7.08;1:23:3.76;1:26:-1.07	Marvin	26.1
C00008	pKa	1:19:1.73;1:21:2.65;1:18:6.67;1:17:12.46;1:16:13.98	Marvin	26.1
C00008	pKb	1:12:7.28;1:14:-1.05;1:16:-3.67;1:17:-3.85;1:13:-7.09	Marvin	26.1
C00009	pKa	1:1:1.80;1:2:6.95;1:3:12.90	Marvin	26.1
C00010	pKa	1:34:0.82;1:36:1.85;1:38:2.73;1:32:4.59;1:33:5.84;1:29:6.65;1:48:9.90	Marvin	26.1
C00010	pKb	1:25:7.24	Marvin	26.1
C00013	pKa	1:1:1.70;1:4:2.64;1:2:6.62;1:5:7.44	Marvin	26.1
C00014	pKb	1:1:8.86	Marvin	26.1
C00015	pKa	1:17:1.73;1:19:2.65;1:12:6.28;1:16:7.03;1:14:12.56;1:13:14.03	Marvin	26.1
C00015	pKb	1:15:-1.01;1:10:-3.04;1:13:-3.66;1:14:-3.79	Marvin	26.1
C00016	pKa	1:46:1.83;1:44:2.61;1:42:3.19;1:41:12.46;1:40:13.98	Marvin	26.1
C00016	pKb	1:29:7.02;1:31:-1.05;1:40:-3.67;1:41:-3.85;1:30:-7.09	Marvin	26.1
C00018	pKa	1:13:1.68;1:12:6.65;1:11:7.54	Marvin	26.1
C00018	pKb	1:9:4.31;1:11:-6.44	Marvin	26.1
C00019	pKa	1:25:1.71;1:23:12.44;1:22:13.95	Marvin	26.1
