cpd_id	compound_name	result_type	reason	pubchem_cid	strategy	query	stored_smiles	pubchem_smiles	stored_inchikey	pubchem_inchikey
cpd00028	Haem	STEREO_DIFF	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (0 vs 4)	444097	xref_resolved	xref_resolved:CID444097(STEREO_DIFF)	C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2]	KABFMIBPWCXCRK-RGGAHWMASA-J	KABFMIBPWCXCRK-UHFFFAOYSA-L
cpd00088	2,5-cyclohexadien-1-ol	MISMATCH	MISMATCH: REVIEW:different_compound (tanimoto=0.37, same formula but different connectivity — likely wrong xref mapping) — requires manual review	13726	kegg_xref	C00102	O=C1C(Cl)=CC(=Nc2ccc(O)cc2)C=C1Cl	C1=CC(=O)C=CC1=NC2=CC(=C(C(=C2)Cl)O)Cl	CCBICDLNWJRFPO-UHFFFAOYSA-N	FBWADIKARMIWNM-UHFFFAOYSA-N
