cpd_id	name	reactions	old_inchikey	new_inchikey	old_charge	new_charge	old_stereo	new_stereo	old_smiles	new_smiles
cpd03617	(1S,2R,3S)-2-Formyl-alpha-(hydroxymethylene)-3-methylcyclopentaneacetaldehyde	3	PFGBAVLSGZLAAY-FXBDTBDDSA-N	PFGBAVLSGZLAAY-JYPFKNLRSA-N	0	0	3	4	C[C@H]1CC[C@H](C(C=O)=CO)[C@@H]1C=O	C[C@H]1CC[C@H](/C(C=O)=C/O)[C@@H]1C=O
cpd23880	3,6-anhydro-alpha-D-galactopyranosyl-(1->3)-4-O-sulfo-D-galactose	3	OGFGYTRGDDWUKC-PBFIDDPKSA-M	OGFGYTRGDDWUKC-YBFCQOOYSA-M	-1	-1	9	10	O=S(=O)([O-])O[C@@H]1[C@H](O[C@H]2O[C@@H]3CO[C@@H]([C@H]3O)[C@H]2O)[C@@H](O)C(O)O[C@@H]1CO	O=S(=O)([O-])O[C@@H]1[C@H](O[C@H]2O[C@@H]3CO[C@@H]([C@H]3O)[C@H]2O)[C@@H](O)[C@H](O)O[C@@H]1CO
cpd23888	neo-lambda-carrabiose	3	RHDWPJKPWCDPBP-JZSVMVJISA-K	RHDWPJKPWCDPBP-WSWWMNSNSA-K	-3	-3	9	10	O=S(=O)([O-])OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@@H](CO)OC(O)[C@@H]2OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@@H](O)[C@H]1O	O=S(=O)([O-])OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O)[C@@H]2OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@@H](O)[C@H]1O
cpd25687	alpha-D-Galp2,6S2-(1->3)-beta-D-Galp2S-(1->4)-alpha-D-Galp2,6S2-(1->3)-D-Galp2S	3	CFLYIPGVTFOQCI-SDNHUNQPSA-H	CFLYIPGVTFOQCI-SQESNNFJSA-H	-6	-6	19	20	O=S(=O)([O-])OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@@H]3[C@H](O)[C@@H](OS(=O)(=O)[O-])C(O)O[C@@H]3COS(=O)(=O)[O-])[C@@H]2OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1OS(=O)(=O)[O-]	O=S(=O)([O-])OC[C@H]1O[C@H](O)[C@H](OS(=O)(=O)[O-])[C@@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@H]2O[C@H](COS(=O)(=O)[O-])[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3OS(=O)(=O)[O-])[C@H](O)[C@H]2OS(=O)(=O)[O-])[C@H]1OS(=O)(=O)[O-]
cpd31674	quercetin-3-gentiobioside	3	FDRQPMVGJOQVTL-BVYPKUFKSA-L	FDRQPMVGJOQVTL-DEFKTLOSSA-N	-2	0	9	10	O=c1c(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)C(O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc([O-])cc([O-])c12	O=c1c(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
cpd32789	(S)-4-deoxygadusol	3	ZONRIYAALKITGT-UHFFFAOYSA-M	ZONRIYAALKITGT-QMMMGPOBSA-N	-1	0	0	1	COC1=C([O-])CC(O)(CO)CC1=O	COC1=C(O)C[C@@](O)(CO)CC1=O
cpd35178	4-acetylnivalenol	3	XGCUCFKWVIWWNW-IZEYKREJSA-N	XGCUCFKWVIWWNW-CAYGJDLQSA-N	0	0	7	8	CC(=O)O[C@@H]1[C@@H](O)[C@H]2O[C@@H]3C=C(C)C(=O)[C@@H](O)[C@]3(CO)[C@]1(C)C21CO1	CC(=O)O[C@@H]1[C@@H](O)[C@H]2O[C@@H]3C=C(C)C(=O)[C@@H](O)[C@]3(CO)[C@]1(C)[C@]21CO1
cpd23818	(1,3)-beta-xylotriose	2	WKSXOLNEYANUQB-RTAFPKLOSA-N	WKSXOLNEYANUQB-KWGKWNPMSA-N	0	0	11	12	OC1OC[C@@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@H]1O	O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](O)OC[C@H]3O)OC[C@H]2O)OC[C@H]1O
cpd23819	(1,3)-beta-xylotetraose	2	YIMKISJWNJZSQI-GKDCLMHXSA-N	YIMKISJWNJZSQI-JTOFAPFQSA-N	0	0	15	16	OC1OC[C@@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O[C@@H]3OC[C@@H](O)[C@H](O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H]1O	O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](O[C@@H]4[C@@H](O)[C@H](O)OC[C@H]4O)OC[C@H]3O)OC[C@H]2O)OC[C@H]1O
cpd23881	neocarratetraose 4-<i>O</i>-disulfate	2	PPWBJIYNGRTPNY-SAEYTFRYSA-L	PPWBJIYNGRTPNY-OKPLKWSVSA-L	-2	-2	19	20	O=S(=O)([O-])O[C@@H]1[C@H](O[C@H]2O[C@@H]3CO[C@@H]([C@H]3O)[C@H]2O)[C@@H](O)[C@H](O[C@@H]2[C@@H]3OC[C@H]2O[C@H](O[C@H]2[C@@H](OS(=O)(=O)[O-])[C@@H](CO)OC(O)[C@@H]2O)[C@@H]3O)O[C@@H]1CO	O=S(=O)([O-])O[C@@H]1[C@H](O[C@H]2O[C@@H]3CO[C@H]([C@H]2O)[C@H]3O[C@@H]2O[C@H](CO)[C@H](OS(=O)(=O)[O-])[C@H](O[C@H]3O[C@@H]4CO[C@@H]([C@H]4O)[C@H]3O)[C@H]2O)[C@@H](O)[C@H](O)O[C@@H]1CO
