seed_id	reactions_blocked
cpd43001	3
cpd38234	3
cpd42840	3
cpd38307	3
cpd39648	3
cpd38433	3
cpd42897	3
cpd42899	3
cpd42895	3
cpd42902	3
cpd42901	3
cpd42903	3
cpd43300	3
cpd38456	3
cpd42599	3
cpd38612	3
cpd38624	3
cpd38693	3
cpd38694	3
cpd38753	3
cpd38802	3
cpd38876	3
cpd42991	3
cpd40246	3
cpd39195	3
cpd39389	3
cpd43161	3
cpd39564	3
cpd39623	3
cpd39627	3
cpd39635	3
cpd37282	3
cpd44893	3
cpd48370	3
cpd33274	3
cpd46143	3
cpd46192	3
cpd43820	3
cpd48995	3
cpd46547	3
cpd48428	3
cpd48546	3
cpd48427	3
cpd48542	3
cpd48541	3
cpd48947	3
cpd48771	3
cpd45040	3
cpd48410	3
cpd48528	3
cpd48406	3
cpd48517	3
cpd48405	3
cpd48431	3
cpd48557	3
cpd48551	3
cpd48552	3
cpd48514	3
cpd48707	3
cpd46425	3
cpd48951	3
cpd46863	3
cpd46812	3
cpd43613	3
cpd46126	3
cpd45941	3
cpd46521	3
cpd45308	3
cpd32334	3
cpd46562	3
cpd45530	3
cpd44995	3
cpd37292	2
cpd30797	2
cpd31382	2
cpd31062	2
cpd31383	2
cpd31083	2
cpd31086	2
cpd31104	2
cpd31117	2
cpd31213	2
cpd31259	2
cpd31254	2
cpd31280	2
cpd31299	2
cpd31304	2
cpd31300	2
cpd31315	2
cpd31324	2
cpd31325	2
cpd35747	2
cpd36981	2
cpd36688	2
cpd36356	2
cpd36825	2
cpd32864	2
cpd34948	2
cpd34709	2
cpd36797	2
cpd36952	2
cpd36856	2
cpd36504	2
cpd37269	2
cpd31892	2
cpd36780	2
cpd37031	2
cpd35801	2
cpd36809	2
cpd32152	2
cpd37241	2
cpd36062	2
cpd36740	2
cpd36764	2
cpd36566	2
cpd36986	2
cpd36465	2
cpd33952	2
cpd37054	2
cpd35521	2
cpd32862	2
cpd31540	2
cpd34490	2
cpd36668	2
cpd36373	2
cpd32846	2
cpd36591	2
cpd35904	2
cpd36770	2
cpd36982	2
cpd36612	2
cpd37180	2
cpd36746	2
cpd36362	2
cpd35676	2
cpd33484	2
cpd36728	2
cpd37152	2
cpd36490	2
cpd32200	2
cpd36665	2
cpd32088	2
cpd36763	2
cpd37060	2
cpd32799	2
cpd37088	2
cpd37255	2
cpd36269	2
cpd37225	2
cpd36096	2
cpd36743	2
cpd36635	2
cpd35131	2
cpd32471	2
cpd36866	2
cpd36352	2
cpd36374	2
cpd36989	2
cpd33647	2
cpd36713	2
cpd36116	2
cpd37183	2
cpd34487	2
cpd36476	2
cpd36616	2
cpd36353	2
cpd36357	2
cpd36640	2
cpd32631	2
cpd36644	2
cpd36403	2
cpd36459	2
cpd36805	2
cpd36714	2
cpd36821	2
cpd36175	2
cpd36482	2
cpd36704	2
cpd36434	2
cpd37044	2
cpd33638	2
cpd36055	2
cpd36597	2
cpd36817	2
cpd31812	2
cpd36251	2
cpd36958	2
cpd31913	2
cpd36673	2
cpd36054	2
cpd36435	2
cpd36738	2
cpd36001	2
cpd37043	2
cpd36233	2
cpd37007	2
cpd35736	2
cpd36934	2
cpd37203	2
cpd31976	2
cpd31393	2
cpd32297	2
cpd36319	2
cpd36180	2
cpd36862	2
cpd37259	2
cpd33702	2
cpd37210	2
cpd35689	2
cpd37235	2
cpd34381	2
cpd37245	2
cpd36532	2
cpd32358	2
cpd36651	2
cpd36538	2
cpd36077	2
cpd34067	2
cpd37030	2
cpd34160	2
cpd36998	2
cpd37122	2
cpd36869	2
cpd32590	2
cpd36063	2
cpd36550	2
cpd31609	2
cpd36659	2
cpd37045	2
cpd35364	2
cpd36962	2
cpd37219	2
cpd36859	2
cpd36808	2
cpd37020	2
cpd36867	2
cpd36993	2
cpd32768	2
cpd36935	2
cpd36915	2
cpd36109	2
cpd37139	2
cpd36497	2
cpd36493	2
cpd34001	2
cpd36391	2
cpd36598	2
cpd37162	2
cpd36452	2
cpd36874	2
cpd36546	2
cpd36534	2
cpd33942	2
cpd32899	2
cpd36536	2
cpd36148	2
cpd37163	2
cpd32555	2
cpd36061	2
cpd31774	2
cpd37032	2
cpd37096	2
cpd36718	2
cpd37039	2
cpd36432	2
cpd36501	2
cpd36959	2
cpd37234	2
cpd34658	2
cpd36185	2
cpd36730	2
cpd32788	2
cpd37062	2
cpd32094	2
cpd36281	2
cpd35056	2
cpd36474	2
cpd36682	2
cpd32444	2
cpd37034	2
cpd36670	2
cpd33018	2
cpd33692	2
cpd37175	2
cpd36246	2
cpd36631	2
cpd37036	2
cpd36523	2
cpd36079	2
cpd36548	2
cpd36354	2
cpd36102	2
cpd35466	2
cpd37074	2
cpd36310	2
cpd36944	2
cpd37170	2
cpd36829	2
cpd31406	2
cpd36249	2
cpd32047	2
cpd36259	2
cpd36458	2
cpd36440	2
cpd36084	2
cpd31524	2
cpd36970	2
cpd37264	2
cpd36159	2
cpd36975	2
cpd35760	2
cpd36745	2
cpd33107	2
cpd36658	2
cpd36247	2
cpd37157	2
cpd36253	2
cpd33464	2
cpd37132	2
cpd37181	2
cpd33725	2
cpd32263	2
cpd33741	2
cpd36266	2
cpd35066	2
cpd33113	2
cpd32348	2
cpd36218	2
cpd36917	2
cpd36999	2
cpd37153	2
cpd36771	2
cpd36653	2
cpd37224	2
cpd36389	2
cpd37131	2
cpd36073	2
cpd37200	2
cpd36742	2
cpd36363	2
cpd36274	2
cpd33637	2
cpd36358	2
cpd35178	2
cpd36507	2
cpd35072	2
cpd34685	2
cpd35727	2
cpd36191	2
cpd36675	2
cpd37117	2
cpd34691	2
cpd36918	2
cpd33941	2
cpd36069	2
cpd37108	2
cpd36219	2
cpd36634	2
cpd36620	2
cpd36716	2
cpd32349	2
cpd37249	2
cpd36492	2
cpd31505	2
cpd32717	2
cpd36537	2
cpd37218	2
cpd33185	2
cpd37095	2
cpd36132	2
cpd36213	2
cpd36610	2
cpd36181	2
cpd36872	2
cpd36168	2
cpd35534	2
cpd36904	2
cpd37027	2
cpd37040	2
cpd32755	2
cpd31445	2
cpd31940	2
cpd37118	2
cpd36827	2
cpd37079	2
cpd34747	2
cpd35132	2
cpd32403	2
cpd36343	2
cpd36516	2
cpd36236	2
cpd32611	2
cpd36650	2
cpd37215	2
cpd37196	2
cpd36974	2
cpd36491	2
cpd36611	2
cpd36693	2
cpd37050	2
cpd36388	2
cpd36092	2
cpd36462	2
cpd37250	2
cpd35261	2
cpd36947	2
cpd33505	2
cpd32548	2
cpd35061	2
cpd34680	2
cpd36487	2
cpd36057	2
cpd37134	2
cpd37214	2
cpd36068	2
cpd36147	2
cpd36453	2
cpd37230	2
cpd35661	2
cpd36286	2
cpd43308	2
cpd43319	2
cpd43383	2
cpd39808	2
cpd37404	2
cpd42431	2
cpd37927	2
cpd42301	2
cpd43301	2
cpd39214	2
cpd42598	2
cpd43508	2
cpd43505	2
cpd39791	2
cpd40242	2
cpd39206	2
cpd43423	2
cpd37499	2
cpd39945	2
cpd40769	2
cpd38304	2
cpd41346	2
cpd42013	2
cpd40928	2
cpd42369	2
cpd39986	2
cpd43403	2
cpd42676	2
cpd40934	2
cpd38329	2
cpd43481	2
cpd37440	2
cpd39976	2
cpd43356	2
cpd37732	2
cpd43335	2
cpd40090	2
cpd41842	2
cpd37514	2
cpd42006	2
cpd38584	2
cpd42826	2
cpd42135	2
cpd41707	2
cpd41995	2
cpd42280	2
cpd41992	2
cpd40326	2
cpd39811	2
cpd38029	2
cpd39951	2
cpd42541	2
cpd38962	2
cpd42294	2
cpd39087	2
cpd42019	2
cpd42368	2
cpd41929	2
cpd40088	2
cpd41881	2
cpd40361	2
cpd43044	2
cpd39939	2
cpd40077	2
cpd37835	2
cpd38451	2
cpd40070	2
cpd42170	2
cpd37478	2
cpd38044	2
cpd40041	2
cpd40892	2
cpd42293	2
cpd38175	2
cpd42680	2
cpd41822	2
cpd43353	2
cpd40087	2
cpd42152	2
cpd40019	2
cpd42973	2
cpd40943	2
cpd40055	2
cpd42072	2
cpd37533	2
cpd43442	2
cpd37944	2
cpd39850	2
cpd43320	2
cpd42582	2
cpd42737	2
cpd42987	2
cpd42772	2
cpd43326	2
cpd43291	2
cpd41335	2
cpd43485	2
cpd43500	2
cpd41825	2
cpd40058	2
cpd40149	2
cpd40137	2
cpd41813	2
cpd37934	2
cpd40318	2
cpd40200	2
cpd38185	2
cpd40849	2
cpd40360	2
cpd41955	2
cpd41827	2
cpd41957	2
cpd42003	2
cpd43075	2
cpd40511	2
cpd40848	2
cpd40852	2
cpd40595	2
cpd40838	2
cpd43494	2
cpd40820	2
cpd40824	2
cpd41011	2
cpd43273	2
cpd43274	2
cpd43275	2
cpd43277	2
cpd43279	2
cpd43280	2
cpd43281	2
cpd43289	2
cpd43322	2
cpd43323	2
cpd43324	2
cpd41901	2
cpd41903	2
cpd41936	2
cpd41107	2
cpd42249	2
cpd42030	2
cpd41199	2
cpd42037	2
cpd42038	2
