# eQuilibrator estimates as stored in ModelSEED before the 2026-08 regeneration
# units: kcal/mol   source key: thermodynamics['eQuilibrator']
# provenance: Scripts/Thermodynamics/Retrieve_eQuilibrator_Reactions_Energies.py (MetaNetX InChIKey ladder)
id	name	deltag_kcal_per_mol	deltagerr_kcal_per_mol	reversibility
rxn00001	diphosphate phosphohydrolase	-4.07	0.05	>
rxn00002	urea-1-carboxylate amidohydrolase	-19.77	1.84	>
rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	7.14	0.89	<
rxn00004	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	3.38	0.56	=
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	-45.86	1.61	>
rxn00007	alpha,alpha-trehalose glucohydrolase	-2.74	0.26	>
rxn00008	Mn(II):hydrogen-peroxide oxidoreductase	62.33	0.79	<
rxn00009	GTP:GTP guanylyltransferase	2.85	1.52	=
rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	-4.49	1.06	>
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	6.99	0.82	<
rxn00012	sucrose:sucrose 1'-beta-D-fructosyltransferase	-1.38	1.32	=
rxn00013	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase	-5.87	0.98	=
rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	-1.16	1.09	=
rxn00016	chitobiose N-acetylglucosaminohydrolase	-2.99	0.85	=
rxn00017	hydroxylamine:NAD+ oxidoreductase	-20.46	23900.57	=
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	-6.31	0.91	=
rxn00019	2-Nitropropane:oxygen 2-oxidoreductase	0.02	23900.57	=
rxn00020	cellobiose glucohydrolase	-2.7	0.42	>
rxn00021	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	2.9	0.44	=
rxn00022	maltose glucohydrolase	-3.4	0.38	>
rxn00024	1,2-Benzenediol:oxygen oxidoreductase	-126.04	2.58	>
rxn00025	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	-85.96	1.21	>
rxn00026	thiamine:oxygen 5-oxidoreductase	-26.71	1.01	>
rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	-24.44	0.97	>
rxn00030	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	-2.95	0.26	=
rxn00032	Choline:oxygen 1-oxidoreductase	-100.72	0.91	>
rxn00033	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	-160.17	2.71	>
rxn00034	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	-87.68	0.78	>
rxn00035	columbamine:oxygen oxidoreductase (cyclizing)	-118.72	1.86	>
rxn00036	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	-82.13	3.43	>
rxn00037	omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)	-107.57	2.0	>
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	-12.83	1.17	>
rxn00039	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	-2.61	0.35	=
rxn00040	digallate acylhydrolase	-14.24	0.8	>
rxn00041	orsellinate-depside hydrolase	-14.33	0.8	>
rxn00042	inosine:oxygen 5'-oxidoreductase	-101.26	1.76	>
rxn00043	catechol:oxygen oxidoreductase	-71.42	4.94	>
rxn00044	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	1.15	0.41	=
rxn00046	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase	-1.18	0.95	=
rxn00047	R_4__4_Deoxy_beta_D_gluc_4_enuronosyl__D_galacturonate_lyase	-14.58	0.8	>
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	-22.96	1.98	>
rxn00050	rxn00050	108.91	3.04	<
rxn00051	D-urobilinogen:oxygen oxidoreductase	-117.03	4.79	>
rxn00052	thiamine-aldehyde:oxygen 5-oxidoreductase	-40.38	1.03	>
rxn00053	Prostaglandin H2:oxygen oxidoreductase	-0.0	23900.57	=
rxn00054	2-aminophenol:oxygen oxidoreductase (dimerizing)	-236.0	47806.68	=
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	2.36	71706.7	=
rxn00056	Fe(II):oxygen oxidoreductase	-11.69	4.04	=
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)	-160.97	95608.32	=
rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	-31.81	2.06	>
rxn00061	ATP diphosphohydrolase (phosphate-forming)	-13.03	0.14	>
rxn00062	ATP phosphohydrolase	-6.54	0.07	>
rxn00063	ATP diphosphohydrolase (diphosphate-forming)	-8.97	0.14	>
rxn00064	ATP aminohydrolase	-13.3	0.85	>
rxn00065	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	0.8	0.24	>
rxn00066	NADH:hydrogen-peroxide oxidoreductase	-77.51	0.77	>
rxn00067	CoA:NAD+ oxidoreductase	-2.96	0.8	=
rxn00068	Fe2+:NAD+ oxidoreductase	48.74	1.99	<
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	12.12	0.22	=
rxn00070	glutathione:NAD+ oxidoreductase	3.72	0.2	=
rxn00075	NAD nucleosidase, mitochondrial	-7.95	0.79	>
rxn00076	NAD+ phosphohydrolase	-8.26	0.71	>
rxn00077	ATP:NAD+ 2'-phosphotransferase	-2.4	0.7	=
rxn00078	ATP:NADH 2'-phosphotransferase	-2.43	0.71	=
rxn00082	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase	-27.83	23900.57	=
rxn00083	NADPH:NAD+ oxidoreductase	0.03	0.08	=
rxn00084	NADPH:hydrogen-peroxide oxidoreductase	-77.48	0.77	>
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)	12.09	0.23	=
rxn00086	glutathione:NADP+ oxidoreductase	3.69	0.19	=
rxn00087	NADPH:CoA-glutathione oxidoreductase	-1.65	1.57	=
rxn00088	NADP+ 2'-phosphohydrolase	-4.14	0.7	>
rxn00090	glutathione:oxygen oxidoreductase	-27.93	1.02	>
rxn00091	rxn00091	-70.81	1.23	>
rxn00092	ADP phosphohydrolase	-6.49	0.07	>
rxn00093	ADP aminohydrolase	-13.62	0.91	>
rxn00095	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	-9.27	2.0	>
rxn00096	ADP:ATP adenylyltransferase	2.73	2.0	=
rxn00097	ATP:AMP phosphotransferase	-0.05	0.04	=
rxn00098	Adenosine-tetraphosphate phosphohydrolase	-8.49	0.7	>
rxn00099	(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)	-12.74	0.91	>
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	1.28	0.7	=
rxn00101	Urea amidohydrolase	-6.96	1.09	>
rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)	1.24	0.74	=
rxn00103	formate:NADP+ oxidoreductase	-3.43	0.78	>
rxn00104	polyphosphate kinase	-0.05	23900.57	=
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase	-0.7	0.7	=
rxn00106	Triphosphate phosphohydrolase	-8.66	23900.57	>
rxn00107	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	1.41	0.31	=
rxn00108	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	-0.96	0.31	=
rxn00109	ammonia:NAD+ oxidoreductase	-19.77	23900.57	=
rxn00112	rxn00112	9.94	23900.57	<
rxn00113	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	0.27	0.95	=
rxn00114	ATP:carbamate phosphotransferase	6.81	0.94	<
rxn00116	UDP phosphohydrolase	-6.26	0.76	>
rxn00117	ATP:UDP phosphotransferase	0.05	0.3	=
rxn00118	Uridine triphosphate:AMP phosphotransferase	-0.1	0.3	=
rxn00119	ATP:UMP phosphotransferase	-0.28	0.76	=
rxn00120	UTP phosphohydrolase	-6.59	0.3	>
rxn00121	FAD nucleotidohydrolase	-5.35	0.94	>
rxn00122	ATP:FMN adenylyltransferase	-3.08	0.94	>
rxn00123	pyridoxal-5'-phosphate phosphohydrolase	-3.08	0.48	>
rxn00124	ATP:pyridoxal 5'-phosphotransferase	-3.46	0.48	=
rxn00125	S-Adenosyl-L-methionine hydrolase	12.27	23902.45	=
rxn00126	ATP:L-methionine S-adenosyltransferase	-21.06	23902.15	>
rxn00127	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]	-5.48	0.74	>
rxn00128	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)	-12.95	23903.29	=
rxn00129	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	13.62	23902.29	=
rxn00130	AMP aminohydrolase	-7.7	0.46	>
rxn00131	AMP phosphoribohydrolase	-4.27	0.36	>
rxn00132	Adenosine 5'-monophosphate phosphohydrolase	-3.54	0.34	>
rxn00133	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	-9.23	2.0	>
rxn00134	ATP:adenosine 5'-phosphotransferase	-3.0	0.34	>
rxn00135	(S)-Lactate adenylohydrolase	-10.63	23900.57	=
rxn00136	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase	-10.63	23900.57	=
rxn00137	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase	-1.92	0.75	>
rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	-4.36	0.67	>
