# cache=data/cache_win/compounds.sqlite params=data/cc_params_win.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
reaction_id	name	status	dg_prime_kJ_per_mol	uncertainty_kJ_per_mol	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol	formula
rxn00012	sucrose:sucrose 1'-beta-D-fructosyltransferase	ok	-3.773	5.696	-0.902	1.361	2 seed:cpd00076 = seed:cpd00027 + seed:cpd02298
rxn00013	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase	ok	-5.679	3.616	-1.357	0.864	2 seed:cpd00089 = seed:cpd00027 + seed:cpd00499
rxn00014	ferrocytochrome-c:hydrogen-peroxide oxidoreductase	compound not in cache: seed:cpd00110					seed:cpd00025 + 2 seed:cpd00067 + 2 seed:cpd00110 = 2 seed:cpd00001 + 2 seed:cpd00109
rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	ok	-4.273	4.683	-1.021	1.119	2 seed:cpd00118 = seed:cpd00013 + seed:cpd03802
rxn00016	chitobiose N-acetylglucosaminohydrolase	ok	-17.067	3.559	-4.079	0.851	seed:cpd00001 + seed:cpd01157 = 2 seed:cpd00122
rxn00017	hydroxylamine:NAD+ oxidoreductase	undecomposable: 3991,412					2 seed:cpd00003 + 2 seed:cpd00165 = 2 seed:cpd00004 + 2 seed:cpd00067 + seed:cpd01252
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	ok	-19.317	4.138	-4.617	0.989	seed:cpd00001 + seed:cpd00011 + seed:cpd00871 = 2 seed:cpd00067 + 2 seed:cpd00169
rxn00019	2-Nitropropane:oxygen 2-oxidoreductase	undecomposable: 7880					seed:cpd00007 + 2 seed:cpd01433 = 2 seed:cpd00075 + 2 seed:cpd00178
rxn00020	cellobiose glucohydrolase	ok	-10.530	3.403	-2.517	0.813	seed:cpd00001 + seed:cpd00158 = 2 seed:cpd00190
rxn00021	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	ok	11.666	1.955	2.788	0.467	seed:cpd01008 = 2 seed:cpd00225
