# cache=data/cache_win/compounds.sqlite params=data/cc_params_win.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
reaction_id	name	status	dg_prime_kJ_per_mol	uncertainty_kJ_per_mol	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol	formula
rxn18500	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18501	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18502	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18503	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18504	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18505	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18506	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18507	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18508	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18509	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18510	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18511	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18512	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18513	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18514	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18515	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18516	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18517	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18518	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18519	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18520	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18521	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18522	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18523	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18524	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18525	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18526	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18527	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18528	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18529	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18530	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18531	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18532	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18533	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18534	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18535	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18536	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18537	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18538	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18539	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18540	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18541	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18542	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18543	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18544	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18545	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18546	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18547	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18548	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18549	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18550	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18551	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18552	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18553	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18554	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18555	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18556	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18557	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18558	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18559	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18560	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18561	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18562	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18563	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18564	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18565	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18566	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18567	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18568	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18569	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18570	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18571	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18572	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18573	maltose-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18574	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18575	ATP phosphohydrolase (disaccharide-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18576	ATP phosphohydrolase (polar-amino-acid-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18577	ATP phosphohydrolase (polar-amino-acid-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18578	ATP phosphohydrolase (polar-amino-acid-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18579	ATP phosphohydrolase (polar-amino-acid-importing)	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18580	nonpolar-amino-acid-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18581	nonpolar-amino-acid-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18582	nonpolar-amino-acid-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18583	nonpolar-amino-acid-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18584	nonpolar-amino-acid-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18585	nonpolar-amino-acid-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18586	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18587	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18588	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18589	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18590	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18591	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18592	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18593	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18594	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18595	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18596	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18597	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18598	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18599	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18600	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18601	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18602	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18603	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18604	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18605	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18606	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18607	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18608	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18609	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18610	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18611	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18612	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18613	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18614	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18615	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18616	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18617	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18618	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18619	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18620	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18621	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18622	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18623	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18624	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18625	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18626	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18627	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18628	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18629	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18630	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18631	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18632	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18633	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18634	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18635	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18636	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18637	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18638	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18639	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18640	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18641	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18642	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18643	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn18644	oligopeptide-transporting ATPase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
