inchikey	dG0_prime_kcal	uncertainty_kcal	source_cpd	match_type
MMNYKQIDRZNIKT-VSADUBDNSA-N	395.7009235309091	75157.72790119794	cpd01334	connectivity
LUEWUZLMQUOBSB-YQGOCCRESA-N	-285.7887954884802	1.2679199593794814	cpd01376	connectivity
XXFACTAYGKKOQB-ZETCQYMHSA-N	196.72054617016244	0.9929258897266815	cpd01386	connectivity
XUFIWSHGXVLULG-IDLVJFIQSA-S	230.14648068671482	2.9244809973372923	cpd01388	connectivity
OXFPYCSNYOFUCH-AODVQFRNSA-M	223.78273905026634	23900.57361376673	cpd01390	connectivity
NRJQGHHZMSOUEN-HHVNVSIESA-J	-59.2760629557316	2.7690671936710403	cpd01402	connectivity
CQJGVSCAFSXDSB-KURKYZTESA-M	278.2045743027853	1.5344381068341382	cpd01434	connectivity
LOLHYFQEDPGSHZ-AKGZTFGVSA-L	-97.85514494954366	0.37915248406681407	cpd01436	connectivity
FBJQEBRMDXPWNX-FYHZSNTMSA-N	-228.7880821559912	0.9066997939175709	cpd01461	connectivity
YBHTVSIBHATTHP-UXHICEINSA-N	211.76154494483927	43806.90348163914	cpd01485	connectivity
MBNRADMGBBUWJK-UHFFFAOYSA-M	-47.885945882496166	23901.553869641975	cpd01506	connectivity
FQDOAQMGAIINEJ-LJVFLWCUSA-N	-117.78698094139628	27865.312107737274	cpd01525	connectivity
LPLVUJXQOOQHMX-YXKRSGAASA-K	-92.21018741906894	100209.77330102392	cpd01538	connectivity
KXSDPILWMGFJMM-OPRDCNLKSA-N	100.28982609963484	25052.642591020274	cpd01619	connectivity
QTHJXLFFFTVYJC-UHFFFAOYSA-L	-131.33639008050207	0.5051689834180627	cpd01644	connectivity
SHZGCJCMOBCMKK-GASJEMHNSA-N	-64.63611104440656	0.4371715003389539	cpd01660	connectivity
VTMFDSJJVNQXLT-AARZOWLDSA-M	-121.20909906077362	1.9391279471986573	cpd01683	connectivity
KFNFRHMHJQINPB-IKZNKTFNSA-O	70.66673640548683	54678.14416161737	cpd01684	connectivity
JVYKIBAJVKEZSQ-XHLRWWMNSA-O	62.25084046367272	40616.22467676928	cpd01704	connectivity
WTIIULQJLZEHGZ-HODUVHNASA-L	-120.95802061723944	0.5992226861345575	cpd01705	connectivity
NKDFYOWSKOHCCO-KHQAIKDHSA-N	78.77221643775685	52841.245792773654	cpd01712	connectivity
WNKDGPXNFMMOEJ-RNJSZURPSA-O	301.67943826333567	23900.57361376673	cpd01736	connectivity
FYWIDDXZIOQEQU-KAQMDTKVSA-N	-116.99203259790465	0.40769296692859863	cpd01792	connectivity
ZVQAVWAHRUNNPG-WISUUJSJSA-N	-43.88589307146355	0.5679179601977695	cpd01796	connectivity
KKMQGSAQSNGBOY-GVLGWVKGSA-N	158.78591150357124	2.3910682321157126	cpd01817	connectivity
XDBMXUKHMOFBPJ-URVZRBSTSA-M	-323.971274629823	16901.658439641018	cpd01821	connectivity
OKUVUONOJCDUJY-GASJEMHNSA-M	-283.3972833326509	16901.180040172523	cpd01829	connectivity
QWYFHHGCZUCMBN-UHFFFAOYSA-N	64.09180607848002	23902.60913622811	cpd01840	connectivity
IPABSWBNWMXCHM-LBOXEOMUSA-N	78.94120614908176	25056.03829500285	cpd01863	connectivity
NBSCHQHZLSJFNQ-UHFFFAOYSA-L	-315.25908083542555	0.15428877623446616	cpd01903	connectivity
WNUWWHMCMPDGLG-HRSYOOLJSA-K	-551.4180483118571	1.300400346304241	cpd01941	connectivity
ZHPLPRUARZZBET-ARLHGKGLSA-N	-185.29923484043692	3.654220708001789	cpd01954	connectivity
SXZYCXMUPBBULW-RYJUONAYSA-N	-119.73741922849744	0.4780654950815478	cpd01992	connectivity
KRGQEOSDQHTZMX-GDGKWOGESA-N	-135.17959218531118	0.6298991334759622	cpd02098	connectivity
BTXBYCHDVZGXMF-SVOARWBNSA-N	148.43783394610182	1.2066787453876588	cpd02106	connectivity
WTQYWNWRJNXDEG-RBZJEDDUSA-O	44.37459105138641	28224.66010051609	cpd02114	connectivity
RVCNKTPCHZNAAO-IMSLGMFESA-L	371.3755865838272	4.789499765918076	cpd02168	connectivity
ATZKAUGGNMSCCY-QLYDTTAWSA-L	161.99436550444995	3.730275892363937	cpd02169	connectivity
LOULRGSWJAXPFN-JHJMUWKLSA-L	-441.1943195650172	1.337391524278704	cpd02177	connectivity
QTHJXLFFFTVYJC-UHFFFAOYSA-L	-131.33639008050207	0.5051689834180627	cpd02183	connectivity
XUDNWQSXPROHLK-RCHULGBISA-N	5.277236321206588	23902.521976804135	cpd02207	connectivity
WZRRJZYYGOOHRC-AXLMTQBOSA-M	223.782941796964	23900.57361376673	cpd02249	connectivity
GOZJYXJJQVGDOJ-XKNYDFJKSA-L	-140.7995248422492	1.7580747458804993	cpd02287	connectivity
BFZHCUBIASXHPK-ODYOLWGQSA-N	57.998461458088734	56448.64424715608	cpd02348	connectivity
