reaction_id	name	our_status	upstream_dg	upstream_sigma	differing_compounds	formula
rxn23778	RXN-22.c	outside CC span	8.242	4.327		seed:cpd22505 = seed:cpd00106 + seed:cpd00257
rxn24063	131-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester dehydrogenase	outside CC span	-438.125	3.338		seed:cpd00005 + seed:cpd00007 + seed:cpd08629 = 2 seed:cpd00001 + seed:cpd00006 + seed:cpd00067 + seed:cpd08630
rxn24417	primary fluorescent chlorophyll catabolite:NADP+ oxidoreductase	outside CC span	13.789	4.843		seed:cpd00006 + seed:cpd19368 = seed:cpd00005 + seed:cpd00067 + seed:cpd18005
rxn25105	RXN-8720.c	unbalanced	-403.405	9.799	cpd25506(ours=DPFDPBNAIOIBJC-YLVKXZTISA-L,up=LXPDKGXZXITTJG-LATFJNLWSA-J)	seed:cpd00007 + 5 seed:cpd00067 + 2 seed:cpd07113 = 3 seed:cpd00001 + seed:cpd25506
rxn25161	RXN-8798.c	outside CC span	-108.429	1.011		seed:cpd00005 + seed:cpd08629 = seed:cpd00006 + 5 seed:cpd00067 + seed:cpd08630
rxn25185	RXN-8838.c	outside CC span	-28.329	2.310		seed:cpd00001 + seed:cpd25588 = seed:cpd00013 + seed:cpd25590
rxn25455	RXN-9212.c	outside CC span	28.830	1.741		seed:cpd00005 + 5 seed:cpd00067 + 2 seed:cpd16531 = seed:cpd00006 + seed:cpd03936 + seed:cpd03937
rxn25998	undecaprenyl phosphate-alpha-L-Ara4N transferase	unbalanced	18.225	0.000	cpd27350(ours=LXMYMRJTVHRJDS-ONGUXPFGSA-J,up=RYVJLJVPSMBXLB-SWFLZAEGSA-L)	seed:cpd03587 + 2 seed:cpd14878 = 2 seed:cpd19245 + seed:cpd27350
rxn25999	undecaprenyl phosphate-alpha-L-Ara4N transferase	unbalanced	18.225	0.000	cpd27350(ours=LXMYMRJTVHRJDS-ONGUXPFGSA-J,up=RYVJLJVPSMBXLB-SWFLZAEGSA-L)	seed:cpd03587 + 2 seed:cpd14878 = 2 seed:cpd19245 + seed:cpd27350
rxn26117	RXN0-5127.c	unbalanced	-19.243	3.477	cpd26544(ours=DNFPUONWCBGXPM-XPYORZHASA-D,up=DNFPUONWCBGXPM-AZUGHDOASA-D);cpd26545(ours=VRDYWCICTHFHJX-QFKNHEPOSA-D,up=CEMLXOTXCUORFY-GRKFJNPXSA-D)	seed:cpd03831 + seed:cpd26544 = seed:cpd00008 + seed:cpd26545
rxn26118	RXN0-5127.p	unbalanced	-19.243	3.477	cpd26544(ours=DNFPUONWCBGXPM-XPYORZHASA-D,up=DNFPUONWCBGXPM-AZUGHDOASA-D);cpd26545(ours=VRDYWCICTHFHJX-QFKNHEPOSA-D,up=CEMLXOTXCUORFY-GRKFJNPXSA-D)	seed:cpd03831 + seed:cpd26544 = seed:cpd00008 + seed:cpd26545
rxn26315	RXN0-5383.c	unbalanced	2.844	0.000	cpd26545(ours=VRDYWCICTHFHJX-QFKNHEPOSA-D,up=CEMLXOTXCUORFY-GRKFJNPXSA-D);cpd25994(ours=IZUALNRLWYNVNR-UUAFBPCQSA-D,up=IZUALNRLWYNVNR-GRKFJNPXSA-C)	seed:cpd02229 + seed:cpd26545 = seed:cpd19245 + seed:cpd25994
rxn28264	RXN-22.d	outside CC span	8.242	4.327		seed:cpd22505 = seed:cpd00106 + seed:cpd00257
rxn30928	RXN-7741	outside CC span	49.786	4.806		2 seed:cpd00067 + seed:cpd18005 = seed:cpd19368
rxn32855	3-mercaptopyruvate sulfurtransferase	outside CC span	-80.368	5.494		seed:cpd00150 + seed:cpd00706 = seed:cpd00020 + seed:cpd00067 + seed:cpd01211
rxn32857	3-mercaptopyruvate sulfurtransferase	outside CC span	-80.368	5.494		seed:cpd00150 + seed:cpd00706 = seed:cpd00020 + seed:cpd00067 + seed:cpd01211
rxn35521	dehydrodolichol diphosphate saturase	unbalanced	-119.366	2.045	"cpd11713(ours=ABBXHUGHLKTIFP-AMBVJARFSA-L,up=MXGLYEVGJRXBTP-QOLULZROSA-N
)"	2 seed:cpd00004 + seed:cpd12788 = 2 seed:cpd00003 + seed:cpd11713
rxn44875		outside CC span	-50.370	6.987		seed:cpd00002 + seed:cpd00279 + seed:cpd00322 = seed:cpd00010 + seed:cpd00012 + seed:cpd00018 + 3 seed:cpd00067 + seed:cpd05418
rxn47230	cinchoninone NADPH oxidoreductase	outside CC span	34.745	2.022		2 seed:cpd00006 + seed:cpd03936 + seed:cpd03937 = 2 seed:cpd00005 + 4 seed:cpd00067 + 2 seed:cpd16531
