# eQuilibrator estimates as stored in ModelSEED before the 2026-08 regeneration
# units: kcal/mol   source key: thermodynamics['eQuilibrator']
# provenance: Scripts/Thermodynamics/Retrieve_eQuilibrator_Reactions_Energies.py (MetaNetX InChIKey ladder)
id	name	deltag_kcal_per_mol	deltagerr_kcal_per_mol	reversibility
cpd00063	Ca2+	-0.77	23900.57	
cpd00064	Ornithine	39.64	1.1	
cpd00065	L-Tryptophan	89.97	0.52	
cpd00066	L-Phenylalanine	56.02	0.64	
cpd00067	H+	0.0	0.0	
cpd00068	ITP	-619.13	0.9	
cpd00069	L-Tyrosine	18.52	0.7	
cpd00070	Malonyl-CoA	-532.96	1.86	
cpd00071	Acetaldehyde	5.44	0.17	
cpd00072	D-fructose-6-phosphate	-314.62	0.16	
cpd00073	Urea	-9.51	0.7	
cpd00074	S	0.0	0.0	
cpd00075	Nitrite	-7.89	0.7	
cpd00076	Sucrose	-160.58	0.36	
cpd00077	Catechol	-11.07	1.08	
cpd00078	Succinyl-CoA	-510.95	1.92	
cpd00079	D-glucose-6-phosphate	-315.26	0.15	
cpd00080	Glycerol-3-phosphate	-252.54	0.25	
cpd00081	Sulfite	-116.63	0.7	
cpd00082	D-Fructose	-101.66	0.3	
cpd00083	GDP-mannose	-521.4	16172.56	
cpd00084	L-Cysteine	-15.03	0.77	
cpd00085	beta-Alanine	-21.07	1.24	
cpd00086	Propionyl-CoA	-421.68	1.9	
cpd00087	Tetrahydrofolate	11.07	16173.19	
cpd00088	2,6-dichloroindophenol	-36.37	49903.87	
cpd00089	Glucose-1-phosphate	-311.26	0.31	
cpd00090	IDP	-410.41	0.94	
cpd00091	UMP	-271.16	1.35	
cpd00093	Anthranilate	10.11	0.7	
cpd00094	2-Oxobutyrate	-63.76	0.82	
cpd00095	Glycerone-phosphate	-261.56	0.13	
cpd00096	CDP	-418.37	1.06	
cpd00097	Pyrroloquinoline-quinone	-214.12	2.79	
cpd00098	Choline	103.26	23902.54	
cpd00099	Cl-	-0.19	23900.57	
cpd00100	Glycerol	-40.1	0.45	
cpd00101	ribose-5-phosphate	-295.09	0.24	
cpd00102	Glyceraldehyde3-phosphate	-260.23	0.16	
cpd00103	PRPP	-713.29	0.4	
cpd00104	BIOT	-28.46	28224.63	
cpd00105	D-Ribose	-80.2	0.35	
cpd00106	Fumarate	-124.63	0.36	
cpd00107	L-Leucine	43.22	0.54	
cpd00111	Oxidized glutathione	-150.06	2.25	
cpd00112	CMP-N-acetylneuraminate	-258.23	16901.86	
cpd00113	Isopentenyldiphosphate	-341.2	0.76	
cpd00114	IMP	-195.41	0.5	
cpd00115	dATP	-508.81	0.88	
cpd00116	Methanol	-2.94	0.7	
cpd00117	D-Alanine	-19.84	0.36	
cpd00118	Putrescine	124.83	0.73	
cpd00119	L-Histidine	45.35	0.98	
cpd00120	Butyryl-CoA	-400.6	1.93	
cpd00121	L-Inositol	-119.44	1.8	
cpd00122	N-Acetyl-D-glucosamine	-66.54	0.61	
cpd00123	3-Methyl-2-oxobutanoate	-41.26	0.37	
cpd00124	3'-Phosphomononucleotide	10000000.0	10000000.0	
cpd00125	5-10-Methylenetetrahydrofolate	32.35	16173.19	
cpd00126	GMP	-251.81	16172.48	
cpd00127	Phenol	38.21	0.75	
cpd00128	Adenine	122.28	0.38	
cpd00129	L-Proline	15.04	1.33	
cpd00130	L-Malate	-162.87	0.24	
cpd00132	L-Asparagine	-47.83	0.7	
cpd00133	Nicotinamide	50.37	1.03	
cpd00134	Palmitoyl-CoA	-146.91	2.53	
cpd00135	Homocysteine	5.71	0.96	
cpd00136	4-Hydroxybenzoate	-51.5	0.65	
cpd00137	Citrate	-230.93	0.27	
cpd00138	D-Mannose	-101.55	0.27	
cpd00139	Glycolate	-98.33	0.37	
cpd00141	Propionate	-37.73	0.62	
cpd00142	Acetoacetate	-68.44	0.47	
cpd00143	Phenylpyruvate	-8.93	0.65	
cpd00144	UDPglucuronate	-611.24	1.27	
cpd00145	Hydroxypyruvate	-121.5	0.22	
cpd00146	Carbamoylphosphate	-275.31	0.7	
cpd00147	5-Methylthioadenosine	145.12	1.12	
cpd00149	Co2+	-0.98	23900.57	
cpd00152	Agmatine	166.76	1.44	
cpd00153	Benzoate	-2.22	0.59	
cpd00154	Xylose	-84.41	0.35	
cpd00155	Glycogen	-287.99	1.24	
cpd00156	L-Valine	21.39	0.7	
cpd00157	Glycerone	-49.56	0.5	
cpd00158	CELB	-162.96	0.54	
cpd00159	L-Lactate	-74.07	0.22	
cpd00160	Cholesterol	291.28	56449.0	
cpd00161	L-Threonine	-38.83	0.54	
cpd00162	Aminoethanol	30.61	0.42	
cpd00163	UDP-xylose	-521.4	1.26	
cpd00164	Glucuronate	-173.66	0.46	
cpd00165	Hydroxylamine	29.21	23900.57	
