# cache=data/modelseed_cache_msd/compounds.sqlite params=data/cc_params_msd.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
compound_id	name	formula	status	dgf_prime_kJ_per_mol	uncertainty_kJ_per_mol	dgf_prime_kcal_per_mol	uncertainty_kcal_per_mol
cpd05718	Brassicasterol	C28H46O	ok	1889.608	200028.613	451.627	47807.986
cpd05719	Brassinolide	C28H48O6	ok	1127.764	200029.474	269.542	47808.192
cpd05720	Cyasterone	C29H44O8	ok	673.609	200023.181	160.996	47806.688
cpd05721	Fucosterol	C29H48O	ok	1975.256	200028.749	472.098	47808.018
cpd05722	Inokosterone	C27H44O7	ok	773.743	200022.708	184.929	47806.575
cpd05723	Isofucosterol	C29H48O	compound not in cache				
cpd05724	Lichesterol	C28H44O	ok	1836.094	200028.135	438.837	47807.872
cpd05725	Lophenol	C28H48O	ok	1886.907	200028.575	450.982	47807.977
cpd05726	Makisterone B	C28H46O7	ok	864.589	200022.879	206.642	47806.616
cpd05727	24-Methylenecycloartanol	C31H52O	undecomposable				
cpd05728	Miroestrol	C20H22O6	compound not in cache				
cpd05729	Podecdysone B	C27H42O6	ok	865.656	200027.284	206.897	47807.668
cpd05730	Pollinastanol	C28H48O	undecomposable				
cpd05731	Polypodine B	C27H44O8	ok	613.263	200018.980	146.573	47805.684
cpd05732	Ponasterone A	C27H44O6	ok	929.773	200022.851	222.221	47806.609
cpd05733	Poriferasterol	C29H48O	ok	1978.181	200028.687	472.797	47808.004
cpd05734	Poststerone	C21H30O5	ok	512.927	200022.373	122.593	47806.495
cpd05735	Pterosterone	C27H44O7	ok	770.198	200022.782	184.082	47806.592
cpd05736	Schottenol	C29H50O	ok	1981.500	200028.753	473.590	47808.019
cpd05737	Spinasterol	C29H48O	ok	1978.181	200028.687	472.797	47808.004
cpd05738	Withaferin A	C28H38O6	undecomposable				
cpd05739	Withanolide D	C28H38O6	compound not in cache				
cpd05740	Adonitoxin	C29H42O10	ok	383.650	200025.502	91.695	47807.242
cpd05741	Moracin A	C16H14O5	ok	77.389	100010.464	18.496	23903.074
cpd05742	Adynerin	C30H44O7	compound not in cache				
cpd05743	Mulberrofuran A	C25H28O4	ok	1047.980	100011.310	250.473	23903.277
cpd05744	alpha-Antiarin	C29H42O11	ok	230.696	200020.549	55.138	47806.058
cpd05745	Antioside	C29H44O10	ok	428.963	200020.624	102.525	47806.076
cpd05746	Asclepin	C31H42O10	ok	446.180	200042.286	106.640	47811.254
cpd05747	Aspecioside	C29H42O10	compound not in cache				
cpd05748	Bipindoside	C29H44O10	ok	428.963	200020.624	102.525	47806.076
cpd05749	Bryophyllin A	C26H32O8	undecomposable				
cpd05750	Bryotoxin A	C32H42O12	ok	418.403	223628.214	100.001	53448.426
cpd05751	Calactin	C29H40O9	ok	499.894	200041.912	119.478	47811.164
cpd05752	Calotropin	C29H40O9	ok	499.894	200041.912	119.478	47811.164
cpd05753	Thevetin B	C42H66O18	ok	363.217	200026.691	86.811	47807.526
cpd05754	Cerbertin	C32H44O11	ok	398.019	200036.374	95.129	47809.841
cpd05755	Convallatoxin	C29H42O10	ok	398.603	200020.996	95.268	47806.165
cpd05756	Cymarin	C30H44O9	ok	702.877	200021.630	167.992	47806.317
cpd05757	Decoside	C30H42O9	ok	597.469	200025.864	142.799	47807.329
cpd05758	Diginatin	C41H64O15	ok	714.946	200027.540	170.876	47807.729
cpd05759	Digitalin	C36H56O14	ok	460.862	200026.046	110.149	47807.372
cpd05760	Divaricoside	C30H46O8	ok	886.191	200026.144	211.805	47807.396
cpd05761	Divostroside	C30H46O8	ok	886.191	200026.144	211.805	47807.396
cpd05762	Eriocarpin	C29H38O11	compound not in cache				
cpd05763	Gitoxin	C41H64O14	ok	882.853	200028.082	211.007	47807.859
cpd05764	Hellebrigenin 3-acetate	C26H34O7	ok	748.109	223628.161	178.802	53448.413
cpd05765	Hellebrin	C36H52O15	ok	443.008	223628.426	105.881	53448.476
cpd05766	Helveticoside	C29H42O9	ok	566.509	200021.497	135.399	47806.285
cpd05767	Labriformidin	C29H36O11	compound not in cache				
cpd05768	Labriformin	C31H39NO10S	compound not in cache				
cpd05769	Lanceotoxin A	C32H44O12	ok	441.358	316247.630	105.487	75584.998
cpd05770	Lanceotoxin B	C32H44O11	ok	677.688	316247.528	161.971	75584.973
cpd05771	Lokundjoside	C29H44O10	ok	428.963	200020.624	102.525	47806.076
cpd05772	Musaroside	C30H44O10	ok	489.970	200025.324	117.106	47807.200
cpd05773	Neriifolin	C30H46O8	ok	886.191	200026.144	211.805	47807.396
cpd05774	Rhodexin A	C29H44O9	ok	581.917	200025.584	139.081	47807.262
cpd05775	Sarmentoloside	C29H44O11	ok	272.933	200020.490	65.233	47806.044
cpd05776	Scillaren A	C36H52O13	ok	747.516	223630.632	178.661	53449.004
cpd05777	Scilliroside	C32H44O12	ok	474.335	223626.527	113.369	53448.023
cpd05778	k-Strophanthoside	C42H64O19	ok	188.032	200022.636	44.941	47806.557
cpd05779	Thevetin A	C42H64O19	ok	164.950	200026.624	39.424	47807.511
cpd05780	Uscharidin	C29H38O9	ok	439.401	200042.014	105.019	47811.189
cpd05781	Vernadigin	C30H44O10	ok	534.970	200021.127	127.861	47806.197
cpd05782	Agavoside A	C33H52O9	ok	974.605	300042.674	232.936	71711.920
cpd05783	Asparagoside A	C33H54O8	compound not in cache				
cpd05784	Avenacoside A	C51H82O23	ok	376.314	300039.482	89.941	71711.157
cpd05785	Avenacoside B	C57H92O28	ok	118.892	300039.875	28.416	71711.251
cpd05786	Capsicoside A	C63H106O35	ok	-431.197	200043.323	-103.059	47811.502
cpd05787	Convallagenin A	C27H44O5	ok	1139.481	300036.354	272.343	71710.410
cpd05788	Convallamarogenin	C27H42O4	ok	1250.616	300042.554	298.904	71711.891
cpd05789	Convallamaroside	C57H94O27	ok	290.197	200043.247	69.359	47811.483
cpd05790	Convallasaponin A	C32H52O9	ok	953.263	300036.715	227.835	71710.496
cpd05791	Deltonin	C45H72O17	ok	797.393	300039.862	190.582	71711.248
cpd05792	Deltoside	C51H84O23	ok	360.872	200039.392	86.250	47810.562
cpd05793	Digitogenin	C27H44O5	ok	1124.528	300042.028	268.769	71711.766
cpd05794	Dioscin	C45H72O16	ok	953.423	300039.992	227.874	71711.279
cpd05795	Diosgenin	C27H42O3	ok	1413.629	300039.018	337.866	71711.046
cpd05796	Gitogenin	C27H44O4	ok	1292.435	300042.459	308.899	71711.869
cpd05797	Gitonin	C50H82O23	ok	333.950	300043.579	79.816	71712.137
cpd05798	Gracillin	C45H72O17	ok	797.393	300039.862	190.582	71711.248
cpd05799	Hecogenin	C27H42O4	ok	1232.027	300042.512	294.462	71711.881
cpd05800	Officinalisnin I	C45H76O19	ok	508.976	200042.696	121.648	47811.352
cpd05801	Osladin	C45H74O17	ok	813.186	200033.079	194.356	47809.053
cpd05802	Parillin	C51H84O22	ok	578.553	300043.727	138.278	71712.172
cpd05803	Protodioscin	C51H84O22	ok	516.902	200039.510	123.543	47810.590
cpd05804	Protogracillin	C51H84O23	ok	360.872	200039.392	86.250	47810.562
cpd05805	Ruscogenin	C27H42O4	ok	1245.723	300038.563	297.735	71710.938
cpd05806	Ruscoside	C50H80O23	ok	260.050	200039.136	62.153	47810.501
cpd05807	Sarsaparilloside	C57H96O28	ok	142.032	200043.179	33.946	47811.467
cpd05808	Sarsasapogenin 3-O-4G-rhamnosylsophoroside	C45H74O17	ok	844.105	300043.666	201.746	71712.157
cpd05809	Smilagenin	C27H44O3	ok	1460.341	300042.916	349.030	71711.978
cpd05810	Tigogenin	C27H44O3	ok	1460.341	300042.916	349.030	71711.978
cpd05811	Tigonin	C56H92O27	ok	244.434	300044.438	58.421	71712.342
cpd05812	Tokoronin	C32H52O9	ok	938.310	300042.341	224.261	71711.840
cpd05813	Trigonelloside C	C51H84O22	ok	516.902	200039.510	123.543	47810.590
cpd05814	Yamogenin	C27H42O3	ok	1413.629	300039.018	337.866	71711.046
cpd05815	Yamogenin 3-O-neohesperidoside	C39H62O12	ok	1054.815	300039.558	252.107	71711.175
cpd05816	Abrusoside A	C36H53O10	compound not in cache				
cpd05817	Escin	C55H85O24	ok	285.404	400032.198	68.213	95609.990
cpd05818	Aridanin	C38H60NO8	ok	1451.202	400031.877	346.846	95609.913
cpd05819	Arvensoside A	C48H78O18	ok	806.104	400032.054	192.664	95609.955
cpd05820	Astragaloside III	C41H68O14	undecomposable				
cpd05821	Astrasieversianin XVI	C47H78O18	undecomposable				
cpd05822	Avenacin A-1	C55H83NO21	undecomposable				
cpd05823	Avenacin B-2	C54H80O20	undecomposable				
cpd05824	Mulberrofuran C	C34H28O9	ok	214.509	100022.646	51.269	23905.986
cpd05825	alpha-Pyrufuran	C15H14O5	ok	35.487	100015.393	8.482	23904.253
cpd05826	Azukisaponin III	C42H64O15	ok	588.543	400031.406	140.665	95609.801
cpd05827	Barringtogenol C	C30H50O5	ok	1361.435	400030.217	325.391	95609.516
cpd05828	Bayogenin 3-O-cellobioside	C42H67O15	ok	724.309	400031.083	173.114	95609.723
cpd05829	Camellidin I	C55H85O25	ok	154.678	400032.230	36.969	95609.998
cpd05830	Camellidin II	C53H83O24	ok	177.420	300032.171	42.404	71709.410
cpd05831	Cimicifugoside	C37H54O11	undecomposable				
cpd05832	Colubrin	C48H76O18	undecomposable				
cpd05833	Colubrinoside	C50H78O19	undecomposable				
cpd05834	Cyclamin	C58H94O27	undecomposable				
cpd05835	Cyclofoetoside B	C47H80O18	undecomposable				
cpd05836	Desglucomusennin	C45H71O16	ok	836.530	400031.763	199.935	95609.886
cpd05837	Dianoside A	C42H65O15	ok	605.437	400031.527	144.703	95609.830
cpd05838	Echinocystic acid	C30H47O4	ok	1395.185	400030.767	333.457	95609.648
cpd05839	Flaccidin B	C41H63O12	ok	1059.042	400031.723	253.117	95609.876
cpd05840	Ginsenoside Re	C48H82O18	ok	1036.693	300026.372	247.776	71708.024
cpd05841	Ginsenoside Rf	C42H72O14	ok	1137.748	300025.940	271.928	71707.921
cpd05842	Sanchinoside C1	C42H72O14	ok	1138.085	300025.772	272.009	71707.880
cpd05843	Gymnemic acid I	C43H65O14	ok	792.118	400031.159	189.321	95609.742
cpd05844	beta-Pyrufuran	C15H14O5	ok	34.916	100015.393	8.345	23904.253
cpd05845	Gypenoside XXV	C47H78O18	ok	924.915	300026.622	221.060	71708.084
cpd05846	Gypsogenin	C30H45O4	ok	1364.823	400030.963	326.201	95609.695
cpd05847	psi-Rhodomyrtoxin	C24H28O7	ok	343.928	100019.126	82.201	23905.145
cpd05848	Gypsogenin 3-O-rhamnosylglucuronide	C42H62O14	ok	702.336	400031.563	167.862	95609.838
cpd05849	Cauloside A	C35H55O8	ok	1220.841	400031.256	291.788	95609.765
cpd05850	alpha-Hederin	C41H65O12	ok	1119.449	400031.672	267.555	95609.864
cpd05851	beta-Hederin	C41H65O11	ok	1275.480	400031.837	304.847	95609.904
cpd05852	Helianthoside A	C53H85O21	ok	740.631	400032.065	177.015	95609.958
cpd05853	Ilexolide A	C35H53O7	ok	1302.193	400029.483	311.231	95609.341
cpd05854	Lemmatoxin	C48H77O18	ok	790.824	400031.956	189.011	95609.932
cpd05855	Medicagenic acid 3-O-triglucoside	C48H74O21	ok	155.083	400031.078	37.066	95609.722
cpd05856	Musennin	C51H81O21	ok	579.108	400032.163	138.410	95609.982
cpd05857	Notoginsenoside R1	C47H80O18	ok	951.867	300026.210	227.502	71707.985
cpd05858	Olaxoside	C48H75O18	ok	660.077	400032.154	157.762	95609.979
cpd05859	Oleanoglycotoxin-A	C48H77O18	ok	790.824	400031.956	189.011	95609.932
cpd05860	Oleanoic acid 3-O-glucuronide	C36H54O9	ok	1001.995	400031.283	239.483	95609.771
cpd05861	Pfaffic acid	C29H43O3	undecomposable				
cpd05862	Pfaffoside A	C40H58O13	undecomposable				
cpd05863	Phaseoloside D	C65H103O31	ok	197.758	400032.914	47.265	95610.161
cpd05864	Phytolaccoside B	C36H55O11	ok	746.491	400030.836	178.416	95609.664
cpd05865	Pittoside A	C41H68O13	ok	1073.824	400030.796	256.650	95609.655
cpd05866	Primulasaponin	C54H87O23	undecomposable				
cpd05867	Propapyriogenin A2	C30H43O5	ok	1106.465	400030.525	264.451	95609.590
cpd05868	Quillaic acid	C30H45O5	ok	1196.919	400030.589	286.070	95609.605
cpd05869	Rotundioside B	C54H87O26S	ok	-221.612	406233.658	-52.967	97092.175
cpd05870	Sainfuran	C16H14O5	ok	77.257	100010.464	18.465	23903.074
cpd05871	Saikosaponin A	C42H68O13	undecomposable				
cpd05872	Saikosaponin BK1	C48H78O17	ok	1026.170	400030.397	245.260	95609.560
cpd05873	Saponoside D	C87H137O49	ok	-814.474	400036.746	-194.664	95611.077
cpd05874	Senegin II	C70H103O32	ok	37.721	400035.691	9.015	95610.825
cpd05875	Toxol	C13H14O3	ok	293.023	6.569	70.034	1.570
cpd05876	Soyasapogenol B	C30H50O3	ok	1697.248	400030.840	405.652	95609.665
cpd05877	Toxyl angelate	C18H20O4	ok	501.060	8.230	119.756	1.967
cpd05878	Soyasaponin A1	C59H95O29	ok	11.377	400032.125	2.719	95609.973
cpd05879	Soyasaponin I	C48H77O18	ok	778.954	400031.729	186.175	95609.878
cpd05880	Spinasaponin A	C42H64O14	ok	744.573	400031.554	177.957	95609.836
cpd05881	Thalicoside A	C42H70O14	undecomposable				
cpd05882	Theasaponin	C59H91O27	ok	170.389	400032.685	40.724	95610.106
cpd05883	Tubeimoside I	C63H98O29	compound not in cache				
cpd05884	Ursolic acid	C30H47O3	ok	1554.081	400030.533	371.434	95609.592
cpd05885	Virgaureasaponin I	C59H96O27	ok	338.711	400032.498	80.954	95610.062
cpd05886	Yiamoloside B	C43H67O15	ok	741.802	400031.592	177.295	95609.845
cpd05887	Ziziphin	C51H80O18	undecomposable				
cpd05888	Tremetone	C13H14O2	ok	460.930	6.699	110.165	1.601
cpd05889	Vignafuran	C16H14O4	ok	283.873	100009.194	67.847	23902.771
cpd05890	Aloesin	C19H22O9	compound not in cache				
cpd05891	Aurasperone D	C31H22O10	ok	-142.422	200034.392	-34.040	47809.367
cpd05892	Biflorin	C16H17O9	ok	-436.541	100010.532	-104.336	23903.091
cpd05893	Butyrylmallotochromene	C26H29O8	ok	72.206	20.758	17.258	4.961
cpd05894	Cannabichromene	C21H30O2	ok	1148.558	10.095	274.512	2.413
cpd05895	Capillarisin	C16H11O7	ok	-446.240	100018.082	-106.654	23904.895
cpd05896	Cimifugin	C16H18O6	ok	0.951	100013.155	0.227	23903.718
cpd05897	5,7-Dihydroxychromone	C9H5O4	ok	-202.352	100009.937	-48.363	23902.949
cpd05898	8-(3,3-Dimethylallyl)spatheliachromene	C20H21O4	ok	625.374	100015.613	149.468	23904.305
cpd05899	2,2-Dimethyl-8-prenylchromene 6-carboxylic acid	C17H19O3	ok	533.839	8.466	127.591	2.023
cpd05900	Drummondin A	C26H28O8	ok	375.706	200016.712	89.796	47805.141
cpd05901	Encecalin	C14H16O3	ok	344.805	8.192	82.410	1.958
cpd05902	Eupatoriochromene	C13H14O3	ok	239.932	8.810	57.345	2.106
cpd05903	Flindersiachromone	C17H14O2	ok	696.850	100007.325	166.551	23902.324
cpd05904	Frutinone A	C16H8O4	ok	389.378	141439.464	93.064	33804.843
cpd05905	Isobutyrylmallotochromene	C26H29O8	ok	74.478	20.942	17.801	5.005
cpd05906	Khellin	C14H12O5	ok	103.720	200014.307	24.790	47804.567
cpd05907	Khelloside	C19H20O10	ok	-216.244	200013.329	-51.683	47804.333
cpd05908	Lathodoratin	C11H9O4	ok	-34.001	100010.132	-8.126	23902.995
cpd05909	Mallotochromene	C24H25O8	ok	-104.890	20.671	-25.069	4.941
cpd05910	5-O-Methylalloptaeroxylin	C16H16O4	ok	301.913	100013.518	72.159	23903.804
cpd05911	Methylripariochromene A	C15H18O4	compound not in cache				
cpd05912	5-O-Methylvisamminol	C16H18O5	ok	156.981	100013.309	37.519	23903.755
cpd05913	Precocene I	C12H14O2	ok	380.461	7.563	90.932	1.807
cpd05914	Precocene 2	C13H16O3	ok	278.842	9.298	66.645	2.222
cpd05915	1-Acetylaspidoalbidine	C21H27N2O2	undecomposable				
cpd05916	Adifoline	C22H19N2O7	ok	-75.429	141441.622	-18.028	33805.359
cpd05917	Affinine	C20H25N2O2	ok	953.015	25.864	227.776	6.182
cpd05918	Affinisine	C20H24N2O	undecomposable				
cpd05919	Agroclavine	C16H19N2	ok	969.519	100017.663	231.721	23904.795
cpd05920	Ajmalicine	C21H25N2O3	ok	804.662	100026.776	192.319	23906.973
cpd05921	Akuammicine	C20H23N2O2	compound not in cache				
cpd05922	Rhazin	C21H24N2O3	undecomposable				
cpd05923	Akuammine	C22H27N2O4	undecomposable				
cpd05924	Alstonine	C21H21N2O3	ok	725.062	100021.863	173.294	23905.799
cpd05925	Ptaerochromenol	C15H13O5	ok	40.068	100014.470	9.577	23904.032
cpd05926	Ptaeroglycol	C15H13O6	ok	-131.856	100014.268	-31.514	23903.984
cpd05927	Pulverochromenol	C20H22O4	ok	677.587	100013.827	161.947	23903.878
cpd05928	Angustine	C20H15N3O	ok	915.392	100017.872	218.784	23904.845
cpd05929	Antirhine	C19H25N2O	ok	1154.601	100017.555	275.956	23904.769
cpd05930	Apodine	C21H23N2O4	compound not in cache				
cpd05931	Apovincamine	C21H25N2O2	undecomposable				
cpd05932	(-)-Apparicine	C18H21N2	ok	1157.147	141441.092	276.565	33805.232
cpd05933	Aricine	C22H27N2O4	ok	703.027	100027.192	168.027	23907.073
cpd05934	Aspidoalbine	C24H32N2O5	undecomposable				
cpd05935	Aspidodasycarpine	C21H27N2O4	compound not in cache				
cpd05936	Aspidofractine	C22H27N2O3	undecomposable				
cpd05937	Aspidospermatine	C21H27N2O2	undecomposable				
cpd05938	Aspidospermine	C22H31N2O2	undecomposable				
cpd05939	Auricularine	C33H44N4	undecomposable				
cpd05940	Quinquangulin	C16H14O5	ok	-41.543	100019.887	-9.929	23905.327
cpd05941	Baloxine	C21H25N2O4	compound not in cache				
cpd05942	Bleekerine	C23H25N2O5	ok	521.814	100023.709	124.716	23906.240
cpd05943	Rubrofusarin	C15H12O5	compound not in cache				
cpd05944	Spathelia bischromene	C20H20O4	ok	515.707	100019.890	123.257	23905.327
cpd05945	Visnagin	C13H10O4	ok	205.339	200013.362	49.077	47804.341
cpd05946	Bonafousine	C35H42N4O3	undecomposable				
cpd05947	Borrecapine	C20H25N2O	ok	1341.940	10.351	320.731	2.474
cpd05948	Borreline	C17H18N2O	ok	1046.380	6.714	250.091	1.605
cpd05949	Alloimperatorin	C16H14O4	ok	624.430	141435.233	149.242	33803.832
cpd05950	Borrerine	C16H20N2	ok	1246.989	9.848	298.038	2.354
cpd05951	6-Acetylpicropolin	C24H28O9	ok	203.501	316240.779	48.638	75583.360
cpd05952	Ammoresinol	C24H29O4	ok	1220.183	100015.897	291.631	23904.373
cpd05953	Acutilol A	C20H32O2	ok	1098.140	16.913	262.462	4.042
cpd05954	Ajugarin I	C24H34O7	ok	537.879	200013.522	128.556	47804.379
cpd05955	Alectrol	C21H24O7	compound not in cache				
cpd05956	Angelicin	C11H6O3	ok	401.105	141433.616	95.866	33803.446
cpd05957	Allogibberic acid	C18H19O3	undecomposable				
cpd05958	Antheridiogen-An	C19H21O6	undecomposable				
cpd05959	Asebotoxin II	C23H36O6	undecomposable				
cpd05960	Atractyloside	C30H43K2O16S2	undecomposable				
cpd05961	Baliospermin	C32H50O8	ok	891.660	200029.049	213.112	47808.090
cpd05962	Cafestol	C20H28O3	undecomposable				
cpd05963	Callicarpone	C20H28O4	ok	632.507	200023.935	151.173	47806.868
cpd05964	Candletoxin A	C35H44O9	ok	607.058	100026.681	145.090	23906.951
cpd05965	Carnosol	C20H26O4	undecomposable				
cpd05966	Caryoptin	C26H36O9	compound not in cache				
cpd05967	Cascarillin	C22H32O7	ok	526.393	141433.979	125.811	33803.532
cpd05968	2,7,11-Cembratrien-4,6-diol	C20H34O2	ok	1252.549	14.046	299.366	3.357
cpd05969	Chasmanthin	C20H22O7	undecomposable				
cpd05970	Clerodendrin A	C31H42O12	ok	179.699	200023.656	42.949	47806.801
cpd05971	Clerodin	C24H34O7	ok	580.404	200022.892	138.720	47806.619
cpd05972	Coleonol	C22H34O7	ok	517.795	200013.281	123.756	47804.322
cpd05973	Columbin	C20H22O6	undecomposable				
cpd05974	Cotylenin F	C33H54O11	ok	858.629	100021.890	205.217	23905.805
cpd05975	Cyathin A3	C20H30O3	ok	849.857	200016.294	203.121	47805.042
cpd05976	Daphnetoxin	C27H30O8	compound not in cache				
cpd05977	7beta,12alpha-Dihydroxykaurenolide	C20H28O4	undecomposable				
cpd05978	Borreverine	C32H42N4	undecomposable				
cpd05979	Brevicolline	C17H20N3	ok	1178.708	11.560	281.718	2.763
cpd05980	Brucine	C23H27N2O4	undecomposable				
cpd05981	Calebassone	C40H48N4O2	undecomposable				
cpd05982	Diterpenoid EF-D	C27H38O7	ok	508.012	100026.795	121.418	23906.978
cpd05983	Diterpenoid SP-II	C20H31O4	undecomposable				
cpd05984	Callichiline	C42H50N4O5	compound not in cache				
cpd05985	Elaeagnine	C12H15N2	ok	817.046	12.078	195.279	2.887
cpd05986	Enmein	C20H26O6	undecomposable				
cpd05987	Euphorbia factor Ti2	C32H42O7	ok	931.826	100031.976	222.712	23908.216
cpd05988	Ferruginol	C20H30O	undecomposable				
cpd05989	Fusicoccin H	C26H42O8	ok	622.446	100021.625	148.768	23905.742
cpd05990	Geranylgeraniol	C20H34O	ok	1643.729	9.311	392.861	2.225
cpd05991	Gnidicin	C36H36O10	undecomposable				
cpd05992	Gnididin	C37H44O10	undecomposable				
cpd05993	Calycanthidine	C23H29N4	compound not in cache				
cpd05994	Canthin-6-one	C14H8N2O	ok	439.318	141431.370	104.999	33802.909
cpd05995	Prunin	C21H22O10	ok	-493.797	10.313	-118.020	2.465
cpd05996	Caracurine V	C38H42N4O2	undecomposable				
cpd05997	Gnididilatin	C37H48O10	undecomposable				
cpd05998	Gniditrin	C37H42O10	undecomposable				
cpd05999	Grayanotoxin I	C22H36O7	compound not in cache				
cpd06000	Hallactone A	C19H22O6	undecomposable				
cpd06001	Hallactone B	C20H24O9S	undecomposable				
cpd06002	Carapanaubine	C23H29N2O6	undecomposable				
cpd06003	Catharanthine	C21H24N2O2	compound not in cache				
cpd06004	Huratoxin	C34H48O8	compound not in cache				
cpd06005	Hymatoxin A	C20H29O7S	undecomposable				
cpd06006	Ineketone	C20H30O3	ok	902.383	100019.031	215.675	23905.122
cpd06007	Inflexin	C24H32O7	compound not in cache				
cpd06008	Ingenol	C20H28O5	undecomposable				
cpd06009	Ingenol 3,20-dibenzoate	C34H36O7	undecomposable				
cpd06010	Inumakilactone A glycoside	C24H30O13	undecomposable				
cpd06011	Isodomedin	C22H32O6	undecomposable				
cpd06012	Archangelicin	C24H26O7	compound not in cache				
cpd06013	Isodonal	C22H28O7	undecomposable				
cpd06014	Isopimaric acid	C20H29O2	ok	993.462	100023.256	237.443	23906.132
cpd06015	Jatrophatrione	C20H26O3	ok	694.518	100022.315	165.994	23905.907
cpd06016	Jatrophone	C20H24O3	undecomposable				
cpd06017	Jodrellin A	C24H32O8	undecomposable				
cpd06018	Kansuinine B	C38H42O14	ok	-18.723	100023.763	-4.475	23906.253
cpd06019	Athamantin	C24H30O7	ok	613.738	100013.325	146.687	23903.758
cpd06020	2-Ketoepimanool	C20H32O2	ok	1195.805	100012.857	285.804	23903.646
cpd06021	Lathyrol	C20H30O4	ok	628.150	26.480	150.132	6.329
cpd06022	Genistin	C21H20O10	ok	-390.427	100010.642	-93.314	23903.117
cpd06023	Mancinellin	C36H52O8	ok	1235.997	200029.314	295.410	47808.153
cpd06024	Marrubiin	C20H28O4	undecomposable				
cpd06025	Catharine	C46H55N4O10	undecomposable				
cpd06026	Ceceline	C19H16N2O2	ok	734.763	9.789	175.613	2.340
cpd06027	Chanoclavine-I	C16H21N2O	ok	981.723	100010.674	234.637	23903.125
cpd06028	Mascaroside	C26H36O11	undecomposable				
cpd06029	(-)-Chimonanthine	C22H27N4	undecomposable				
cpd06030	Mezerein	C38H38O10	undecomposable				
cpd06031	Montanin	C32H48O8	undecomposable				
cpd06032	Montanin A	C19H20O4	undecomposable				
cpd06033	Montanol	C21H36O4	ok	1166.033	8.462	278.689	2.023
cpd06034	Nagilactone C	C19H22O7	undecomposable				
cpd06035	Coronaridine	C21H27N2O2	undecomposable				
cpd06036	Neocembrene	C20H32	ok	1564.705	14.762	373.974	3.528
cpd06037	Byakangelicin	C17H18O7	ok	231.301	141434.376	55.282	33803.627
cpd06038	Cryptolepine	C16H12N2	ok	938.708	13.586	224.357	3.247
cpd06039	12-O-2Z,4E-Octadienoyl-4-deoxyphorbol 13-acetate	C30H40O7	ok	757.998	100031.795	181.166	23908.173
cpd06040	C-Curarine	C40H44N4O	undecomposable				
cpd06041	Ophiobolin A	C25H36O4	ok	1102.578	200023.652	263.522	47806.800
cpd06042	Eburnamine	C19H25N2O	undecomposable				
cpd06043	Calanolide A	C22H26O5	ok	716.223	100018.530	171.181	23905.002
cpd06044	Oryzalexin A	C20H30O2	ok	1055.336	100022.853	252.231	23906.036
cpd06045	Vinburnine	C19H22N2O	undecomposable				
cpd06046	17-Oxogrindelic acid	C20H29O4	ok	756.835	200014.085	180.888	47804.514
cpd06047	Palmarin	C20H22O7	undecomposable				
cpd06048	Echitamine	C22H29N2O4	undecomposable				
cpd06049	Croton factor F1	C38H60O9	ok	1164.238	100027.475	278.260	23907.140
cpd06050	Ellipticine	C17H14N2	ok	967.899	14.152	231.333	3.383
cpd06051	Phorbol	C20H28O6	ok	156.698	29.589	37.452	7.072
cpd06052	Epivoacorine	C43H53N4O6	undecomposable				
cpd06053	Phorbol 12-tiglate 13-decanoate	C35H52O8	ok	1050.578	100027.412	251.094	23907.125
cpd06054	Calophyllolide	C26H24O5	ok	930.262	100013.484	222.338	23903.796
cpd06055	(+)-Pimaric acid	C20H29O2	ok	993.462	100023.256	237.443	23906.132
cpd06056	Ergine	C16H18N3O	ok	819.146	100012.748	195.781	23903.621
cpd06057	Pimelea factor P2	C37H50O9	undecomposable				
cpd06058	Ergocornine	C31H39N5O5	ok	1301.679	100018.289	311.109	23904.945
cpd06059	Pisiferic acid	C20H27O3	undecomposable				
cpd06060	Ergocristine	C35H39N5O5	ok	1439.180	100017.855	343.972	23904.841
cpd06061	Chalepensin	C16H14O3	ok	837.180	141434.664	200.091	33803.696
cpd06062	Plaunol B	C20H20O6	undecomposable				
cpd06063	Ergosine	C30H37N5O5	ok	1210.833	100018.048	289.396	23904.887
cpd06064	Plaunol D	C20H22O7	undecomposable				
cpd06065	Pleuromutilin	C22H34O5	undecomposable				
cpd06066	Eseramine	C16H22N4O3	undecomposable				
cpd06067	Podocarpic acid	C17H21O3	undecomposable				
cpd06068	Podolactone B	C19H22O9	undecomposable				
cpd06069	Podolide	C19H22O5	undecomposable				
cpd06070	Ponalactone A	C19H22O6	undecomposable				
cpd06071	Portulal	C20H32O4	ok	895.849	100012.219	214.113	23903.494
cpd06072	Eseridine	C15H21N3O3	undecomposable				
cpd06073	Premarrubiin	C20H28O4	undecomposable				
cpd06074	Resiniferonol	C20H28O6	ok	284.087	21.408	67.898	5.117
cpd06075	Resiniferatoxin	C37H40O9	undecomposable				
cpd06076	Rhodojaponin IV	C24H38O8	undecomposable				
cpd06077	Chartreusin	C32H32O14	ok	132.150	282862.187	31.585	67605.685
cpd06078	Royleanone	C20H27O3	undecomposable				
cpd06079	Sclareol	C20H36O2	ok	1295.241	100013.101	309.570	23903.705
cpd06080	Shikodonin	C20H26O6	undecomposable				
