# cache=data/modelseed_cache_msd/compounds.sqlite params=data/cc_params_msd.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
compound_id	name	formula	status	dgf_prime_kJ_per_mol	uncertainty_kJ_per_mol	dgf_prime_kcal_per_mol	uncertainty_kcal_per_mol
cpd00082	D-Fructose	C6H12O6	ok	-426.503	0.701	-101.937	0.167
cpd00083	GDP-mannose	C16H23N5O16P2	ok	-1898.234	46301.024	-453.689	11066.210
cpd00084	L-Cysteine	C3H6NO2S	ok	-53.696	2.933	-12.834	0.701
cpd00085	beta-Alanine	C3H7NO2	ok	-87.902	5.185	-21.009	1.239
cpd00086	Propionyl-CoA	C24H36N7O17P3S	ok	-1766.912	8.387	-422.302	2.005
cpd00087	Tetrahydrofolate	C19H21N7O6	ok	362.698	46301.051	86.687	11066.217
cpd00088	2,6-dichloroindophenol	C12H7Cl2NO2	ok	-216.934	208749.553	-51.849	49892.341
cpd00089	Glucose-1-phosphate	C6H11O9P	ok	-1311.225	0.953	-313.390	0.228
cpd00090	IDP	C10H12N4O11P2	ok	-1717.128	3.954	-410.403	0.945
cpd00091	UMP	C9H11N2O9P	ok	-1132.744	5.501	-270.732	1.315
cpd00092	Uracil	C4H4N2O2	ok	-77.003	3.867	-18.404	0.924
cpd00093	Anthranilate	C7H6NO2	ok	43.160	2.837	10.315	0.678
cpd00094	2-Oxobutyrate	C4H5O3	ok	-266.398	3.435	-63.671	0.821
cpd00095	Glycerone-phosphate	C3H5O6P	ok	-1094.524	0.609	-261.597	0.146
cpd00096	CDP	C9H13N3O11P2	ok	-1748.482	4.256	-417.897	1.017
cpd00097	Pyrroloquinoline-quinone	C14H3N2O8	ok	-925.004	11.240	-221.081	2.686
cpd00098	Choline	C5H14NO	ok	447.496	100007.476	106.954	23902.360
cpd00099	Cl-	Cl	undecomposable				
cpd00100	Glycerol	C3H8O3	ok	-167.924	1.903	-40.135	0.455
cpd00101	ribose-5-phosphate	C5H9O8P	ok	-1234.749	1.043	-295.112	0.249
cpd00102	Glyceraldehyde3-phosphate	C3H5O6P	ok	-1088.632	0.700	-260.189	0.167
cpd00103	PRPP	C5H9O14P3	ok	-2984.412	1.688	-713.292	0.403
cpd00104	BIOT	C10H15N2O3S	ok	164.753	100014.546	39.377	23904.050
cpd00105	D-Ribose	C5H10O5	ok	-336.923	1.664	-80.526	0.398
cpd00106	Fumarate	C4H2O4	ok	-521.586	1.213	-124.662	0.290
cpd00107	L-Leucine	C6H13NO2	ok	180.783	2.261	43.208	0.540
cpd00108	Galactose	C6H12O6	ok	-418.910	1.644	-100.122	0.393
cpd00109	Cytochrome c3+	C42H42FeN8O8R4S2	compound not in cache				
cpd00110	Cytochrome c2+	C42H42FeN8O8R4S2	compound not in cache				
cpd00111	Oxidized glutathione	C20H30N6O12S2	ok	-631.663	9.061	-150.971	2.166
cpd00112	CMP-N-acetylneuraminate	C20H29N4O16P	ok	-1077.783	70717.274	-257.596	16901.834
