seed_id	inchi_key	formula	reason	smiles
cpd00730	HVVUASVVSRBOJC-MWYCUMCVSA-L	C62H89CoN13O15P	creation failed	CC1=C2[NH+]3C(=C(CCC(N)=O)[C@]2(C)CC(N)=O)C=C2[NH+]4C(=C(CCC(N)=O)C2(C)C)C(C)=C2[NH+]5[C@@H]6[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@H](O[C@@H]2CO)[n+]2c[n](c7cc(C)c(C)cc72)[Co-3]435([OH])[N]2C1=C(CCC(N)=O)[C@](C)(CC(N)=O)[C@]62C
cpd00766	PIECNOFUNCLXPG-IGCYCDGOSA-N	C6H7O6	creation failed	[O]C1C(=O)C(=O)O[C@@H]1[C@@H](O)CO
cpd00799	ZDKMPOJNYNVYLA-PEGGBQQISA-O	C23H31N2O5	creation failed	CC[C@]12C=CC[NH+]3CC[C@@]4(c5ccc(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1O)[C@@H]32
cpd00901	OZHCMJTXDLRZPF-ZETCQYMHSA-O	C9H16N3O3	creation failed	CCCC[C@H](NC(=O)C[N+]#N)C(=O)OC
cpd01015	XLJMAIOERFSOGZ-UHFFFAOYSA-M	CNO	no pKas to build it	N#C[O-]
cpd01053	TYJXBNGPLHOYOB-UHFFFAOYSA-N	ClO3	creation failed	[O-][Cl+2]([O-])[O-]
cpd01054	GXXLZZYHIIGRLP-UHFFFAOYSA-N	ClO2	no pKas to build it	[O-][Cl+][O-]
cpd01090	HSFWRNGVRCDJHI-UHFFFAOYSA-N	C2H2	no pKas to build it	C#C
cpd01143	CXBGOBGJHGGWIE-ACSXSLCXSA-O	C25H33N2O6	creation failed	CC[C@]12C=CC[NH+]3CC[C@@]4(c5ccc(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32
cpd01172	IXORZMNAPKEEDV-SNTJWBGVSA-M	C19H21O6	creation failed	C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)[O-]
cpd01271	SQTCRTQCPJICLD-HVNNKIQUSA-M	C39H48NO14	creation failed	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(OCC(=O)[O-])c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
cpd01306	ONQRKEUAIJMULO-YBXTVTTCSA-N	C30H50O	creation failed	CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C
cpd01314	ORXDSIPBTFAEKJ-UHFFFAOYSA-N	C6FeN6	no pKas to build it	N#[C][Fe-4]([C]#N)([C]#N)([C]#N)([C]#N)[C]#N
cpd01379	PMSVVUSIPKHUMT-UHFFFAOYSA-N	C5H3N3	no pKas to build it	N#Cc1cnccn1
cpd01390	OXFPYCSNYOFUCH-AODVQFRNSA-M	C19H23O5	creation failed	C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12CCC[C@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)[O-]
cpd01476	ZCFFYALKHPIRKJ-UJJXFSCMSA-L	C34H32N4O4	creation failed	C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)[O-])C(CCC(=O)[O-])=C4C)c(C)c3C=C
cpd01484	UOTAGHOJDZCQLI-RPWUZVMVSA-O	C25H27N4O	creation failed	N#[N+]C[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NCc1ccccc1
cpd01506	MBNRADMGBBUWJK-UHFFFAOYSA-M	C3H2NO4	creation failed	O=C([O-])C=C[N+](=O)[O-]
cpd01603	LRDFRRGEGBBSRN-UHFFFAOYSA-N	C4H7N	no pKas to build it	CC(C)C#N
cpd01619	KXSDPILWMGFJMM-OPRDCNLKSA-N	C10H18O	no pKas to build it	CC(C)[C@]12CC[C@@](C)(O)[C@H]1C2
cpd01624	ZVMKTYCTECBPLO-UJJXFSCMSA-F	C40H30N4O16	creation failed	O=C([O-])CCC1=C(CC(=O)[O-])c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(CCC(=O)[O-])c5CC(=O)[O-])c(CC(=O)[O-])c4CCC(=O)[O-])C(CC(=O)[O-])=C3CCC(=O)[O-]
cpd01655	WBLZUCOIBUDNBV-UHFFFAOYSA-M	C3H4NO4	creation failed	O=C([O-])CC[N+](=O)[O-]
cpd01731	ABNDFSOIUFLJAH-UHFFFAOYSA-N	C8H7NS	no pKas to build it	N#CSCc1ccccc1
cpd01736	WNKDGPXNFMMOEJ-RNJSZURPSA-O	C23H31N2O4	creation failed	CC[C@]12C=CC[NH+]3CC[C@@]4(c5ccc(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)C1)[C@@H]32
cpd01779	ZRBYOSNUIRNFFL-UHFFFAOYSA-M	C18H17O7	creation failed	CC(=O)C1=C([O-])C2(C)c3c(O)c(C)c(O)c(C(C)=O)c3OC2CC1=O
