ID	NAMES	COMPARTMENT	MATCH	MODELSEED	MS NAMES
10fthf	10-Formyltetrahydrofolate	m	Y	cpd00201	10-Formyltetrahydrofolate
12dgr_YL	1,2-Diacylglycerol, yeast-specific	c	Y	cpd15192	1,2-Diacylglycerol, yeast-specific
13BDglcn	1,3-beta-D-Glucan	c	Y	cpd11791	1,3-beta-Glucan
13dampp	1,3-Diaminopropane	c	Y	cpd00726	1,3-Propanediamine
13dpg	3-Phospho-D-glyceroyl phosphate	c	Y	cpd00203	1,3-Bisphospho-D-glycerate
14glun	(1,4-alpha-D-Glucosyl)n	c	Y	cpd11735	Amylose
1ag3p_YL	1-Acyl-sn-glycerol 3-phosphate	c	Y	cpd00517	1-Acyl-sn-glycerol 3-phosphate
1agly3p_YL	1-Acyl-glycerone 3-phosphate, yeast-specific	c	Y	cpd15193	1-Acyl-glycerone 3-phosphate, yeast-specific
1agpc_YL	1-Acyl-sn-glycerol-3-phosphocholine, yeast-specific	c	Y	cpd16871	1-Acyl-sn-glycerol-3-phosphocholine, yeast-specific
1pyr5c	1-Pyrroline-5-carboxylate	c	Y	cpd02431	1-Pyrroline-5-carboxylate
23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate	m	Y	cpd02498	2,3-Dihydroxy-isovalerate
23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate	m	Y	cpd02535	2,3-Dihydroxy-3-methylvalerate
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	c	Y	cpd02921	SAICAR
25dhpp	2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)-pyrimidine	c	Y	cpd00957	2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone
2ahbut	(S)-2-Aceto-2-hydroxybutanoate	m	Y	cpd00498	2-Aceto-2-hydroxybutanoate
2ahethmpp	2-(alpha-Hydroxyethyl)thiamine diphosphate	m	Y	cpd03049	2-Hydroxyethyl-ThPP
2ahhmd	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate	m	Y	cpd02920	2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate
2ahhmp	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	m	Y	cpd00954	6-hydroxymethyl dihydropterin
2cpr5p	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	c	Y	cpd00956	1-(2-carboxyphenylamino)-1-deoxyribulose 5-phosphate
2dda7p	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	c	Y	cpd02857	DAHP
2dhp	2-Dehydropantoate	c	Y	cpd00712	2-Dehydropantoate
2dr1p	2-Deoxy-D-ribose 1-phosphate	c	Y	cpd00509	deoxyribose-1-phosphate
2hp6mbq	2-Hexaprenyl-6-methoxy-1,4-benzoquinone	m	Y	cpd03440	2-Hexaprenyl-6-methoxy-1,4-benzoquinone
2hp6mp	2-Hexaprenyl-6-methoxyphenol	m	Y	cpd03439	2-Hexaprenyl-6-methoxyphenol
2hpmhmbq	2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	m	Y	cpd03442	2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
2hpmmbq	2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	m	Y	cpd03441	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
2hyoxplac	2-Hydroxyphenylacetate	c	Y	cpd03480	2-Hydroxyphenylacetate
2kmb	2-keto-4-methylthiobutyrate	c	Y	cpd00869	4-methylthio 2-oxobutyrate
2maacoa	2-Methyl-3-acetoacetyl-CoA	c	Y	cpd02124	2-Methylacetoacetyl-CoA
2mahmp	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	c	Y	cpd02894	4-Amino-2-methyl-5-diphosphomethylpyrimidine
2mb2coa	trans-2-Methylbut-2-enoyl-CoA	c	Y	cpd02125	Tiglyl-CoA
2mbcoa	(S)-2-Methylbutanoyl-CoA	c	Y	cpd00760	2-Methylbutyryl-CoA
2mbdhl	S-(2-Methylbutanoyl)-dihydrolipoamide	c	Y	cpd03045	S-(2-Methylbutanoyl)-dihydrolipoamide
2mop	(S)-Methylmalonate semialdehyde	c	Y	cpd00287	3-Oxo-2-methylpropanoate
2mp2coa	2-Methylprop-2-enoyl-CoA	c	Y	cpd02187	Methacrylyl-CoA
2mpdhl	S-(2-Methylpropanoyl)-dihydrolipoamide	c	Y	cpd02700	S-(2-Methylpropionyl)-dihydrolipoamide
2obut	2-Oxobutanoate	m	Y	cpd00094	2-Oxobutyrate
2oxoadp	2-Oxoadipate	m	Y	cpd00269	2-Oxoadipate
2pg	D-Glycerate 2-phosphate	c	Y	cpd00482	2-Phospho-D-glycerate
34dhpac	3,4-Dihydroxyphenylacetaldehyde	c	Y	cpd02500	Protocatechuatealdehyde
34dhpha	3,4-Dihydroxyphenylacetate	c	Y	cpd00854	Homoprotocatechuate
34hpp	3-(4-Hydroxyphenyl)pyruvate	c	Y	cpd00868	p-hydroxyphenylpyruvate
35cgmp	3',5'-Cyclic GMP	c	Y	cpd00697	cGMP
3c2hmp	3-Carboxy-2-hydroxy-4-methylpentanoate	c	Y	cpd02693	3-Isopropylmalate
3c3hmp	3-Carboxy-3-hydroxy-4-methylpentanoate	e	Y	cpd01646	2-Isopropylmalate
3c4mop	3-Carboxy-4-methyl-2-oxopentanoate	c	Y	cpd02605	2-isopropyl-3-oxosuccinate
3dh5hpb	3-Hexaprenyl-4,5-dihydroxybenzoate	m	Y	cpd03092	3-Hexaprenyl-4,5-dihydroxybenzoate
3dhq	3-Dehydroquinate	c	Y	cpd00699	5-Dehydroquinate
3dhsk	3-Dehydroshikimate	c	Y	cpd01716	3-Dehydroshikimate
3dsphgn	3-Dehydrosphinganine	c	Y	cpd01879	3-Dehydrosphinganine
3hanthrn	3-Hydroxyanthranilate	c	Y	cpd00483	3-Hydroxyanthranilate
3hbcoa	(S)-3-Hydroxybutanoyl-CoA	m	Y	cpd00842	(S)-3-Hydroxybutyryl-CoA
3hdcoa	(S)-3-Hydroxydecanoyl-CoA	m	Y	cpd03118	(S)-Hydroxydecanoyl-CoA
3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	m	Y	cpd03116	(S)-3-Hydroxydodecanoyl-CoA
3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA	m	Y	cpd03113	(S)-3-Hydroxyhexadecanoyl-CoA
3hibutcoa	(S)-3-Hydroxyisobutyryl-CoA	c	Y	cpd02503	3-Hydroxyisobutyryl-CoA
3hmbcoa	(S)-3-Hydroxy-2-methylbutyryl-CoA	c	Y	cpd02691	2-methyl-3-hydroxy-butyryl-CoA
3hmp	(S)-3-Hydroxyisobutyrate	c	Y	cpd00876	3-Hydroxyisobutyrate
3hodcoa	(S)-3-Hydroxyoctadecanoyl-CoA	m	Y	cpd14936	3-Hydroxystearoyl-CoA
3hph5mb	3-Hexaprenyl-4-hydroxy-5-methoxybenzoate	m	Y	cpd03151	3-Hexaprenyl-4-hydroxy-5-methoxybenzoate
3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	m	Y	cpd03115	(S)-3-Hydroxytetradecanoyl-CoA
3hxccoa	(S)-3-Hydroxyhexacosyl-CoA	m	Y	cpd15205	(S)-3-Hydroxyhexacosyl-CoA
3ig3p	C'-(3-Indolyl)-glycerol 3-phosphate	c	Y	cpd02210	Indoleglycerol phosphate
