id	compartment	direction	gfdir	type	base_cost	forward_cost	reverse_cost	complexes
rxn00001	c0|e0	>	=	conditional	3	0	0.4609	cpx01833|cpx01834|cpx01835|cpx34574
rxn00002	c0|e0	>	=	conditional	2	0	0.0377	cpx01285|cpx01286|cpx34429
rxn00003	c0|e0	=	=	conditional	4	2.053	0	cpx31894
rxn00004	c0|e0	=	=	conditional	4	0	0	cpx34891
rxn00006	c0|e0	>	=	conditional	3	0	-3.53543	cpx01324|cpx30476
rxn00007	c0|e0	=	=	conditional	2	0	0	cpx00876|cpx00877|cpx33706|cpx33706
rxn00009	c0|e0	=	=	conditional	5	0	0	cpx32995
rxn00010	c0|e0	>	=	conditional	2	0	-0.057	cpx00596|cpx34780
rxn00011	c0|e0	<	=	conditional	2	1.687	0	cpx00823|cpx00990|cpx00991|cpx00992|cpx00993|cpx00994|cpx01103|cpx01104|cpx01105|cpx31097|cpx31894|cpx34739
rxn00013	c0|e0	=	=	conditional	5	0	0	cpx32787
rxn00014	c0|e0	=	=	conditional	6	0	0	cpx30475
rxn00015	c0|e0	=	=	conditional	4	0	0	cpx32519
rxn00016	c0|e0	>	=	conditional	2	0	0.6887	cpx01112|cpx33733
rxn00017	c0|e0	=	=	conditional	5	0	0	cpx31512
rxn00018	c0|e0	=	=	conditional	2	0	0	cpx00211|cpx00212|cpx00213|cpx34771
rxn00019	c0|e0	=	=	gapfilling	7	0	0	null
rxn00020	c0|e0	>	=	conditional	2	0	0.6887	cpx00725|cpx00726|cpx33699|cpx33699
rxn00021	c0|e0	=	=	conditional	5	0	0	cpx34865
rxn00022	c0|e0	>	=	conditional	2	0	0.6887	cpx00173|cpx01674|cpx01675|cpx33698|cpx33698
rxn00023	c0|e0	=	=	conditional	6	0	0	cpx31559
rxn00025	c0|e0	=	=	conditional	4	0	-7.74597	cpx30922
rxn00026	c0|e0	=	=	conditional	4	0	-1.64897	cpx30359
rxn00028	c0|e0	=	=	conditional	4	0	-9.3894	cpx30447
rxn00029	c0|e0	>	=	conditional	2	0	-0.5304	cpx00733|cpx34999
rxn00030	c0|e0	=	=	conditional	5	0	0	cpx34862
rxn00031	c0|e0	=	=	conditional	6	0	0	cpx32210
rxn00032	c0|e0	=	=	gapfilling	6	0	-8.83337	null
rxn00033	c0|e0	=	=	conditional	4	0	-12.656	cpx31086
rxn00035	c0|e0	=	=	conditional	4	0	-11.1354	cpx31130
rxn00038	c0|e0	=	=	conditional	2	0	0	cpx01010|cpx33158
rxn00042	c0|e0	=	=	conditional	5	0	-8.83337	cpx30364
rxn00043	c0|e0	=	=	conditional	5	0	-7.21737	cpx30442|cpx30867
rxn00044	c0|e0	=	=	conditional	5	0	0	cpx34420
rxn00046	c0|e0	=	=	conditional	5	0	0	cpx31905
rxn00047	c0|e0	=	=	gapfilling	5	0	0.145	null
rxn00048	c0|e0	>	=	conditional	2	0	-4.105	cpx00150|cpx00151|cpx32569
rxn00050	c0|e0	=	=	gapfilling	6	14.422	0	null
rxn00051	c0|e0	=	=	gapfilling	4	0	-7.41137	null
rxn00052	c0|e0	=	=	conditional	4	0	-3.15127	cpx30359
rxn00054	c0|e0	=	=	conditional	4	0	-27.6301	cpx30448
rxn00055	c0|e0	=	=	conditional	5	0	-2.408	cpx32518
rxn00056	c0|e0	=	=	conditional	2	0	0	cpx01236|cpx30950
rxn00057	c0|e0	=	=	conditional	5	0	-25.4921	cpx30349|cpx30442
rxn00058	c0|e0	=	=	conditional	4	0	0	cpx01840|cpx01841|cpx01842|cpx01844|cpx01845|cpx01846|cpx01847|cpx01848|cpx01851|cpx01853|cpx01854|cpx01855|cpx01856|cpx01857|cpx01858|cpx01859|cpx01861|cpx01862|cpx01864|cpx01865|cpx31517|cpx31596
rxn00060	c0|e0	>	=	conditional	2	0	-1.5973	cpx01323|cpx32538
rxn00061	c0|e0	=	=	conditional	5	0	-0.3634	cpx34618
rxn00062	c0|e0	>	=	conditional	4	0	0.3183	cpx34580|cpx34596|cpx34618|cpx34632|cpx34636|cpx34637|cpx34638|cpx34639|cpx34641|cpx34642|cpx34643|cpx34644|cpx34645|cpx34646|cpx34647|cpx34648|cpx34649|cpx34650|cpx34651|cpx34652|cpx34653|cpx34654|cpx34655|cpx34656|cpx34657|cpx34658|cpx34659|cpx34660|cpx34661|cpx34662|cpx34663|cpx34664|cpx34665|cpx34666|cpx34667|cpx34668|cpx34669|cpx34670|cpx34671|cpx34672|cpx34673|cpx34674|cpx34676|cpx34677|cpx34678|cpx34679|cpx34680|cpx34681|cpx34682|cpx34683|cpx34684|cpx34685|cpx34686|cpx34687|cpx34688|cpx34689|cpx34690|cpx34691|cpx34694|cpx34695|cpx34696|cpx34697|cpx34698|cpx34699|cpx34700|cpx34701
rxn00063	c0|e0	>	=	conditional	1	0	0.1757	cpx34632
rxn00064	c0|e0	=	=	conditional	5	0	0.1517	cpx34533
rxn00065	c0|e0	>	=	conditional	2	0	1.105	cpx01563|cpx01564|cpx35314
rxn00066	c0|e0	>	=	conditional	3	0	-6.7064	cpx01318|cpx30458
rxn00067	c0|e0	=	=	conditional	5	1.2918	0	cpx31546
rxn00068	c0|e0	=	=	conditional	5	6.03	0	cpx30947
rxn00069	c0|e0	=	=	conditional	1	0	0	cpx31307
rxn00070	c0|e0	=	=	conditional	5	0	0	cpx31555
rxn00071	c0|e0	=	=	conditional	4	0	0	cpx31465
rxn00072	c0|e0	=	=	conditional	5	0	0	cpx30943
rxn00074	c0|e0	=	=	conditional	3	0	0	cpx00425|cpx30944
rxn00076	c0|e0	>	=	conditional	1	0	0.0687	cpx34588|cpx34633
