biomass_id	id	coefficient	coefficient_type	class	linked_compounds	compartment
bio1	cpd00322	-0.066	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00002	-1	MULTIPLIER	energy	cpd00001:-1|cpd00008:-1|cpd00009:-1|cpd00067:1	c0
bio1	cpd11416	1	EXACT	other	null	c0
bio1	cpd17041	-1	EXACT	other	null	c0
bio1	cpd17042	-1	EXACT	other	null	c0
bio1	cpd17043	-1	EXACT	other	null	c0
bio1	cpd00010	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd11493	-1	MOLSPLIT	cofactor	cpd12370:-1	c0
bio1	cpd00003	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00006	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00205	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00254	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd10516	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00063	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00009	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00099	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00149	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00058	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00015	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd10515	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00030	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00048	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00034	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00016	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00220	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00017	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00201	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00087	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00345	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00042	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00028	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00557	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00264	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00118	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00056	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd15560	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd15352	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd15500	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00166	-1	MOLSPLIT	cofactor	cpd01997:-1|cpd03422:-1	c0
bio1	cpd15793	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15794	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15795	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15722	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15723	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15540	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15533	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15695	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15696	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15748	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15757	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15766	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15775	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15749	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15758	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15767	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15776	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15750	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15759	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15768	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15777	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15667	-1	MOLSPLIT	cellwall	cpd15666:-1	c0
bio1	cpd15668	-1	MOLSPLIT	cellwall	cpd15666:-1	c0
bio1	cpd15669	-1	MOLSPLIT	cellwall	cpd15666:-1	c0
bio1	cpd11459	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd02229	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15665	-1	MOLSPLIT	cellwall	cpd15666:-1	c0
