biomass_id	id	coefficient	coefficient_type	class	linked_compounds	compartment
bio1	cpd00002	-0.262	MOLFRACTION	rna	cpd00012:-1	c0
bio1	cpd00038	-0.323	MOLFRACTION	rna	cpd00012:-1	c0
bio1	cpd00052	-0.199	MOLFRACTION	rna	cpd00012:-1	c0
bio1	cpd00062	-0.215	MOLFRACTION	rna	cpd00012:-1	c0
bio1	cpd00115	-1	AT	dna	cpd00012:-1	c0
bio1	cpd00241	-1	GC	dna	cpd00012:-1	c0
bio1	cpd00356	-1	GC	dna	cpd00012:-1	c0
bio1	cpd00357	-1	AT	dna	cpd00012:-1	c0
bio1	cpd00023	-0.0637	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00033	-0.0999	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00035	-0.0653	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00039	-0.079	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00041	-0.0362	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00051	-0.0472	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00053	-0.0637	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00054	-0.0529	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00060	-0.0277	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00065	-0.0133	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00066	-0.043	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00069	-0.0271	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00084	-0.0139	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00107	-0.0848	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00119	-0.02	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00129	-0.0393	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00132	-0.0362	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00156	-0.0751	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00161	-0.0456	MOLFRACTION	protein	cpd00001:-1	c0
