id	compartment	direction	gfdir	type	base_cost	forward_cost	reverse_cost	complexes
rxn00076	c0|e0	>	=	conditional	1	0	0.0687	mscpx.1345
rxn00077	c0|e0	=	=	conditional	2	0	0	mscpx.366
rxn00082	c0|e0	=	=	conditional	15	0	0	mscpx.833
rxn00083	c0|e0	=	=	conditional	2	0	0	mscpx.121|mscpx.1540|mscpx.1541
rxn00085	c0|e0	=	=	conditional	2	0	0	mscpx.780
rxn00086	c0|e0	=	=	conditional	2	0	0	mscpx.1357
rxn00090	c0|e0	>	=	conditional	1	0	-1.87917	mscpx.679
rxn00095	c0|e0	>	=	conditional	2	0	0.0687	mscpx.936
rxn00097	c0|e0	=	=	conditional	2	0	0	mscpx.811
rxn00100	c0|e0	>	=	conditional	2	0	0.55	mscpx.384|mscpx.385
rxn00101	c0|e0	>	=	conditional	2	0	0.4247	mscpx.1893|mscpx.1894
rxn00102	c0|e0	=	=	conditional	2	0	0	mscpx.1443|mscpx.1444
rxn00105	c0|e0	=	=	conditional	2	0	0	mscpx.1342|mscpx.1343|mscpx.1344
rxn00114	c0|e0	=	=	conditional	2	0	0	mscpx.1830
rxn00116	c0|e0	>	=	conditional	1	0	0.3183	mscpx.426|mscpx.850
rxn00117	c0|e0	=	=	conditional	2	0	0	mscpx.356
rxn00118	c0|e0	=	=	conditional	1	0	0	mscpx.1609
rxn00119	c0|e0	=	=	conditional	2	0	0	mscpx.1607|mscpx.1608
rxn00120	c0|e0	>	=	conditional	1	0	0.3183	mscpx.426|mscpx.489
rxn00122	c0|e0	>	=	conditional	2	0	-0.323	mscpx.687
rxn00123	c0|e0	>	=	conditional	1	0	0.7683	mscpx.709
rxn00124	c0|e0	=	=	conditional	2	0	0	mscpx.74
rxn00126	c0|e0	>	=	conditional	2	0	0.6913	mscpx.1451|mscpx.1452
rxn00127	c0|e0	>	=	conditional	2	0	0.691	mscpx.1473|mscpx.1474|mscpx.1475
rxn00131	c0|e0	=	=	conditional	2	0	0	mscpx.1374
rxn00132	c0|e0	>	=	conditional	2	0	0.7683	mscpx.863
rxn00134	c0|e0	=	=	conditional	2	0	0	mscpx.861|mscpx.862
rxn00137	c0|e0	>	=	conditional	3	0	0.7683	mscpx.632
rxn00138	c0|e0	>	=	conditional	2	0	0.648	mscpx.899
rxn00139	c0|e0	<	=	conditional	2	1.301	0	mscpx.606
rxn00141	c0|e0	=	=	conditional	2	0	0	mscpx.1565
rxn00143	c0|e0	=	=	conditional	2	0	0	mscpx.311
rxn00145	c0|e0	=	=	conditional	3	0	0	mscpx.878
rxn00146	c0|e0	=	=	conditional	3	0	0	mscpx.891
rxn00147	c0|e0	>	=	conditional	2	0	0.7793	mscpx.1030
rxn00148	c0|e0	=	=	conditional	2	0	0	mscpx.1664
rxn00151	c0|e0	=	=	conditional	2	0	0	mscpx.1639
rxn00152	c0|e0	>	=	conditional	2	0	-2.61557	mscpx.1256
rxn00157	c0|e0	=	=	conditional	2	0	0	mscpx.407|mscpx.408
rxn00159	c0|e0	>	=	conditional	2	0	1.132	mscpx.1470|mscpx.1471
rxn00160	c0|e0	>	=	conditional	2	0	1.132	mscpx.339
rxn00161	c0|e0	>	=	conditional	2	0	1.132	mscpx.765
rxn00162	c0|e0	>	=	conditional	2	0	0.51	mscpx.1177|mscpx.1178|mscpx.1179|mscpx.1180|mscpx.1181|mscpx.1182|mscpx.1183
rxn00165	c0|e0	>	=	conditional	2	0	0.249	mscpx.1544|mscpx.1545|mscpx.324
rxn00166	c0|e0	>	=	conditional	2	0	0.249	mscpx.603
rxn00171	c0|e0	=	=	conditional	2	0	0	mscpx.712|mscpx.843
rxn00172	c0|e0	=	=	conditional	2	0	0	mscpx.1481|mscpx.1482
rxn00173	c0|e0	=	=	conditional	2	0	0	mscpx.945
rxn00175	c0|e0	=	=	conditional	2	0	0	mscpx.848
rxn00178	c0|e0	=	=	conditional	2	0	0	mscpx.453|mscpx.454|mscpx.666
rxn00179	c0|e0	=	=	conditional	2	0	0	mscpx.1204
rxn00182	c0|e0	=	=	conditional	2	0	0	mscpx.1421|mscpx.1422|mscpx.1423
rxn00183	c0|e0	>	=	conditional	2	0	0.0196999999999999	mscpx.185
rxn00184	c0|e0	=	=	conditional	2	0	0	mscpx.965
rxn00186	c0|e0	>	=	conditional	2	0	0.586	mscpx.1708
rxn00187	c0|e0	>	=	conditional	2	0	0.7906	mscpx.312|mscpx.313|mscpx.314|mscpx.315|mscpx.316|mscpx.317
rxn00189	c0|e0	>	=	conditional	2	0	0.5277	mscpx.1185
rxn00190	c0|e0	>	=	conditional	2	0	0.1757	mscpx.1891
rxn00191	c0|e0	=	=	conditional	2	0	0	mscpx.1838
rxn00192	c0|e0	>	=	conditional	2	0	0.4706	mscpx.1409
rxn00193	c0|e0	=	=	conditional	2	0	0	mscpx.332
