biomass_id	id	coefficient	coefficient_type	class	linked_compounds	compartment
bio1	cpd00002	-1	MULTIPLIER	energy	cpd00001:-1|cpd00008:-1|cpd00009:-1|cpd00067:1	c0
bio1	cpd11416	1	EXACT	energy	null	c0
bio2	cpd00072	-0.0709	EXACT	other	null	c0
bio2	cpd00101	-0.8977	EXACT	other	null	c0
bio2	cpd00236	-0.8977	EXACT	other	null	c0
bio2	cpd00102	-0.129	EXACT	other	null	c0
bio2	cpd00169	-1.496	EXACT	other	null	c0
bio2	cpd00061	-0.5191	EXACT	other	null	c0
bio2	cpd00020	-2.8328	EXACT	other	null	c0
bio2	cpd00022	-3.7478	EXACT	other	null	c0
bio2	cpd00032	-1.7867	EXACT	other	null	c0
bio2	cpd00024	-1.0789	EXACT	other	null	c0
bio2	cpd00079	-0.205	EXACT	other	null	c0
bio2	cpd00005	-1.8225	EXACT	other	cpd00067:-1	c0
bio2	cpd00003	-3.547	EXACT	other	cpd00067:-1	c0
bio2	cpd00010	3.7478	EXACT	other	null	c0
bio2	cpd11416	1	EXACT	other	null	c0
bio2	cpd00006	1.8225	EXACT	other	null	c0
bio2	cpd00004	3.547	EXACT	other	null	c0
bio2	cpd00002	-1	MULTIPLIER	energy	cpd00001:-1|cpd00008:-1|cpd00009:-1|cpd00067:1	c0
iNJ661m	cpd00035	-0.40596	EXACT	other	null	c0
iNJ661m	cpd00084	-0.02261	EXACT	other	null	c0
iNJ661m	cpd00041	-0.12031	EXACT	other	null	c0
iNJ661m	cpd00023	-0.09001	EXACT	other	null	c0
iNJ661m	cpd00066	-0.0481	EXACT	other	null	c0
iNJ661m	cpd00033	-0.33581	EXACT	other	null	c0
iNJ661m	cpd00119	-0.04062	EXACT	other	null	c0
iNJ661m	cpd00322	-0.08773	EXACT	other	null	c0
iNJ661m	cpd00039	-0.03909	EXACT	other	null	c0
iNJ661m	cpd00107	-0.20471	EXACT	other	null	c0
iNJ661m	cpd00119	-0.03489	EXACT	other	null	c0
iNJ661m	cpd00132	-0.0477	EXACT	other	null	c0
iNJ661m	cpd00129	-0.13803	EXACT	other	null	c0
iNJ661m	cpd00053	-0.05812	EXACT	other	null	c0
iNJ661m	cpd00051	-0.12042	EXACT	other	null	c0
iNJ661m	cpd00054	-0.1434	EXACT	other	null	c0
iNJ661m	cpd00161	-0.13571	EXACT	other	null	c0
iNJ661m	cpd00156	-0.20583	EXACT	other	null	c0
iNJ661m	cpd00065	-0.02012	EXACT	other	null	c0
iNJ661m	cpd00069	-0.03176	EXACT	other	null	c0
iNJ661m	cpd00018	-0.13903	EXACT	other	null	c0
iNJ661m	cpd00046	-0.25095	EXACT	other	null	c0
iNJ661m	cpd00126	-0.24365	EXACT	other	null	c0
iNJ661m	cpd00091	-0.1316	EXACT	other	null	c0
iNJ661m	cpd00294	-0.00349	EXACT	other	null	c0
iNJ661m	cpd00206	-0.00666	EXACT	other	null	c0
iNJ661m	cpd00296	-0.00666	EXACT	other	null	c0
iNJ661m	cpd00298	-0.00365	EXACT	other	null	c0
iNJ661m	cpd11905	-0.000001	EXACT	other	null	c0
iNJ661m	cpd30563	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00794	-0.00797	EXACT	other	null	c0
iNJ661m	cpd16040	-0.00118	EXACT	other	null	c0
iNJ661m	cpd16006	-0.00125	EXACT	other	null	c0
iNJ661m	cpd16035	-0.00114	EXACT	other	null	c0
iNJ661m	cpd00523	-0.00649	EXACT	other	null	c0
iNJ661m	cpd16051	-0.00647	EXACT	other	null	c0
iNJ661m	cpd00027	-0.16315	EXACT	other	null	c0
iNJ661m	cpd00138	-0.09507	EXACT	other	null	c0
iNJ661m	cpd00105	-0.02172	EXACT	other	null	c0
iNJ661m	cpd00348	-0.05547	EXACT	other	null	c0
iNJ661m	cpd02611	-0.23018	EXACT	other	null	c0
iNJ661m	cpd00773	-0.00279	EXACT	other	null	c0
iNJ661m	cpd03487	-0.00101	EXACT	other	null	c0
iNJ661m	cpd03491	-0.00101	EXACT	other	null	c0
iNJ661m	cpd03495	-0.00099	EXACT	other	null	c0
iNJ661m	cpd16053	-0.00098	EXACT	other	null	c0
iNJ661m	cpd00100	-0.02536	EXACT	other	null	c0
iNJ661m	cpd16971	-0.01885	EXACT	other	null	c0
iNJ661m	cpd16972	-0.01885	EXACT	other	null	c0
iNJ661m	cpd15929	-0.00073	EXACT	other	null	c0
iNJ661m	cpd12266	-0.0000001	EXACT	other	null	c0
iNJ661m	cpd15915	-0.00168	EXACT	other	null	c0
iNJ661m	cpd15916	-0.00149	EXACT	other	null	c0
iNJ661m	cpd15917	-0.00134	EXACT	other	null	c0
iNJ661m	cpd15918	-0.00121	EXACT	other	null	c0
iNJ661m	cpd15919	-0.00127	EXACT	other	null	c0
iNJ661m	cpd15920	-0.00208	EXACT	other	null	c0
iNJ661m	cpd15921	-0.00179	EXACT	other	null	c0
iNJ661m	cpd15922	-0.00157	EXACT	other	null	c0
iNJ661m	cpd15923	-0.0014	EXACT	other	null	c0
iNJ661m	cpd15924	-0.00127	EXACT	other	null	c0
iNJ661m	cpd15925	-0.00115	EXACT	other	null	c0
iNJ661m	cpd15531	-0.00406	EXACT	other	null	c0
iNJ661m	cpd15939	-0.00586	EXACT	other	null	c0
iNJ661m	cpd03847	-0.01219	EXACT	other	null	c0
iNJ661m	cpd00214	-0.23515	EXACT	other	null	c0
iNJ661m	cpd15237	-0.01094	EXACT	other	null	c0
iNJ661m	cpd01080	-0.03484	EXACT	other	null	c0
iNJ661m	cpd15269	-0.00985	EXACT	other	null	c0
iNJ661m	cpd15992	-0.0958	EXACT	other	null	c0
iNJ661m	cpd03848	-0.01568	EXACT	other	null	c0
iNJ661m	cpd15971	-0.00784	EXACT	other	null	c0
iNJ661m	cpd15240	-0.05835	EXACT	other	null	c0
iNJ661m	cpd15524	-0.00724	EXACT	other	null	c0
iNJ661m	cpd16969	-0.0068	EXACT	other	null	c0
iNJ661m	cpd16970	-0.00641	EXACT	other	null	c0
iNJ661m	cpd15538	-0.00649	EXACT	other	null	c0
iNJ661m	cpd16009	-0.00613	EXACT	other	null	c0
iNJ661m	cpd16010	-0.00581	EXACT	other	null	c0
iNJ661m	cpd16042	-0.0000001	EXACT	other	null	c0
iNJ661m	cpd16041	-0.0000001	EXACT	other	null	c0
iNJ661m	cpd16001	-0.011	EXACT	other	null	c0
iNJ661m	cpd15968	-0.00334	EXACT	other	null	c0
iNJ661m	cpd15982	-0.00329	EXACT	other	null	c0
iNJ661m	cpd15990	-0.00337	EXACT	other	null	c0
iNJ661m	cpd16044	-0.00111	EXACT	other	null	c0
iNJ661m	cpd16045	-0.0011	EXACT	other	null	c0
iNJ661m	cpd16046	-0.0011	EXACT	other	null	c0
iNJ661m	cpd16047	-0.0011	EXACT	other	null	c0
iNJ661m	cpd16048	-0.0011	EXACT	other	null	c0
iNJ661m	cpd16049	-0.0011	EXACT	other	null	c0
iNJ661m	cpd16013	-0.00645	EXACT	other	null	c0
iNJ661m	cpd15977	-0.00118	EXACT	other	null	c0
iNJ661m	cpd08995	-0.0014	EXACT	other	null	c0
iNJ661m	cpd15952	-0.0015	EXACT	other	null	c0
iNJ661m	cpd16022	-0.00027	EXACT	other	null	c0
iNJ661m	cpd16022	-0.00026	EXACT	other	null	c0
iNJ661m	cpd00002	-60	EXACT	other	null	c0
iNJ661m	cpd00008	-60	EXACT	other	null	c0
iNJ661m	cpd00009	-60	EXACT	other	null	c0
iNJ661m	cpd00330	-0.000001	EXACT	other	null	c0
iNJ661m	cpd15942	-0.000001	EXACT	other	null	c0
iNJ661m	cpd15947	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00050	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00288	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00755	-0.000001	EXACT	other	null	c0
iNJ661m	cpd15499	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00003	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00006	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00028	-0.000001	EXACT	other	null	c0
iNJ661m	cpd02333	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00220	-0.000001	EXACT	other	null	c0
iNJ661m	cpd02229	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00087	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00834	-0.000001	EXACT	other	null	c0
iNJ661m	cpd00305	-0.000001	EXACT	other	null	c0
NRP	cpd00035	-0.0040596	EXACT	other	null	c0
NRP	cpd00084	-0.0002261	EXACT	other	null	c0
NRP	cpd00041	-0.0012031	EXACT	other	null	c0
NRP	cpd00023	-0.0009001	EXACT	other	null	c0
NRP	cpd00066	-0.000481	EXACT	other	null	c0
NRP	cpd00033	-0.0033581	EXACT	other	null	c0
NRP	cpd00119	-0.0004062	EXACT	other	null	c0
NRP	cpd00322	-0.0008773	EXACT	other	null	c0
NRP	cpd00039	-0.0003909	EXACT	other	null	c0
NRP	cpd00107	-0.0020471	EXACT	other	null	c0
NRP	cpd00119	-0.0003489	EXACT	other	null	c0
NRP	cpd00132	-0.000477	EXACT	other	null	c0
NRP	cpd00129	-0.0013803	EXACT	other	null	c0
NRP	cpd00053	-0.0005812	EXACT	other	null	c0
NRP	cpd00051	-0.0012042	EXACT	other	null	c0
NRP	cpd00054	-0.001434	EXACT	other	null	c0
NRP	cpd00161	-0.0013571	EXACT	other	null	c0
NRP	cpd00156	-0.0020583	EXACT	other	null	c0
NRP	cpd00065	-0.0002012	EXACT	other	null	c0
NRP	cpd00069	-0.0003176	EXACT	other	null	c0
NRP		#REF!	EXACT	other	null	c0
NRP	cpd00018	-0.13903	EXACT	other	null	c0
NRP	cpd00046	-0.25095	EXACT	other	null	c0
NRP	cpd00126	-0.24365	EXACT	other	null	c0
NRP	cpd00091	-0.1316	EXACT	other	null	c0
NRP	cpd00294	-0.0000349	EXACT	other	null	c0
NRP	cpd00206	-0.0000666	EXACT	other	null	c0
NRP	cpd00296	-0.0000666	EXACT	other	null	c0
NRP	cpd00298	-0.0000365	EXACT	other	null	c0
NRP	cpd11905	-0.000000001	EXACT	other	null	c0
NRP	cpd30563	-0.01	EXACT	other	null	c0
NRP	cpd00794	-0.00000797	EXACT	other	null	c0
NRP	cpd16040	-0.00000118	EXACT	other	null	c0
NRP	cpd16006	-0.00000125	EXACT	other	null	c0
NRP	cpd16035	-0.00000114	EXACT	other	null	c0
NRP	cpd00523	-0.00000649	EXACT	other	null	c0
NRP	cpd16051	-0.00000647	EXACT	other	null	c0
NRP	cpd00027	-0.00016315	EXACT	other	null	c0
NRP	cpd00138	-0.00009507	EXACT	other	null	c0
NRP	cpd00105	-0.00002172	EXACT	other	null	c0
NRP	cpd00348	-0.00005547	EXACT	other	null	c0
NRP	cpd02611	-0.00023018	EXACT	other	null	c0
NRP	cpd00773	-0.00000279	EXACT	other	null	c0
NRP	cpd03487	-0.00000101	EXACT	other	null	c0
NRP	cpd03491	-0.00000101	EXACT	other	null	c0
NRP	cpd03495	-0.00000099	EXACT	other	null	c0
NRP	cpd16053	-0.00000098	EXACT	other	null	c0
NRP	cpd00100	-0.00002536	EXACT	other	null	c0
NRP	cpd16971	-0.00001885	EXACT	other	null	c0
NRP	cpd16972	-0.00001885	EXACT	other	null	c0
NRP	cpd15929	-0.00000073	EXACT	other	null	c0
NRP	cpd12266	-0.0000001	EXACT	other	null	c0
NRP	cpd15915	-0.00000168	EXACT	other	null	c0
NRP	cpd15916	-0.00000149	EXACT	other	null	c0
NRP	cpd15917	-0.00000134	EXACT	other	null	c0
NRP	cpd15918	-0.00000121	EXACT	other	null	c0
NRP	cpd15919	-0.00000127	EXACT	other	null	c0
NRP	cpd15920	-0.00000208	EXACT	other	null	c0
NRP	cpd15921	-0.00000179	EXACT	other	null	c0
NRP	cpd15922	-0.00000157	EXACT	other	null	c0
NRP	cpd15923	-0.0000014	EXACT	other	null	c0
NRP	cpd15924	-0.00000127	EXACT	other	null	c0
NRP	cpd15925	-0.00000115	EXACT	other	null	c0
NRP	cpd15531	-0.00000406	EXACT	other	null	c0
NRP	cpd15939	-0.00000586	EXACT	other	null	c0
