ID	GF	EQ
rxn00001	4.15|1.22	-3.46|0.05
rxn00002	-9.62|1.78	-20.15|1.85
rxn00003	10.53|0.9	8.41|0.90
rxn00004	3.17|0.77	4.68|0.57
rxn00006	-45.36|1.5	-46.07|1.64
rxn00007	-3.11|4.34	-2.80|0.26
rxn00008	62.27|1.12	62.54|0.81
rxn00009	-8.46|7.79	2.37|1.52
rxn00010	-10.57|0.79	-4.55|1.08
rxn00011	6.87|3.85	7.25|0.84
rxn00012	0.0|7.04	-1.46|1.32
rxn00013	0.0|3.7	-5.78|0.99
rxn00014	nan	nan
rxn00015	-0.52|1.68	-0.78|0.99
rxn00016	-3.11|4.62	-3.31|0.86
rxn00017	18.48|13.84	nan
rxn00018	-7.91|1.08	-6.25|0.92
rxn00019	nan	nan
rxn00020	-3.11|4.34	-2.52|0.42
rxn00021	2.47|2.3	2.86|0.44
rxn00022	-3.11|4.34	-3.49|0.39
rxn00023	nan	nan
rxn00024	-82.88|2.89	-123.48|2.41
rxn00025	-87.46|8.21	-86.54|1.22
rxn00026	-26.49|3.7	-26.91|1.03
rxn00027	nan	nan
rxn00028	-103.9|3.91	nan
rxn00029	-15.31|1.87	-24.78|0.97
rxn00030	-4.02|0.59	-2.86|0.26
rxn00031	0.0|10.63	nan
rxn00032	-98.34|5.68	-101.16|0.92
rxn00033	-136.56|2.74	-159.21|2.73
rxn00034	-83.78|3.4	-87.86|0.79
rxn00035	-121.36|11.69	-115.57|1.13
rxn00036	-79.74|3.63	-80.03|3.33
rxn00037	-83.08|3.97	-106.19|1.92
rxn00038	-2.14|0.96	-11.81|1.19
rxn00039	0.0|5.64	-2.55|0.35
rxn00040	-2.14|3.88	-13.01|0.74
rxn00041	-2.14|3.82	-13.11|0.74
rxn00042	-98.34|7.84	-101.96|1.76
rxn00043	-82.18|3.6	-66.50|4.67
rxn00044	-0.46|1.56	1.22|0.41
rxn00045	0.0|18.06	nan
rxn00046	0.0|6.19	-1.93|0.96
rxn00047	-9.37|3.71	-15.47|0.71
rxn00048	-41.52|6.28	-20.73|1.72
rxn00050	134.22|3.45	105.84|2.71
rxn00051	-84.12|14.75	-123.12|4.50
rxn00052	-41.51|3.72	-40.00|1.05
rxn00053	nan	nan
rxn00054	-286.32|7.81	-236.85|47801.15
rxn00055	-34.08|14.54	9.64|71701.72
rxn00056	-8.18|3.04	-11.90|4.13
rxn00057	-264.94|7.82	-159.19|95602.29
rxn00058	nan	nan
rxn00059	nan	nan
rxn00060	-25.97|8.54	-33.80|2.00
rxn00061	-23.15|4.52	-11.90|0.15
rxn00062	-6.81|4.36	-6.16|0.07
rxn00063	-27.3|4.35	-8.43|0.14
rxn00064	-8.48|4.16	-13.75|0.87
rxn00065	-8.48|4.89	1.71|0.24
rxn00066	-77.07|6.2	-77.79|0.79
rxn00067	2.91|11.5	nan
rxn00068	50.3|6.26	48.81|2.03
rxn00069	13.41|6.19	11.53|0.22
rxn00070	2.91|7.49	3.66|0.21
rxn00071	nan	nan
rxn00072	nan	nan
rxn00073	nan	nan
rxn00074	nan	nan
rxn00075	-3.67|6.0	-8.67|0.79
rxn00076	-28.37|5.7	-8.79|0.73
rxn00077	-14.03|7.51	-3.15|0.72
rxn00078	-14.03|7.41	-3.15|0.72
rxn00079	nan	nan
rxn00080	nan	nan
rxn00081	nan	nan
rxn00082	nan	nan
rxn00083	0.0|8.62	0.01|0.08
rxn00084	-77.07|6.19	-77.79|0.79
rxn00085	13.41|6.18	11.53|0.23
rxn00086	2.91|7.48	3.65|0.19
rxn00087	2.91|6.39	-1.56|1.61
rxn00088	7.22|6.2	-3.01|0.72
rxn00089	-3.67|5.98	nan
rxn00090	-28.8|4.4	-28.07|1.04
rxn00091	-66.72|1.41	-70.71|1.25
rxn00092	-16.34|4.35	-5.74|0.08
rxn00093	-8.48|4.16	-14.61|0.93
rxn00095	-9.31|8.62	-7.47|1.99
rxn00096	2.5|7.47	1.31|1.99
rxn00097	9.53|7.44	-0.42|0.04
rxn00098	-6.81|4.37	-7.49|0.72
rxn00099	-13.1|7.41	-11.47|0.91
rxn00100	-14.03|6.51	0.59|0.72
rxn00101	-5.75|1.32	-7.10|1.11
rxn00102	0.84|0.87	1.26|0.76
rxn00103	-3.09|6.13	-3.53|0.80
rxn00104	nan	nan
rxn00105	1.07|5.7	0.36|0.72
rxn00106	nan	nan
rxn00107	0.0|5.07	0.59|0.31
rxn00108	-9.53|5.06	-0.21|0.31
rxn00109	22.97|6.2	nan
rxn00110	nan	nan
rxn00111	nan	nan
rxn00112	-71.01|1.18	nan
rxn00113	-16.9|8.67	0.13|0.97
rxn00114	-10.09|4.39	6.29|0.96
rxn00115	nan	nan
rxn00116	-16.34|2.76	-5.00|0.78
rxn00117	-0.0|5.07	-0.64|0.31
rxn00118	9.53|5.06	0.22|0.31
rxn00119	9.53|5.06	-1.16|0.78
rxn00120	-6.81|2.77	-5.52|0.31
rxn00121	-28.37|6.82	-5.20|0.94
rxn00122	1.07|6.82	-3.24|0.94
rxn00123	7.22|2.46	-2.58|0.48
rxn00124	-14.03|4.9	-3.58|0.48
rxn00125	-7.47|4.86	13.45|23900.57
rxn00126	-12.61|4.92	-22.45|23900.57
rxn00127	-3.09|5.23	-5.37|0.75
rxn00128	-3.05|5.12	-7.59|23900.57
rxn00129	1.85|4.92	15.05|23900.57
rxn00130	-8.48|4.15	-7.56|0.47
rxn00131	-0.73|4.32	-4.19|0.37
rxn00132	7.22|4.35	-3.37|0.34
rxn00133	-18.84|7.47	-7.05|1.99
rxn00134	-14.03|6.08	-2.79|0.35
rxn00135	nan	nan
rxn00136	-18.84|7.46	nan
rxn00137	7.22|4.35	-2.47|0.75
rxn00138	-22.58|7.51	-3.53|0.67
rxn00139	12.54|4.32	3.84|0.33
rxn00140	-18.82|4.89	-10.15|0.27
rxn00141	5.68|4.46	8.32|0.72
rxn00142	3.71|4.5	-5.66|0.69
rxn00143	-0.73|4.47	-3.72|0.67
rxn00144	-3.8|1.24	-0.97|0.86
rxn00145	nan	nan
rxn00146	nan	nan
rxn00147	-21.26|4.4	0.79|0.12
rxn00148	-4.92|4.35	6.52|0.10
rxn00149	-9.8|6.14	-6.58|0.50
rxn00150	-9.8|6.12	-6.59|0.50
rxn00151	-25.41|4.4	4.25|0.12
rxn00152	-45.69|1.08	-37.94|1.28
rxn00153	-1.89|0.97	-12.68|0.13
rxn00154	-8.14|7.87	-8.52|0.79
rxn00155	-8.14|7.86	-8.52|0.79
rxn00156	-39.85|5.02	-40.24|1.28
rxn00157	5.05|4.97	5.00|0.36
rxn00158	-6.46|1.44	-93.40|23900.57
rxn00159	1.32|6.14	3.14|0.76
rxn00160	1.32|6.14	5.31|1.27
rxn00161	1.32|6.12	3.14|0.77
rxn00162	-4.9|0.68	-3.95|0.76
rxn00163	-55.73|4.71	nan
rxn00164	13.12|0.92	5.31|1.04
rxn00165	-7.51|0.66	-6.92|0.23
rxn00166	-7.51|0.66	-6.81|0.72
rxn00168	-3.44|0.77	-4.30|0.80
rxn00170	-7.29|4.99	-7.25|0.13
rxn00171	-4.7|7.86	-4.21|0.29
rxn00172	0.48|6.58	1.09|0.09
rxn00173	-5.84|4.97	2.30|0.15
rxn00174	-4.9|5.02	-3.93|0.77
rxn00175	-20.01|6.58	-1.18|0.10
rxn00176	-10.42|6.55	-282.54|23900.57
rxn00177	3.17|5.05	2.90|0.38
rxn00178	7.06|8.63	6.11|0.21
rxn00179	-6.9|4.33	6.53|0.55
rxn00180	-6.9|4.33	5.84|0.55
rxn00181	-6.9|4.33	5.84|0.55
rxn00182	8.69|6.17	8.71|0.07
rxn00183	-9.8|6.15	-10.41|0.49
rxn00184	8.69|6.15	8.71|0.09
rxn00185	-23.02|1.14	-23.01|1.02
rxn00186	-4.13|4.55	-0.92|0.79
rxn00187	-2.09|4.42	-3.34|0.20
rxn00188	-2.73|1.38	13.95|1.16
rxn00189	-4.72|1.01	-2.82|0.21
rxn00190	-27.3|7.55	-6.35|0.70
rxn00191	0.0|0.68	0.08|0.13
rxn00192	-5.29|5.0	-5.70|0.79
rxn00193	0.0|0.54	0.14|0.52
rxn00194	-3.09|0.72	-5.66|0.85
rxn00195	1.81|0.58	-1.77|0.58
rxn00196	-9.8|6.13	-8.32|0.48
rxn00197	-8.14|7.88	-6.99|0.95
rxn00198	3.13|6.14	1.41|0.78
rxn00199	-3.09|0.78	-3.09|0.96
rxn00200	-4.72|1.04	-0.14|0.59
rxn00201	4.72|1.04	10.04|0.79
rxn00202	8.92|5.0	7.06|0.67
rxn00203	-4.09|0.68	-4.10|0.83
rxn00204	-40.43|1.32	-39.14|1.89
rxn00205	-74.16|4.48	-74.13|0.81
rxn00206	-22.87|1.22	nan
rxn00207	52.41|1.12	nan
rxn00208	-25.57|2.55	-23.63|1.11
rxn00209	-28.04|2.45	-27.16|1.03
rxn00210	-23.02|1.14	-23.15|1.15
rxn00211	-4.58|12.98	-3.64|0.53
rxn00212	-28.37|3.97	-5.31|0.99
rxn00213	1.07|3.98	-1.74|0.39
rxn00214	0.0|4.41	0.65|0.35
rxn00215	-13.9|4.36	-15.10|0.60
rxn00216	-14.03|4.81	-4.00|0.11
rxn00217	-2.0|6.42	-1.01|0.28
rxn00218	-1.76|6.38	-2.59|0.51
rxn00219	-29.41|2.19	-31.61|1.10
rxn00220	7.22|2.27	-2.16|0.11
rxn00221	7.22|2.27	-5.89|0.35
rxn00222	-3.11|4.34	-3.40|0.62
rxn00223	-0.89|2.05	0.25|0.34
rxn00224	nan	nan
rxn00225	-5.36|4.34	3.39|0.13
rxn00226	-9.59|4.37	281.36|23900.57
rxn00227	-1.45|0.9	-9.55|0.15
