ID	GC	EQ
cpd00001	-56.69|0.5	-37.54|0.18
cpd00002	-673.85|3.04	-548.85|0.36
cpd00003	-529.59|4.36	-286.41|1.59
cpd00004	-524.32|4.27	-271.15|1.59
cpd00005	-736.82|4.26	-483.10|1.62
cpd00006	-742.09|4.35	-498.36|1.63
cpd00007	3.92|0.5	3.92|0.71
cpd00008	-465.85|3.04	-340.04|0.30
cpd00009	-261.97|0.5	-252.51|0.18
cpd00010	-751.99|3.45	-429.53|1.87
cpd00011	-92.26|0.5	-92.26|0.71
cpd00012	-480.93|0.5	-464.02|0.27
cpd00013	-18.97|0.5	19.05|0.26
cpd00014	-605.77|1.89	-480.68|1.14
cpd00015	-515.07|5.37	-229.75|2.22
cpd00016	-272.0|1.66	-202.34|0.93
cpd00017	-66.63|3.68	140.90|23900.57
cpd00018	-257.85|3.03	-130.80|0.29
cpd00019	-76.11|3.14	115.75|0.96
cpd00020	-112.69|0.3	-82.56|0.18
cpd00021	0.0|0.5	-0.00|0.71
cpd00022	-785.83|3.53	-443.56|1.86
cpd00023	-164.13|0.38	-87.67|0.30
cpd00024	-188.9|0.38	-150.81|0.32
cpd00025	-32.05|0.5	-12.55|0.71
cpd00026	-762.55|3.12	nan
cpd00027	-218.28|1.54	-102.12|0.16
cpd00028	10000000.0|10000000.0	nan
cpd00029	-88.29|0.5	-58.88|0.24
cpd00030	10000000.0|10000000.0	nan
cpd00031	-516.3|2.74	-461.39|16170.40
cpd00032	-190.52|0.35	-170.86|0.26
cpd00033	-87.73|0.24	-41.92|0.33
cpd00034	10000000.0|10000000.0	nan
cpd00035	-87.92|0.29	-19.50|0.28
cpd00036	-162.96|0.28	-123.95|0.45
cpd00037	-756.9|3.24	-502.62|1.46
cpd00038	-724.3|2.75	-670.80|16170.40
cpd00039	-84.04|0.56	59.82|0.75
cpd00040	-111.04|0.27	-103.01|0.34
cpd00041	-165.75|0.34	-108.42|0.31
cpd00042	-220.95|1.54	-68.68|1.12
cpd00043	-762.55|3.12	nan
cpd00044	-580.35|3.11	-464.55|1.30
cpd00045	-470.35|3.04	-343.19|0.68
cpd00046	-345.38|1.92	-209.06|1.06
cpd00047	-83.9|0.5	-73.47|0.33
cpd00048	-177.97|0.5	-178.87|0.55
cpd00049	10000000.0|10000000.0	nan
cpd00050	-323.22|2.87	-141.84|2.04
cpd00051	-73.77|1.56	74.99|1.20
cpd00052	-761.38|1.93	-627.54|1.16
cpd00053	-121.69|0.61	-28.27|0.45
cpd00054	-124.15|0.31	-56.58|0.28
cpd00055	-31.2|0.5	-10.17|0.34
cpd00056	-368.32|2.57	-210.03|23900.57
cpd00057	10000000.0|10000000.0	nan
cpd00058	10000000.0|10000000.0	nan
cpd00059	-194.91|1.51	-135.51|0.63
cpd00060	-75.91|0.82	31.11|1.00
cpd00061	-316.08|0.59	-284.84|0.20
cpd00062	-813.77|1.9	-690.16|1.15
cpd00063	10000000.0|10000000.0	nan
cpd00064	-85.66|0.51	39.96|1.10
cpd00065	-25.0|1.58	90.08|0.53
cpd00066	-51.05|0.83	57.62|0.71
cpd00067	-9.53|0.0	0.00|0.00
cpd00068	-729.58|2.75	-619.19|0.92
cpd00069	-90.53|0.9	18.52|0.71
cpd00070	-863.66|3.54	-531.87|1.84
cpd00071	-33.4|0.5	5.40|0.30
cpd00072	-431.67|1.31	-313.55|0.30
cpd00073	-48.7|0.5	-9.51|0.71
cpd00074	-6.66|0.5	0.00|0.00
cpd00075	-8.9|0.5	-7.89|0.71
cpd00076	-377.65|2.77	-160.80|0.36
cpd00077	-49.38|0.88	-11.07|1.07
cpd00078	-862.04|3.56	-510.27|1.91
cpd00079	-430.78|1.51	-314.95|0.16
cpd00080	-328.68|0.38	-252.48|0.25
cpd00081	-126.15|0.5	-116.63|0.71
cpd00082	-219.17|1.36	-101.93|0.30
cpd00083	-673.08|3.7	nan
cpd00084	-83.39|0.7	-12.83|0.71
cpd00085	-86.11|0.29	-21.06|1.26
cpd00086	-784.21|3.55	-420.35|2.03
cpd00087	-113.97|3.02	12.08|16170.40
cpd00088	22.1|4.39	-37.27|49901.03
cpd00089	-430.78|1.51	nan
cpd00090	-521.58|2.75	-411.24|0.96
cpd00091	-397.77|1.88	-270.74|1.36
cpd00092	-61.07|1.54	-18.06|0.97
cpd00093	-48.99|0.95	10.14|0.69
cpd00094	-111.07|0.31	-63.85|0.84
cpd00095	-320.66|0.32	-261.59|0.14
cpd00096	-553.38|1.92	-418.46|1.06
cpd00097	-190.99|4.13	-214.21|2.77
cpd00098	12.19|1.97	103.59|23900.57
cpd00099	10000000.0|10000000.0	nan
cpd00100	-116.18|0.44	-40.09|0.46
cpd00101	-394.12|1.32	nan
cpd00102	-319.2|0.31	-260.28|0.16
cpd00103	-814.62|1.32	-713.37|0.41
cpd00104	-109.02|2.21	-28.46|28222.58
cpd00105	-181.62|1.35	-80.28|0.36
cpd00106	-143.7|0.72	-124.33|0.29
cpd00107	-84.87|0.45	43.25|0.55
cpd00108	-218.28|1.54	nan
cpd00109	10000000.0|10000000.0	nan
cpd00110	10000000.0|10000000.0	nan
cpd00111	-434.73|3.06	-148.91|2.24
cpd00112	-610.28|3.06	-257.87|16900.26
cpd00113	-439.84|0.58	-341.56|0.76
cpd00114	-313.58|2.74	-194.95|0.51
cpd00115	-634.01|2.99	-508.49|0.87
cpd00116	-41.9|0.5	-2.94|0.71
cpd00117	-87.92|0.29	-19.51|0.37
cpd00118	-6.02|0.53	124.95|0.73
cpd00119	-45.63|1.13	45.85|0.98
cpd00120	-782.59|3.56	nan
cpd00121	-219.96|1.5	-119.51|1.78
cpd00122	-212.63|1.63	-66.49|0.61
cpd00123	-111.26|0.39	-41.23|0.36
cpd00124	nan	nan
cpd00125	-93.65|3.09	32.91|16170.40
cpd00126	-308.3|2.74	-251.94|16170.40
cpd00127	-9.9|0.79	38.18|0.74
cpd00128	78.85|2.73	122.40|0.39
cpd00129	-62.54|0.94	15.47|1.34
cpd00130	-201.0|0.31	-162.69|0.24
cpd00131	10000000.0|10000000.0	nan
cpd00132	-123.31|0.59	-47.83|0.71
cpd00133	5.55|1.51	50.50|1.03
cpd00134	-763.15|3.91	-146.49|2.51
cpd00135	-81.77|0.71	nan
cpd00136	-92.53|0.89	-51.41|0.64
cpd00137	-280.44|0.5	-231.04|0.28
cpd00138	-218.28|1.54	-101.47|0.26
cpd00139	-122.98|0.19	-98.29|0.38
cpd00141	-85.13|0.18	-38.21|0.63
cpd00142	-113.53|0.25	-68.21|0.48
cpd00143	-75.82|0.83	-9.02|0.65
cpd00144	-805.77|3.09	-610.68|1.27
cpd00145	-148.92|0.32	-118.71|0.28
cpd00146	-310.26|0.54	-275.72|0.71
cpd00147	1.27|3.12	144.92|1.11
cpd00148	10000000.0|10000000.0	nan
