ID	GF	EQ
cpd00092	-61.07|1.54	-17.78|0.96
cpd00093	-48.99|0.95	10.63|0.67
cpd00094	-111.07|0.31	-63.01|0.23
cpd00095	-320.66|0.32	-261.59|0.14
cpd00096	-553.38|1.92	-418.13|1.04
cpd00097	-190.99|4.13	-211.57|2.64
cpd00098	12.19|1.97	110.23|16900.26
cpd00099	10000000.0|10000000.0	nan
cpd00100	-116.18|0.44	-38.73|0.27
cpd00101	-394.12|1.32	-294.93|0.25
cpd00102	-319.2|0.31	-260.29|0.16
cpd00103	-814.62|1.32	-713.37|0.41
cpd00104	-109.02|2.21	-26.49|28222.58
cpd00105	-181.62|1.35	-80.29|0.36
cpd00106	-143.7|0.72	-124.49|0.35
cpd00107	-84.87|0.45	43.25|0.55
cpd00108	-218.28|1.54	nan
cpd00109	10000000.0|10000000.0	nan
cpd00110	10000000.0|10000000.0	nan
cpd00111	-434.73|3.06	-148.50|2.21
cpd00112	-610.28|3.06	-258.92|16900.26
cpd00113	-439.84|0.58	-341.70|0.76
cpd00114	-313.58|2.74	-194.95|0.51
cpd00115	-634.01|2.99	-508.78|0.87
cpd00116	-41.9|0.5	-2.94|0.72
cpd00117	-87.92|0.29	-19.50|0.37
cpd00118	-6.02|0.53	125.39|0.69
cpd00119	-45.63|1.13	45.16|0.95
cpd00120	-782.59|3.56	nan
cpd00121	-219.96|1.5	-116.06|1.33
cpd00122	-212.63|1.63	-66.47|0.60
cpd00123	-111.26|0.39	-41.41|0.36
cpd00124	nan	nan
cpd00125	-93.65|3.09	27.90|16170.40
cpd00126	-308.3|2.74	-254.56|16170.40
cpd00127	-9.9|0.79	38.60|0.72
cpd00128	78.85|2.73	122.40|0.39
cpd00129	-62.54|0.94	17.01|1.27
cpd00130	-201.0|0.31	-162.69|0.24
cpd00131	10000000.0|10000000.0	nan
cpd00132	-123.31|0.59	-47.81|0.72
cpd00133	5.55|1.51	49.69|0.99
cpd00134	-763.15|3.91	-147.46|2.50
cpd00135	-81.77|0.71	5.61|0.96
cpd00136	-92.53|0.89	-51.03|0.62
cpd00137	-280.44|0.5	-230.62|0.48
cpd00138	-218.28|1.54	-101.69|0.27
cpd00139	-122.98|0.19	-93.43|0.22
cpd00141	-85.13|0.18	-34.93|0.20
cpd00142	-113.53|0.25	-63.01|0.23
cpd00143	-75.82|0.83	-9.48|0.63
cpd00144	-805.77|3.09	-610.55|1.25
cpd00145	-148.92|0.32	-121.52|0.22
cpd00146	-310.26|0.54	-275.73|0.71
cpd00147	1.27|3.12	144.73|1.12
cpd00148	10000000.0|10000000.0	nan
cpd00149	10000000.0|10000000.0	nan
cpd00150	10000000.0|10000000.0	nan
cpd00151	-61.48|1.5	3.16|0.91
cpd00152	5.87|1.57	168.69|1.21
cpd00153	-53.05|0.82	-2.53|0.57
cpd00154	-180.06|1.37	-84.61|0.35
cpd00155	-693.72|6.03	nan
cpd00156	-86.49|0.44	21.39|0.72
cpd00157	-108.16|0.36	-49.62|0.16
cpd00158	-376.76|3.02	-163.32|0.54
cpd00159	-123.17|0.25	-73.73|0.23
cpd00160	15.57|6.9	291.08|56445.16
cpd00161	-124.34|0.41	-38.87|0.55
cpd00162	-44.51|0.29	30.99|0.40
cpd00163	-724.33|2.97	-521.14|1.24
cpd00164	-261.5|1.5	-173.75|0.46
cpd00165	-38.9|0.8	nan
cpd00166	10000000.0|10000000.0	nan
cpd00167	10000000.0|10000000.0	nan
cpd00168	-132.01|1.09	-99.53|0.92
cpd00169	-371.9|0.29	-322.41|0.19
cpd00170	-216.02|1.28	-118.40|0.31
cpd00171	-393.5|0.57	-294.47|0.24
cpd00172	-81.06|2.93	193.77|2.21
cpd00173	10000000.0|10000000.0	nan
cpd00174	10000000.0|10000000.0	nan
cpd00175	-756.9|3.24	-502.56|1.34
cpd00176	-220.14|0.59	-132.97|0.81
cpd00177	-426.01|2.98	-300.68|0.74
cpd00178	-38.52|0.5	25.12|0.28
cpd00179	-376.76|3.02	-163.23|0.42
cpd00180	-161.0|0.5	-165.72|0.34
cpd00181	10000000.0|10000000.0	nan
cpd00182	-45.35|3.04	80.80|0.35
cpd00183	-79.18|0.92	-12.74|0.89
cpd00184	-145.84|1.77	1.48|1.06
cpd00185	-180.06|1.37	-80.90|0.38
cpd00186	-164.13|0.38	-87.54|0.60
