Source	Type	External ID	New ModelSEED ID	Old ModelSEED ID
KEGG	reactions	R00039	rxn00031	rxn14145
KEGG	reactions	R00124	rxn14003	rxn14111
KEGG	reactions	R00198	rxn15020	rxn00146
KEGG	reactions	R00223	rxn35580	rxn00165
KEGG	reactions	R00226	rxn15021	rxn00003
KEGG	reactions	R00295	rxn05802	rxn11417
KEGG	reactions	R00334	rxn05814	rxn14391
KEGG	reactions	R00340	rxn15040	rxn00245
KEGG	reactions	R00446	rxn00309	rxn14000
KEGG	reactions	R00471	rxn15044	rxn00328
KEGG	reactions	R00624	rxn05872	rxn14386
KEGG	reactions	R00631	rxn15053	rxn05853
KEGG	reactions	R00638	rxn15054	rxn05857
KEGG	reactions	R00787	rxn13808	rxn14028
KEGG	reactions	R00802	rxn15069	rxn00575
KEGG	reactions	R00867	rxn15081	rxn00547
KEGG	reactions	R00878	rxn15087	rxn00223
KEGG	reactions	R00896	rxn15090	rxn00647
KEGG	reactions	R00935	rxn15094	rxn00671
KEGG	reactions	R00947	rxn15095	rxn00221
KEGG	reactions	R01052	rxn00773	rxn14360
KEGG	reactions	R01070	rxn15116	rxn00786
KEGG	reactions	R01286	rxn15166	rxn00950
KEGG	reactions	R01290	rxn15167	rxn00953
KEGG	reactions	R01292	rxn15168	rxn00956
KEGG	reactions	R01315	rxn15169	rxn05965
KEGG	reactions	R01316	rxn15170	rxn05966
KEGG	reactions	R01331		rxn05973
KEGG	reactions	R01335	rxn05974	rxn11554
KEGG	reactions	R01355	rxn00987	rxn05988
KEGG	reactions	R01381	rxn01005	rxn01006
KEGG	reactions	R01476	rxn01076	rxn01077
KEGG	reactions	R01486	rxn01032	rxn06006
KEGG	reactions	R01487	rxn01293	rxn14095
KEGG	reactions	R01488	rxn06008	rxn14280
KEGG	reactions	R01494	rxn15216	rxn01085
KEGG	reactions	R01678	rxn15230	rxn00816
KEGG	reactions	R01739	rxn01277	rxn14160
KEGG	reactions	R01741	rxn01279	rxn14117
KEGG	reactions	R01742	rxn06034	rxn14158
KEGG	reactions	R01786	rxn15249	rxn00216
KEGG	reactions	R01788	rxn15250	rxn00220
KEGG	reactions	R01790	rxn15251	rxn05807
KEGG	reactions	R01791	rxn15251	rxn05807
KEGG	reactions	R01819	rxn15270	rxn00559
KEGG	reactions	R01830	rxn15271	rxn00785
KEGG	reactions	R01886	rxn01376	rxn14078
KEGG	reactions	R02073	rxn15298	rxn00551
KEGG	reactions	R02121	rxn14003	rxn14325
KEGG	reactions	R02189	rxn15314	rxn06118
KEGG	reactions	R02250	rxn15315	rxn05990
KEGG	reactions	R02254	rxn01612	rxn04970
KEGG	reactions	R02258	rxn15317	rxn01615
KEGG	reactions	R02277	rxn06147	rxn14369
KEGG	reactions	R02336	rxn06154	rxn14067
KEGG	reactions	R02337	rxn06155	rxn14204
KEGG	reactions	R02387	rxn01719	rxn14131
KEGG	reactions	R02425	rxn15334	rxn01748
KEGG	reactions	R02463	rxn01782	rxn14226
KEGG	reactions	R02658	rxn01921	rxn14220
KEGG	reactions	R02703	rxn15354	rxn00546
KEGG	reactions	R02731	rxn15361	rxn00550
KEGG	reactions	R02737	rxn15362	rxn00605
KEGG	reactions	R02740	rxn15364	rxn00558
KEGG	reactions	R02747	rxn15365	rxn01982
KEGG	reactions	R02751	rxn01988	rxn14283
KEGG	reactions	R02786	rxn02009	rxn02010
KEGG	reactions	R02811	rxn06250	rxn13959
KEGG	reactions	R02855	rxn15373	rxn01685
KEGG	reactions	R02934	rxn02101	rxn14373
KEGG	reactions	R02948	rxn15383	rxn02113
KEGG	reactions	R02996	rxn14003	rxn14154
KEGG	reactions	R03069	rxn02202	rxn02203
KEGG	reactions	R03094	rxn02220	rxn11976
KEGG	reactions	R03115	rxn15251	rxn05807
KEGG	reactions	R03148	rxn02255	rxn14306
KEGG	reactions	R03173	rxn15392	rxn06334
KEGG	reactions	R03260	rxn15395	rxn01816
KEGG	reactions	R03532	rxn06406	rxn14265
KEGG	reactions	R03533	rxn06407	rxn11983
KEGG	reactions	R03701	rxn02629	rxn14313
KEGG	reactions	R03707	rxn01686	rxn02632
KEGG	reactions	R03709	rxn02633	rxn14383
KEGG	reactions	R03710	rxn02634	rxn13978
KEGG	reactions	R03830	rxn06500	rxn14230
KEGG	reactions	R03852	rxn14003	rxn14266
KEGG	reactions	R03920	rxn15435	rxn00547
KEGG	reactions	R04081	rxn06581	rxn11591
KEGG	reactions	R04112	rxn02875	rxn14346
KEGG	reactions	R04168	rxn14003	rxn14046
KEGG	reactions	R04346	rxn03019	rxn14288
KEGG	reactions	R04359	rxn03029	rxn14076
KEGG	reactions	R04375	rxn06670	rxn11600
KEGG	reactions	R04421	rxn03058	rxn11606
KEGG	reactions	R04422	rxn14003	rxn14393
KEGG	reactions	R04439	rxn15466	rxn02186
KEGG	reactions	R04441	rxn15467	rxn00898
KEGG	reactions	R04471	rxn15470	rxn06387
KEGG	reactions	R04573	rxn03140	rxn03141
KEGG	reactions	R04611	rxn06744	rxn14121
KEGG	reactions	R04613	rxn06745	rxn14201
KEGG	reactions	R04615	rxn15481	rxn06736
KEGG	reactions	R04672	rxn15491	rxn02185
KEGG	reactions	R04779	rxn15493	rxn00545
KEGG	reactions	R04780	rxn15494	rxn00549
KEGG	reactions	R04823	rxn03294	rxn14092
KEGG	reactions	R04826	rxn03297	rxn14052
KEGG	reactions	R04827	rxn06795	rxn13992
