rxn_id	kegg_rxn_id	dG_mean_kcal_per_mol	dG_uncer_kcal_per_mol	operator
rxn00219	R00302	-21.51	0.29	>
rxn00220	R00303	-2.96	0.02	>
rxn00221	R00304	-4.49	0.02	>
rxn00222	R00306; R06104	-2.88	0.03	>
rxn00223	R00307	0.21	0.02	=
rxn00224	R00310	19.34	0.03	<
rxn00225	R00315	3.2	0.02	=
rxn00226	R00316	13.94	0.27	<
rxn00227	R00317	-9.6	0.02	>
rxn00228	R00318	-39.0	0.27	>
rxn00229	R00319	-119.52	0.04	>
rxn00230	R00320	5.78	0.02	=
rxn00231	R00321	-9.58	0.43	>
rxn00232	R00322	-22.27	0.27	>
rxn00233	R00324	-8.55	0.16	>
rxn00234	R00325	0.49	0.03	=
rxn00235	R00327	-7.51	0.31	>
rxn00236	R00328	-5.79	0.02	>
rxn00237	R00330	0.01	0.02	=
rxn00239	R00332	-0.61	0.02	=
rxn00241	R00335	-6.4	0.02	>
rxn00242	R00336	-4.6	0.27	>
rxn00243	R00337	-7.58	0.03	>
rxn00244	R00338	-12.04	0.04	>
rxn00245	R00339	-12.89	0.15	>
rxn00247	R00341	2.54	0.04	>
rxn00248	R00342	7.32	0.02	=
rxn00249	R00343	6.74	0.02	=
rxn00250	R00344	-1.19	0.02	=
rxn00251	R00345	8.94	0.04	=
rxn00252	R00346	5.12	0.04	=
rxn00253	R00347	-9.65	0.13	>
rxn00254	R00348	-4.85	0.18	>
rxn00255	R00350	2.84	0.19	=
rxn00256	R00351	8.33	0.02	<
rxn00257	R00352	1.93	0.02	>
rxn00258	R00353	-1.85	0.16	=
rxn00259	R00354	1.72	0.21	=
rxn00260	R00355	0.72	0.02	=
rxn00261		0.72	0.02	=
rxn00262	R00357	-22.27	0.04	>
rxn00263	R00359	-23.87	0.16	>
rxn00264	R00360	-24.88	0.04	>
rxn00265	R00362	1.09	0.02	=
rxn00266	R00363	-0.0	0.02	=
rxn00268	R00365	12.07	0.03	=
rxn00269	R00366	-20.13	0.04	>
rxn00270	R00367	12.15	0.75	<
rxn00271	R00368	3.48	0.37	=
rxn00272	R00369	-2.69	0.03	=
rxn00273		-2.69	0.03	>
rxn00274	R00371	5.92	0.22	=
rxn00275	R00372	2.85	0.03	=
rxn00276	R00373	2.13	0.03	=
rxn00277		2.13	0.03	=
rxn00278	R00396	9.38	0.02	=
rxn00279	R00397	-3.47	0.04	>
rxn00280	R00398	8.36	0.03	=
rxn00281		8.36	0.03	=
rxn00282	R00400	-0.56	0.03	=
rxn00283	R00401	0.0	0.03	=
rxn00284	R00402	16.74	0.03	<
rxn00285	R00405	0.1	0.02	=
rxn00286	R00406	-0.78	0.03	=
rxn00287	R00407	-6.5	0.02	>
rxn00288	R00408	12.32	0.04	<
rxn00289	R00409	4.96	0.25	=
rxn00290	R00410	2.59	0.02	=
rxn00291	R00411	-0.55	0.39	=
rxn00292	R00414	-5.43	0.04	>
rxn00293	R00416	-0.02	0.02	=
rxn00295	R00418	0.22	0.28	=
rxn00297	R00420	-0.57	0.26	=
rxn00298	R00421	1.82	0.17	=
rxn00299	R00424	-40.13	0.56	>
rxn00300	R00425	-4.37	0.37	>
rxn00301	R00426	-8.37	0.02	>
rxn00302	R00428	1.99	0.03	=
rxn00303	R00429	-4.98	0.27	=
rxn00304	R00430	6.56	0.02	=
rxn00305	R00431	2.53	0.04	>
rxn00306	R00432	0.09	0.02	=
rxn00307	R00434	1.63	0.03	>
rxn00308	R00445	0.34	0.04	>
rxn00309	R00446	10.97	0.03	=
rxn00310	R00447	-22.29	0.05	>
rxn00311	R00448	-56.2	0.38	>
rxn00312	R00449	-108.97	0.06	>
rxn00313	R00451	-6.27	0.06	>
rxn00314	R00452	11.7	0.29	=
rxn00315	R00453	1.59	0.03	=
rxn00316	R00454	-1.01	0.25	=
rxn00317	R00457	1.75	0.03	=
rxn00318	R00458	-6.24	0.25	>
rxn00319	R10277	-5.96	0.04	>
rxn00320	R00460	-0.19	0.03	=
rxn00321	R00461	-1.1	0.03	=
rxn00322	R00462	-6.75	0.06	>
rxn00323	R00463	0.33	0.27	=
rxn00324	R00465	10.16	0.03	<
rxn00325	R00466	-37.96	0.05	>
rxn00326	R00468	-1.77	0.03	<
rxn00327	R00469	-6.11	0.05	>
rxn00328	R00470	4.42	0.03	=
rxn00330	R00472	8.28	0.03	<
rxn00331	R00473	2.56	0.03	=
rxn00332	R00474	6.39	0.26	<
rxn00333	R00475	-21.46	0.04	>
rxn00334	R00477	-10.28	0.4	>
rxn00335	R00478	-2.02	0.13	=
rxn00336	R00479	2.01	0.03	=
rxn00337	R00480	4.33	0.03	=
rxn00338	R00481	-18.57	0.45	>
rxn00339	R00482	-2.47	0.04	>
rxn00340	R00483	-4.4	0.04	>
rxn00341	R00484	-7.73	0.05	>
rxn00342	R00485	-3.93	0.04	>
rxn00343	R00486	-0.39	0.32	>
rxn00344	R00487	3.37	0.28	=
rxn00345	R00488	-10.62	0.28	>
rxn00346	R00489	-5.37	0.05	>
rxn00347	R00490	3.43	0.02	=
rxn00348	R00491	1.61	0.16	=
rxn00349		1.61	0.16	=
rxn00350	R00494	5.28	0.45	=
rxn00351	R00497	-10.66	0.28	>
rxn00352	R00499	-6.82	0.36	>
rxn00353		-6.82	0.36	=
rxn00354	R00501	0.9	0.18	=
rxn00355	R00502	-2.42	0.22	>
rxn00356	R00503; R06067	-2.54	0.03	=
rxn00357	R00504	-0.74	0.36	=
rxn00358	R00505	4.25	0.31	=
rxn00359	R00507	-19.65	0.03	>
rxn00360	R00508	0.08	0.21	>
rxn00361	R00509	-6.48	0.21	=
rxn00362	R00510	5.15	0.51	=
rxn00363	R00511	-2.98	0.02	>
rxn00364	R00512	-0.61	0.02	=
rxn00365	R00513	-3.42	0.02	=
rxn00366	R00514	-5.78	0.02	>
rxn00367	R00515	-8.35	0.02	>
rxn00368	R00516	-3.19	0.02	=
rxn00369	R00517	-3.42	0.02	=
rxn00370	R00518	16.54	0.24	<
rxn00371	R00519	-2.88	0.04	>
rxn00372	R00521	-21.74	0.24	>
rxn00373	R00522	-4.25	0.04	>
rxn00374	R00524	-14.16	0.66	>
rxn00375	R00525	-8.29	0.42	>
rxn00376	R00526	-13.38	0.34	>
rxn00377	R00527	-19.52	0.31	>
rxn00379	R00529	11.34	0.03	<
rxn00380	R00530	13.92	0.03	<
rxn00381	R00531	-19.67	0.03	>
rxn00382	R00532	-37.03	0.55	>
rxn00383	R00533	-40.9	0.05	>
rxn00384	R00534	-29.06	0.54	>
rxn00385	R00535	-7.77	0.62	=
rxn00386	R00536	-9.44	0.76	=
rxn00387	R00537	-8.41	0.59	=
rxn00391	R00548	-5.17	0.39	>
rxn00392	R00549	-1.23	0.39	=
rxn00393	R00550	0.68	0.39	=
rxn00394	R00551	-6.86	0.06	>
rxn00395	R00552	-8.32	0.04	>
rxn00396	R00554	1.27	0.02	=
rxn00397		1.27	0.02	=
rxn00398		1.27	0.02	=
rxn00399		1.27	0.02	=
rxn00400	R00558	-68.41	0.62	>
rxn00401	R00559	-108.97	0.06	>
rxn00402	R00562	7.82	0.03	=
rxn00403	R00563	12.76	0.23	=
rxn00404	R00565	-0.07	0.03	=
rxn00405	R00566	-6.75	0.06	>
rxn00406	R00567	-0.19	0.03	=
rxn00407	R00568	-4.33	0.03	>
rxn00408	R00569	-6.39	0.02	>
rxn00409	R00570	-0.0	0.02	=
rxn00410	R00571	-2.06	0.03	>
rxn00411	R00572	6.58	0.02	=
rxn00412	R00573	-4.84	0.03	>
rxn00413	R00574	1.65	0.03	>
rxn00414	R00575	-1.62	0.03	>
rxn00415	R00576	0.13	0.02	=
rxn00416	R00578	-7.17	0.04	>
rxn00417	R00579	0.04	0.03	=
rxn00418		0.04	0.03	=
rxn00419	R00581	11.0	0.03	=
rxn00420	R00582	-2.45	0.02	>
rxn00421	R00584	-1.37	0.02	=
rxn00422	R00585	1.62	0.03	=
rxn00423	R00586	-1.61	0.03	=
rxn00424	R00588	-1.07	0.03	=
rxn00425	R00589	1.07	0.22	=
rxn00426	R00590	-7.27	0.55	>
rxn00427	R00602	-70.26	0.05	>
rxn00428	R00603	23.56	0.49	<
rxn00429	R00604	-9.76	0.03	>
rxn00430	R00605	8.48	0.04	=
rxn00431		8.48	0.04	=
rxn00432	R00608	-23.73	0.05	>
rxn00433	R00610	-21.52	0.27	>
rxn00434	R00612	-16.0	0.3	>
rxn00435	R00614	-18.24	0.04	>
rxn00436	R00615	-6.09	0.02	>
rxn00437	R00616	0.35	0.02	=
rxn00438	R00617	-0.31	0.02	=
rxn00439	R00618	-6.74	0.02	>
rxn00440	R00619	-3.28	0.11	=
rxn00441	R00621	-11.17	0.43	>
rxn00442		-11.17	0.43	>
rxn00444	R00644	-61.83	0.75	>
rxn00445	R00643	-24.65	0.54	>
rxn00447		-24.65	0.54	>
rxn00448	R00646	-127.43	0.53	>
rxn00449	R00647	-0.0	0.02	=
rxn00450	R00648	-25.67	0.17	>
rxn00451	R00649	9.12	0.6	=
rxn00452	R00650	-1.65	0.73	=
rxn00453	R00651	-23.2	0.4	>
rxn00454	R00652	-5.54	0.17	=
rxn00455	R00653	-3.49	0.37	>
rxn00456	R00654	5.92	0.36	>
rxn00457	R00655	-2.45	0.17	=
rxn00458	R00656	-9.75	0.21	>
rxn00459	R00658	-1.0	0.02	=
rxn00460	R00659	6.8	0.02	=
rxn00461	R00660	-6.14	0.37	>
rxn00462	R00661	3.64	0.03	=
rxn00463	R00662	-7.96	0.02	>
rxn00464	R00664	-14.57	1.04	>
rxn00465	R00665	-5.86	0.05	>
rxn00466	R00666	10.11	0.28	=
rxn00467	R00667	4.33	0.05	=
rxn00468	R00668	-13.84	0.43	>
rxn00469	R00669	-4.79	0.26	>
rxn00470	R00670	-6.75	0.06	>
rxn00471	R00671	-5.96	0.04	>
rxn00472	R00672	-0.19	0.03	=
rxn00473	R00673	5.04	0.02	>
rxn00474	R00674	-12.17	0.03	>
rxn00475	R00675	-1.87	0.05	>
rxn00476	R00676	-2.46	0.05	>
rxn00477	R00677	-34.08	0.06	>
rxn00478	R00678	-88.31	0.53	>
rxn00479	R00679	-116.48	0.32	>
rxn00480	R00681	-92.51	0.36	>
rxn00481	R00682	-3.61	0.32	>
rxn00482	R00683	2.83	0.78	=
rxn00483	R00684	-11.09	0.05	>
rxn00484	R00685	-11.64	0.26	>
rxn00485	R00686	-12.52	0.22	>
rxn00486	R00687	72.89	0.52	<
rxn00487	R00688	9.09	0.03	=
rxn00488	R00689	-23.12	0.05	>
rxn00489	R00690; R00698	-105.52	0.32	>
rxn00490	R00691	5.28	0.88	=
rxn00491	R00692	-0.29	0.03	=
rxn00492	R00693	-5.35	0.31	>
rxn00493	R00694	-0.13	0.03	=
