rxn_id	kegg_rxn_id	dG_mean_kcal_per_mol	dG_uncer_kcal_per_mol	operator
rxn02120	R02955	-4.32	0.25	=
rxn02121	R02956	0.98	0.21	=
rxn02122	R02957	-13.32	0.27	>
rxn02123	R02963	-4.94	0.45	=
rxn02124		-4.94	0.45	=
rxn02125	R02968	-91.04	1.04	>
rxn02126	R02969	5.06	0.29	=
rxn02127	R02970	-4.68	0.29	=
rxn02128	R02971	-4.95	0.11	=
rxn02129	R02972	-11.43	0.42	>
rxn02130	R02973	4.14	0.43	=
rxn02131	R02974	-4.35	0.63	>
rxn02132	R02975	3.43	0.03	=
rxn02133	R02976	-3.41	0.02	=
rxn02134	R02978	2.99	0.27	=
rxn02135	R02979	-3.54	0.53	=
rxn02136	R02982	-23.06	0.8	>
rxn02137	R02983	0.71	0.18	=
rxn02138	R02984	2.11	0.23	=
rxn02139	R02985	-0.03	0.51	=
rxn02140	R02986	-0.29	0.44	=
rxn02141	R02988	16.14	0.43	<
rxn02142	R02989	15.56	0.43	<
rxn02143	R02990	-5.58	0.21	=
rxn02144	R02991	-7.92	0.58	>
rxn02145	R02992	-23.72	0.45	>
rxn02146		-23.72	0.45	>
rxn02147	R02994	3.45	0.14	=
rxn02148	R02995	-90.07	0.41	>
rxn02149	R02997	-3.73	0.46	>
rxn02150	R02998	-5.74	0.44	=
rxn02151	R02999	-18.39	0.35	>
rxn02152		-18.39	0.35	>
rxn02153	R03001	-0.4	0.16	=
rxn02154	R03004	-8.04	0.03	>
rxn02155	R03005	-0.28	0.03	=
rxn02156	R03006	-78.07	0.41	>
rxn02157	R03008	-107.71	0.34	>
rxn02158	R03009	-111.72	0.82	>
rxn02159	R03012	3.66	0.21	=
rxn02160	R03013	-3.75	0.15	>
rxn02161	R03014	-2.48	0.02	=
rxn02162		-2.48	0.02	=
rxn02163	R03021	5.49	0.14	=
rxn02164	R03022	5.35	0.13	=
rxn02165	R03023	-79.38	0.44	>
rxn02166	R03024	3.57	0.46	=
rxn02167	R03026	0.72	0.03	=
rxn02168	R03027	1.54	0.03	=
rxn02169	R03028	0.37	0.34	>
rxn02170	R03030	4.86	0.27	=
rxn02171	R03031	10.25	0.42	<
rxn02172	R03032	-12.42	0.21	>
rxn02173	R03033	-8.9	0.16	>
rxn02174	R03034	-4.25	0.16	=
rxn02175	R03035	0.6	0.03	=
rxn02176	R03036	-8.93	0.03	>
rxn02177	R03037	-3.55	0.37	>
rxn02178	R03040	8.72	0.24	<
rxn02179	R03043	5.61	0.13	=
rxn02180	R03044	-5.02	0.13	=
rxn02181	R03045	-5.04	0.45	>
rxn02182	R03046	-0.52	0.47	>
rxn02183	R03048	2.8	0.29	=
rxn02184	R03049	4.8	0.03	=
rxn02185	R03050	-1.61	0.54	=
rxn02186	R03051	-1.9	0.18	=
rxn02187	R03052	1.27	0.05	=
rxn02188	R03053	0.4	0.03	=
rxn02189	R03054	-2.78	0.03	=
rxn02190	R03055	-2.95	0.29	=
rxn02191	R03056	-5.51	0.32	>
rxn02192	R03057	5.91	0.53	<
rxn02193	R03058	-74.09	0.91	>
rxn02194	R03059	-7.45	0.64	=
rxn02196	R03062	-2.58	0.29	>
rxn02197	R03063	0.35	0.04	=
rxn02198	R03064	4.66	0.29	<
rxn02199	R03065	-2.05	0.14	>
rxn02200	R03066	-22.63	0.45	>
rxn02201	R03067	-26.87	0.46	>
rxn02202	R03069	-0.96	0.03	=
rxn02204	R03070	-0.75	0.03	=
rxn02205		-0.75	0.03	=
rxn02206	R03073	-5.46	0.13	>
rxn02207	R03075	7.87	0.31	=
rxn02208		7.87	0.31	=
rxn02209	R03080	6.76	0.4	=
rxn02210	R03081	5.19	0.32	=
rxn02211	R03082	-4.22	0.36	=
rxn02212	R03083	-23.68	0.45	>
rxn02213	R03084	-1.27	0.03	=
rxn02214	R03088	-79.82	0.43	>
rxn02215	R03089	-95.3	0.44	>
rxn02216	R03090	-79.24	0.43	>
rxn02217	R03091	-14.11	0.46	>
rxn02218	R03092	-89.77	0.54	>
rxn02219	R03093	4.4	0.33	=
rxn02220	R03094	7.62	0.24	=
rxn02221	R03095	-6.11	0.04	>
rxn02222	R03096	-5.18	0.25	>
rxn02223	R03097	-81.33	0.57	>
rxn02224	R03098	13.82	0.32	<
rxn02225		13.82	0.32	=
rxn02226	R03102	-5.3	0.03	=
rxn02227	R03103	-5.89	0.03	=
rxn02228	R03104	4.37	0.09	=
rxn02229	R03105	74.37	0.55	<
rxn02230	R03106	-19.19	0.25	>
rxn02231	R03111	-23.08	0.8	>
rxn02232	R03112	-23.06	0.8	>
rxn02233		-23.06	0.8	>
rxn02234	R03114	7.78	0.55	=
rxn02235	R03119	5.61	0.13	=
rxn02238	R03123	-3.97	0.4	=
rxn02239	R03124	-79.24	0.43	>
rxn02240		-79.24	0.43	>
rxn02241	R03126	-91.83	1.06	>
rxn02242	R03127	-4.44	0.22	>
rxn02243	R03128	0.0	0.02	=
rxn02244	R03130	-33.47	0.93	>
rxn02245	R03131	-12.49	0.42	>
rxn02246	R03132	-39.84	0.56	>
rxn02247	R03133	-9.43	0.45	=
rxn02248	R03134	-29.3	0.62	>
rxn02249	R03138	3.77	0.94	=
rxn02250	R03139	-22.4	0.05	>
rxn02251	R03140	-125.58	0.11	>
rxn02255	R03148	-121.27	0.57	>
rxn02256		-121.27	0.57	>
rxn02257	R03153	-0.59	0.18	=
rxn02258	R03154	0.16	0.18	=
rxn02259	R03155	7.16	0.26	=
rxn02260	R03157	-2.87	0.15	>
rxn02261	R03158	9.26	0.15	<
rxn02262	R03161	-0.01	0.18	=
rxn02263	R03163	1.28	0.03	=
rxn02264	R03165	-26.95	0.5	>
rxn02265	R03166	-26.95	0.5	>
rxn02266	R03168	-1.74	0.42	=
rxn02269	R03171	-5.69	0.16	=
rxn02270		-5.69	0.16	=
rxn02271		-5.69	0.16	=
rxn02272	R03176	2.23	0.39	=
rxn02273	R03177	-5.01	0.03	=
rxn02274	R03178	-5.4	0.05	>
rxn02275	R03180	-2.48	0.03	>
rxn02276	R03181	-0.0	0.02	=
rxn02277	R03182	-19.66	0.78	>
rxn02278	R03183	2.61	0.17	=
rxn02279	R03184	-25.64	0.54	>
rxn02280	R03186	-42.83	1.04	>
rxn02281	R03187	-12.89	0.28	>
rxn02282	R03188	14.15	0.48	<
rxn02283	R03189	-5.41	0.61	=
rxn02284	R03191	19.73	0.33	<
rxn02285	R03192	19.14	0.33	<
rxn02286	R03193	-2.17	0.3	>
rxn02287	R03194	-13.29	2.46	=
rxn02288	R03197	-9.74	1.26	>
rxn02289	R03198	-4.36	0.27	=
rxn02290	R03199	-31.32	1.8	>
rxn02291	R03200	-32.27	1.84	>
rxn02292	R03202	-11.11	0.63	>
rxn02293	R03204	-107.76	0.64	>
rxn02294	R03207	-0.14	0.03	=
rxn02295	R03208	-73.28	0.77	>
rxn02296	R03209	-1.84	0.02	=
rxn02297	R03210	-1.31	0.31	>
rxn02298	R03211	-3.53	0.36	=
rxn02299	R03213	-8.89	0.79	=
rxn02300	R03214	-20.14	0.87	>
rxn02301	R03216	-28.75	0.54	>
rxn02302	R03217	-18.91	0.36	>
rxn02303	R03220	-104.19	0.95	>
rxn02304	R03222	-69.4	3.11	>
rxn02305	R03223	-1.23	0.03	=
rxn02306	R03225	-2.29	0.22	=
rxn02307	R03226	1.9	0.22	=
rxn02308	R03227	1.31	0.22	=
rxn02309	R03228	0.85	0.2	=
rxn02310	R03229	-22.48	0.82	>
rxn02311	R03230	-3.82	0.22	>
rxn02312	R03231	1.1	0.48	=
rxn02313	R03234	2.0	0.07	=
rxn02314	R03236	-3.77	0.02	=
rxn02315	R03237	-3.77	0.02	=
rxn02316	R03238	-3.55	0.02	=
rxn02317	R03239	-3.77	0.02	=
rxn02318	R03240	2.24	0.13	=
rxn02319	R03241	-2.48	0.02	=
rxn02320	R03243	-1.82	0.03	=
rxn02321	R03244	0.02	0.29	=
rxn02322	R03245	-0.65	0.02	=
rxn02323	R03246	-146.3	0.71	>
rxn02324	R03247	-3.62	0.36	>
rxn02325	R03248	-4.62	0.29	=
rxn02326	R03249	-9.58	0.05	>
rxn02327	R03250	6.86	0.06	<
rxn02328	R03251	33.65	1.04	<
rxn02329	R03253	-119.73	0.82	>
rxn02331	R03254	19.37	0.17	<
rxn02332	R03256; R06110	1.63	0.25	=
rxn02336	R03261	8.65	0.48	=
rxn02337	R03264	3.15	0.52	=
rxn02338	R03265	1.43	0.78	=
rxn02339	R03266	-2.93	0.19	=
rxn02340	R03267	-13.26	0.43	>
rxn02341	R03269	-11.6	0.42	>
rxn02343	R03271	-5.78	0.83	=
rxn02344	R03275	0.86	0.22	=
rxn02345	R03276	-0.82	0.03	=
rxn02346	R03277	-7.85	0.14	=
rxn02347	R03278	-0.18	0.16	=
rxn02348	R03279	1.55	0.36	=
rxn02349	R03281	-90.38	0.32	>
rxn02350	R03283	-5.01	0.03	=
rxn02351	R03284	2.51	0.14	<
rxn02352	R03286	-4.74	0.43	>
rxn02353	R03288	-1.66	0.43	=
rxn02354	R03289	-8.97	0.59	=
rxn02355	R03290	3.36	0.35	=
rxn02356	R03291	0.02	0.38	=
rxn02357	R03292	2.78	0.35	=
rxn02358	R03293	-0.56	0.38	=
rxn02359	R03295	-4.41	0.38	=
rxn02360	R03296	0.01	0.03	=
rxn02361	R03297	25.28	0.4	<
rxn02362	R03298	7.72	0.25	=
rxn02363	R03299	-83.74	0.36	>
rxn02364	R03300	-3.47	0.15	=
rxn02365	R03302	-4.06	0.15	=
rxn02366	R03303	-126.4	0.63	>
rxn02367	R03304	-23.11	0.8	>
rxn02368		-23.11	0.8	>
rxn02369	R03307	-9.21	0.66	>
rxn02370	R03308	-50.07	0.86	>
rxn02373	R03313	3.58	0.21	<
rxn02374	R03314	-6.54	0.05	>
rxn02375	R03315	-2.6	0.03	=
rxn02377	R03317	2.51	0.27	=
rxn02378	R03318	-0.4	0.02	=
rxn02379	R03319	1.82	0.25	=
rxn02380	R03321	2.96	0.33	=
rxn02381	R03322	26.68	0.78	<
rxn02382	R03323	-5.6	0.29	=
rxn02384	R03325	1.41	0.3	=
rxn02385	R03327	4.68	0.66	=
rxn02388	R03330	-2.59	0.35	>
rxn02389	R03331	-13.43	0.27	>
rxn02390	R03333	-14.24	0.24	>
rxn02392	R03336	7.79	0.03	=
rxn02393	R03337	9.79	0.21	<
rxn02394	R03338	7.2	0.03	=
rxn02395	R03339	9.21	0.21	=
rxn02396	R03341	-5.36	0.25	>
rxn02397	R03342	-0.0	0.02	=
rxn02398	R03344	-57.73	0.77	>
rxn02399	R03345	-32.66	0.7	>
rxn02400	R03346	-2.96	0.02	>
rxn02401	R03347	3.43	0.02	=
rxn02402	R03348	12.63	0.38	<
rxn02403	R03349	4.42	0.03	=
rxn02404	R03350	-3.88	0.27	>
rxn02405	R03351	18.42	0.43	<
rxn02406	R03352	-2.03	0.26	>
rxn02407	R03353	-0.12	0.6	=
rxn02410	R03357	4.32	0.15	=
rxn02411	R03358	-9.24	0.4	>
rxn02412	R03359	-6.58	0.45	>
rxn02413	R03365	-134.89	0.78	>
rxn02414	R03366	-23.11	0.8	>
rxn02415	R03367	-12.18	0.37	>
rxn02416	R03369	-86.18	0.26	>
rxn02417	R03371	8.11	1.06	=
rxn02418	R03372	7.33	1.07	=
rxn02419	R03373	7.79	0.03	=
rxn02420	R03374	-2.14	0.45	>
rxn02421	R03375	-0.24	0.03	=
rxn02422	R03378	-4.5	0.17	=
rxn02424	R03381	-2.37	0.21	=
rxn02425	R03383	-9.68	0.35	>
rxn02426	R03384	-2.22	0.18	=
rxn02427	R03385	-100.17	0.63	>
rxn02428	R03386	-99.59	0.63	>
rxn02429	R03387	-4.03	0.02	=
rxn02430	R03388	-1.2	0.48	=
rxn02431	R03390	18.42	0.46	<
rxn02432	R03391	18.34	0.29	<
rxn02433	R03392	17.75	0.29	<
rxn02434	R03393	-7.74	0.3	>
rxn02435	R03394	2.95	0.26	=
rxn02436	R03395	-3.63	0.11	=
rxn02437	R03396	2.03	0.25	=
rxn02438	R03397	6.56	0.24	=
rxn02439	R03398	1.44	0.25	=
rxn02440	R03399	5.98	0.24	=
rxn02441	R03401	1.79	0.35	=
rxn02442	R03402	-21.02	0.79	>
rxn02444	R03404	-28.58	0.57	>
rxn02445	R03405	8.93	0.57	=
rxn02446	R03406	0.85	0.03	=
rxn02447	R03407	0.27	0.03	=
rxn02448	R03408	-95.0	0.14	>
rxn02449	R03409	-5.16	0.02	>
rxn02451	R03418; R06042	-0.83	0.03	=
rxn02452	R03421	5.04	0.46	=
rxn02455	R03427	-5.9	0.24	>
rxn02456	R03428	-11.9	0.25	>
rxn02457	R03429	-6.97	0.19	=
rxn02458	R03430	5.5	0.25	=
rxn02459	R03431	7.78	0.03	=
rxn02460	R03433	-9.89	0.22	>
rxn02461	R03434	3.5	0.22	=
rxn02463	R03439	-95.8	0.84	>
rxn02464	R03440	-95.21	0.84	>
rxn02465	R03443	3.03	0.21	<
rxn02466	R03444	0.31	0.27	=
rxn02467	R03445	-18.51	0.62	>
rxn02468	R03448	-0.64	0.29	=
rxn02469	R03451	-106.54	0.15	>
rxn02470	R03452	-86.86	0.36	>
rxn02471		-86.86	0.36	>
rxn02472	R03456	-23.09	0.8	>
rxn02473	R03457	-20.33	0.26	>
rxn02474	R03458	17.5	0.52	<
rxn02475	R03459	-2.55	0.56	>
rxn02476	R03460	-6.02	0.38	>
rxn02477	R03461	-22.63	0.71	>
rxn02478	R03462	-77.28	0.92	>
rxn02479	R03463	8.42	0.78	=
rxn02480	R03464	16.76	0.58	<
rxn02481	R03465	18.04	0.47	<
rxn02482	R03466	-104.03	0.77	>
rxn02483	R03470	-8.43	0.59	>
rxn02484	R03471	-6.97	0.31	=
rxn02485	R03472	-35.02	1.1	>
rxn02488	R03477	-4.89	0.35	=
rxn02489	R03478	-13.07	0.25	>
rxn02490	R03479	-7.77	0.18	=
rxn02496	R03493	-13.89	0.64	>
rxn02497	R03494	-4.87	0.48	>
rxn02498	R03495	10.02	1.33	=
rxn02499	R03496	-4.18	0.18	>
rxn02500	R03497	10.74	0.39	<
rxn02501	R03498	8.32	0.33	=
rxn02502	R03502	-3.91	0.34	=
rxn02503	R03503	-4.08	0.11	=
rxn02504	R03504	3.4	0.36	=
rxn02505	R03506	2.49	1.02	=
rxn02506	R03507	4.71	0.08	=
rxn02507	R03508	-4.49	0.36	>
rxn02508	R03509	-12.29	0.43	>
rxn02509	R03511	19.34	1.13	<
rxn02510	R03512	10.79	0.72	<
rxn02511	R03517	-30.43	0.54	>
rxn02512	R03518	-28.78	0.54	>
rxn02513	R03520	-5.28	0.82	=
rxn02514	R03521	4.49	0.57	=
rxn02515	R03523	9.63	0.5	=
rxn02516	R02846; R03524	-24.28	0.44	>
rxn02517	R03530	-0.0	0.02	=
rxn02518	R03531	-8.33	0.02	>
rxn02519	R03534	2.31	0.18	=
rxn02520	R03535	-28.06	1.21	>
rxn02521	R03537	-19.88	0.37	>
rxn02522	R03538	-17.35	0.33	>
rxn02523	R03540	5.03	0.49	<
rxn02525	R03542	13.92	0.5	<
rxn02526	R03543	-97.92	0.69	>
rxn02527	R03544	-2.88	0.03	=
rxn02528	R03545	-2.3	0.03	=
rxn02529	R03546	-8.77	0.04	=
rxn02530	R03547	-6.69	0.23	=
rxn02531	R03548	-13.19	0.43	>
rxn02532	R03549	-94.47	0.97	>
rxn02533	R03550	-134.77	0.85	>
rxn02534	R03551	-37.47	0.38	>
rxn02535	R03554	-5.87	0.81	=
rxn02536	R03555	-98.83	0.48	>
rxn02537	R03556	-94.71	0.09	>
rxn02538	R03558	-13.27	0.43	>
rxn02539	R03559	-96.74	0.68	>
rxn02540	R03560	-90.69	0.22	>
rxn02541	R03562	-91.99	0.18	>
rxn02542	R03563	-2.73	0.63	=
rxn02543	R03564	3.37	0.73	<
rxn02544	R03565	-0.46	0.55	=
rxn02545	R03566	-84.3	0.37	>
rxn02546	R03567	1.87	0.25	>
rxn02547		1.87	0.25	=
rxn02548	R03571	-22.47	0.82	>
rxn02549	R03572	6.25	0.71	=
rxn02550	R03573	-13.04	0.43	>
rxn02551	R03574	-12.75	0.47	>
rxn02552	R03576	-3.43	0.02	=
rxn02553		-3.43	0.02	=
rxn02554	R07440	-81.8	0.4	>
rxn02555	R03579	7.17	0.37	=
rxn02556	R03580	49.59	0.61	<
rxn02557	R03581	3.15	0.52	=
rxn02558	R03582	-0.11	0.44	=
rxn02559	R03583	-0.69	0.44	=
rxn02560	R03586	-3.6	0.26	=
rxn02561	R03587	-23.11	0.8	>
rxn02562	R03588	-4.92	0.65	=
rxn02563	R03589	-4.04	0.64	=
rxn02564	R03590	-114.31	1.0	>
rxn02565	R03591	6.75	0.47	=
rxn02566	R03592	6.17	0.47	=
rxn02567	R03593	1.19	0.35	>
rxn02568	R03594	-13.22	0.43	>
rxn02569	R03595	42.64	0.72	<
rxn02570		42.64	0.72	<
rxn02571	R03601	-11.87	0.44	>
rxn02574	R03604	8.25	0.42	=
rxn02575	R03605	-15.06	0.42	>
rxn02576	R03607	-2.58	0.11	=
rxn02577	R03608	-85.59	0.26	>
rxn02578	R03610	-93.43	0.37	>
rxn02579	R03612	-7.32	0.37	>
rxn02580	R03614	-3.79	0.57	=
rxn02581	R03616	-1.63	0.41	=
rxn02584	R03620	3.09	0.3	=
rxn02585	R03621	4.72	0.03	=
rxn02586	R03622	-23.48	0.71	>
rxn02587	R03623	-20.31	0.78	>
rxn02588		-20.31	0.78	>
rxn02589	R03625	-5.41	0.25	=
rxn02590	R03626	-22.9	0.53	>
rxn02591	R03627	-2.51	0.03	=
rxn02592	R03628	-74.04	0.69	>
rxn02593	R03630	-89.24	0.7	>
rxn02594	R03631	-6.47	0.75	>
rxn02595	R03633	-22.47	0.82	>
rxn02596	R03634; R06152	-1.34	0.03	=
rxn02597	R03635; R06101	-4.57	0.03	>
rxn02598	R03636	-3.97	0.4	=
rxn02599	R03637	-80.54	0.39	>
rxn02600	R03638	-79.95	0.39	>
rxn02601	R03639	-79.89	0.4	>
rxn02602	R03640	-108.22	0.1	>
rxn02603	R03641	-4.52	0.32	=
rxn02604	R03642	-3.98	0.16	=
rxn02606	R03667	5.96	0.78	=
rxn02607	R03668	-2.96	0.25	>
rxn02608	R03671	-8.9	0.16	>
rxn02609	R03672	5.66	0.53	=
rxn02610	R03673	15.62	0.81	<
rxn02611	R03674	28.75	0.77	<
rxn02612	R03675	-7.63	0.83	>
rxn02613		-7.63	0.83	>
rxn02614	R03680	-8.35	0.3	=
rxn02615	R03685; R06161	-2.8	0.39	=
rxn02616	R03686	-8.93	0.28	=
rxn02617	R03688	-10.67	0.23	>
rxn02618	R03689	8.28	0.63	=
rxn02619		8.28	0.63	=
rxn02620	R03691	0.69	0.02	=
rxn02621	R03692	-3.47	0.41	=
rxn02622	R03693	0.86	0.03	=
rxn02623	R03694	3.76	0.22	=
rxn02624	R03695	1.63	0.46	<
rxn02625	R03696	1.22	0.03	>
rxn02626		1.22	0.03	=
rxn02627	R03698	-94.26	0.84	>
rxn02628	R03700	9.7	0.54	<
rxn02629	R03701; R08236	12.25	1.08	<
rxn02630	R03702	-64.64	0.84	>
rxn02631	R03703	6.43	0.69	=
rxn02633	R03709	11.99	0.36	<
rxn02634	R03710	-10.43	0.41	>
rxn02635	R03712	-83.26	0.39	>
rxn02636	R03713	-4.96	1.37	=
rxn02637	R03716	1.86	0.14	=
rxn02638	R03718	-13.25	1.14	>
rxn02639	R03719	-1.56	0.35	=
rxn02640	R03720	-86.81	1.17	>
rxn02641	R03721	-23.12	0.8	>
rxn02642	R03722	-79.72	0.93	>
rxn02643	R03723	-12.17	0.69	>
rxn02644		-12.17	0.69	=
rxn02645	R03726	-20.15	0.97	>
rxn02646	R03727	-0.15	0.4	=
rxn02647	R03728	-114.89	0.04	>
rxn02648		-114.89	0.04	>
rxn02649	R03731	-23.1	0.8	>
rxn02650	R03732	8.08	0.03	=
rxn02651	R03733	4.41	0.03	=
rxn02652	R03735	11.73	0.31	<
rxn02653	R03736	-16.47	0.94	>
rxn02654	R03737	-112.35	0.74	>
rxn02655	R03738	31.59	0.59	<
rxn02656	R03739	-65.1	0.78	>
rxn02659	R03745	9.19	0.68	=
rxn02660	R03746	-23.08	0.8	>
rxn02661	R03747	-2.96	0.19	>
rxn02662		-2.96	0.19	=
rxn02663	R03751	-2.66	0.22	=
rxn02664		-2.66	0.22	=
rxn02665	R03753	2.87	0.14	=
rxn02666	R03758	6.49	0.27	<
rxn02667	R03759	4.05	0.13	=
rxn02668	R03761	-3.1	0.33	=
rxn02669	R03762	-14.79	0.32	>
rxn02670	R03763	2.26	0.36	=
rxn02671	R03764	1.68	0.36	=
rxn02672		1.68	0.36	=
rxn02673	R03766	-4.86	0.29	=
rxn02674	R03770	-2.39	0.02	=
rxn02675	R03772	-5.91	0.23	>
rxn02676	R03774	-9.1	0.29	>
rxn02677	R03775	-0.22	1.17	=
rxn02678	R03776	9.37	0.19	<
rxn02679	R03777	5.53	0.19	=
rxn02680	R03778	2.55	0.19	=
rxn02681	R03779	0.45	0.03	=
rxn02682	R03780	-5.86	0.49	=
rxn02683	R03781	-11.25	0.52	>
rxn02684	R03782	-1.62	0.48	=
rxn02685	R03785	0.69	0.02	=
rxn02686	R03787	18.97	1.27	<
rxn02687	R03790	-3.28	0.46	=
rxn02688	R03791	0.0	0.35	=
rxn02689	R03792	-3.28	0.46	=
rxn02690	R03794	-101.45	0.77	>
rxn02691	R03796	2.6	0.76	=
rxn02693	R03799	-52.73	0.85	>
rxn02694	R03800	-4.73	0.21	>
rxn02695	R03801; R06106	1.63	0.24	=
rxn02696	R03802; R06107	-3.85	0.03	>
rxn02697	R03806	-118.6	0.37	>
rxn02698	R03807	-231.29	0.66	>
rxn02699	R03809	-109.96	0.16	>
rxn02700	R03810	-8.26	0.43	>
rxn02701		-8.26	0.43	=
rxn02702	R03812	-108.46	0.71	>
rxn02703	R03819	-3.95	0.13	=
rxn02704	R03820	-2.99	0.52	>
rxn02705	R03821	4.39	0.03	=
rxn02706	R03822	-1.68	0.22	=
rxn02707		-1.68	0.22	=
rxn02708	R03826	1.89	0.24	=
rxn02709	R03827	-0.69	0.44	=
rxn02710	R03831	-43.87	0.65	>
rxn02711	R03832	-23.12	0.8	>
rxn02712	R03834	67.18	0.51	<
rxn02713	R03835	-21.24	0.79	>
rxn02715	R03842	-89.62	0.76	>
rxn02716	R03845	-2.21	1.01	=
rxn02717	R03847	7.13	1.18	=
rxn02718	R03848	6.55	1.18	=
rxn02719	R03856	9.37	0.19	<
rxn02720	R03857	5.53	0.19	=
rxn02721	R03859	11.65	0.28	<
rxn02722	R03860	-1.83	1.02	=
rxn02724	R03863	5.51	1.55	=
rxn02725	R03864	4.93	1.55	=
rxn02726	R03866	-95.79	0.04	>
rxn02727	R09875	3.32	0.38	=
rxn02728	R03868	-0.0	0.02	=
rxn02729	R03869	-1.01	0.39	=
rxn02730		-1.01	0.39	=
rxn02733	R03877	102.47	0.03	<
rxn02734	R03878	2.27	0.28	=
rxn02735	R03879	12.16	0.41	<
rxn02736		12.16	0.41	<
rxn02737	R03881	2.76	0.16	=
rxn02738	R03882	3.82	0.61	=
rxn02739	R03883	3.24	0.61	=
rxn02740	R03884	0.26	0.26	=
rxn02741	R03885	0.9	0.75	=
rxn02742	R03886	2.88	0.03	=
rxn02743	R03887	-7.28	0.68	>
rxn02744	R03889	1.43	0.29	=
rxn02745	R03891	-137.35	0.64	>
rxn02746	R03892	-0.0	0.02	=
rxn02747	R03893	-10.61	0.55	>
rxn02748	R03894	-2.72	0.31	>
rxn02749	R03896	2.14	0.03	=
rxn02750	R03897	4.85	0.2	<
rxn02751	R03898	3.98	0.19	=
rxn02752	R03899	-15.15	0.55	>
rxn02753	R03900	5.66	0.52	=
rxn02754	R03903	-4.79	0.31	>
rxn02755	R03906	5.5	0.33	=
rxn02756	R03908	0.92	0.03	=
rxn02758	R03918	2.77	0.03	=
rxn02760	R03921	4.84	0.34	=
rxn02761	R03925	0.0	0.02	=
rxn02762	R03929	-19.88	0.37	>
rxn02763	R03930	2.04	0.51	=
rxn02764	R03932	2.76	0.43	=
rxn02765	R03934	-21.62	0.82	>
rxn02766	R03935	4.04	0.49	=
rxn02767	R03936	-9.39	0.37	>
rxn02768	R03937	3.07	0.34	=
rxn02769	R03939	0.69	0.02	=
rxn02770	R03942	-3.33	0.25	=
rxn02771	R03943	3.37	0.79	=
rxn02772	R03945	8.14	0.68	=
rxn02773	R03946	-7.77	0.62	=
rxn02774	R03947	35.35	1.99	<
rxn02775	R03948	-2.15	0.76	=
rxn02776	R03950	31.28	2.39	<
rxn02778	R03952	0.0	0.03	=
rxn02779	R03953	-80.26	0.78	>
rxn02780	R03954	15.18	0.63	<
rxn02781	R03955	-23.1	0.8	>
rxn02782	R03959	2.22	0.03	=
rxn02783	R03960	7.17	0.14	=
rxn02784	R03962	29.37	1.01	<
rxn02785	R03963	4.53	0.44	=
rxn02786	R03964	-84.38	0.27	>
rxn02787	R03965	-0.36	0.4	=
rxn02788	R03966	0.0	0.02	=
rxn02789	R03968	-2.71	0.46	=
rxn02790	R03969	1.8	0.14	>
rxn02791	R03970	1.11	0.37	=
rxn02792		1.11	0.37	=
rxn02793		1.11	0.37	=
rxn02794	R08743	0.97	0.02	=
rxn02795	R03975	-0.17	0.29	=
rxn02796	R03977	1.73	0.33	=
rxn02797	R03978	-12.11	0.44	>
rxn02798	R03980	-11.88	0.62	>
rxn02799		-11.88	0.62	=
rxn02800	R03984	14.64	0.37	=
rxn02801	R03987	9.49	0.57	=
rxn02802	R03989	9.37	0.19	<
rxn02803	R03990	5.53	0.19	=
rxn02804	R03991	2.55	0.19	=
rxn02805	R03994	-7.67	0.92	>
rxn02806	R03995	189.92	3.15	<
rxn02807	R03997	-78.22	0.41	>
rxn02808	R03998	-126.27	0.7	>
rxn02809	R03999	-125.1	0.7	>
rxn02810	R04000	-2.64	0.22	=
rxn02811	R04001	-4.34	0.46	=
rxn02812	R04002	2.03	0.41	=
rxn02813		2.03	0.41	=
rxn02814	R07437	-2.77	0.03	=
rxn02815	R04005	-12.62	0.47	>
rxn02816	R04006	5.81	0.47	=
rxn02818	R04010	-9.76	0.67	>
rxn02819	R04013	1.38	0.76	=
rxn02823	R04020	-9.58	0.38	>
rxn02826	R04025	-21.2	0.04	>
rxn02827	R04026	0.24	0.57	=
rxn02828	R04027	-41.43	0.58	>
rxn02829	R04028	-4.09	0.33	=
rxn02830	R04029	0.61	0.03	=
rxn02831	R04030	-1.84	0.02	=
rxn02832	R04031	6.89	0.75	<
rxn02833	R04033	6.83	0.77	=
rxn02834	R04035	-7.29	0.02	>
rxn02835	R04037	-13.97	0.93	>
rxn02836	R04038	-23.06	0.37	>
rxn02837	R04040	7.27	0.89	<
rxn02838		7.27	0.89	=
rxn02839	R04046	52.1	0.42	<
rxn02840	R04047	51.52	0.42	<
rxn02841	R04048	-33.48	0.64	>
rxn02842	R04049	6.85	0.03	=
rxn02843	R04050	-9.56	0.38	>
rxn02844	R04051	18.68	0.38	<
rxn02845	R04053	9.56	0.29	=
rxn02846		9.56	0.29	<
rxn02847	R04056	-5.38	0.25	>
rxn02848	R04057	0.11	0.02	=
rxn02850	R04059	29.3	0.91	<
rxn02851	R04060	-110.41	0.95	>
rxn02852	R04061	-137.35	0.64	>
rxn02853	R04065	-2.92	0.17	=
rxn02854	R04066	-101.71	0.38	>
rxn02855	R04068	-19.22	0.45	>
rxn02856		-19.22	0.45	>
rxn02857	R04077	-23.13	0.8	>
rxn02858	R04084	-20.21	0.54	>
rxn02859		-20.21	0.54	>
rxn02860	R04088	30.25	0.74	<
rxn02861	R04089	-117.74	0.58	>
