ModelSEED ID	Layer	External IDs
cpd00261	h:3,5-8,10H,1-2H2	L-XYLULOSE
cpd00261	h:3-4,6-9H,1-2H2	C00312
cpd00261	t:3-,4+,5?	C00312
cpd00261	t:3-,5+	L-XYLULOSE
cpd00272	t:4-,5+,7+,8+,9+,10+,11-,14+,15+	C00325
cpd00272	t:4-,5+,7+,8+,9+,10+,11-,14+,15-	CPD-14072
cpd00280	c:7-1-2(8)3(9)4(10)5(11)6(12)13	D-GALACTURONATE
cpd00280	c:7-1-2(8)4(5(10)11)13-6(12)3(1)9	C00333
cpd00280	h:1-4,6-9,12H,(H,10,11)	C00333
cpd00280	h:1-5,8-11H,(H,12,13)	D-GALACTURONATE
cpd00280	t:1-,2+,3+,4-,6?	C00333
cpd00280	t:2-,3+,4+,5-	D-GALACTURONATE
cpd00315	t:4-,5-,7-,8-,9+,10-,11-,14-,15-	GDP-D-GLUCOSE
cpd00315	t:4-,5-,7-,8-,9+,10-,11-,14?,15-	C00394
cpd00335	t:2-,5+	C05422
cpd00335	t:2-,5?	L-DEHYDRO-ASCORBATE
cpd00336	t:15-,16+,17+,18-,19+	C00427
cpd00336	t:15?,16-,17-,18+,19-	PROSTAGLANDIN-H2
cpd00345	t:12-,13-	C00440
cpd00345	t:12?,13-	5-METHYL-THF
cpd00347	t:12-,13+	5-10-METHENYL-THF
cpd00347	t:12?,13-	C00445
cpd00368	c:6-1-3(8)5(10)4(9)2-7	LYXOSE
cpd00368	c:6-2-1-10-5(9)4(8)3(2)7	C00476
cpd00368	h:1,3-5,7-10H,2H2	LYXOSE
cpd00368	h:2-9H,1H2	C00476
cpd00368	t:2-,3+,4+,5?	C00476
cpd00368	t:3-,4-,5-	LYXOSE
cpd00391	t:2-,3+,4+	CPD0-1198
cpd00391	t:2-,3+,4-	C00502
cpd00397	c:6-1-3(8)5(10)4(9)2-7	L-RIBULOSE
cpd00397	c:6-2-5(9)4(8)3(7)1-10-5	C00508
cpd00397	h:3,5-8,10H,1-2H2	L-RIBULOSE
cpd00397	h:3-4,6-9H,1-2H2	C00508
cpd00397	t:3-,4-,5?	C00508
cpd00397	t:3-,5-	L-RIBULOSE
cpd00402	t:6-,7-,9-,10-,11-	CPD-606
cpd00402	t:6?,7-,9-,10-,11-	C00513
cpd00437	c:7-1-2(8)3(9)4(10)5(11)6(12)13	D-TAGATURONATE
cpd00437	c:7-1-6(12)4(9)2(8)3(13-6)5(10)11	C00558
cpd00437	h:2-4,7-9,12H,1H2,(H,10,11)	C00558
cpd00437	h:3-5,7,9-11H,1H2,(H,12,13)	D-TAGATURONATE
cpd00437	t:2-,3-,4-,6?	C00558
cpd00437	t:3-,4-,5+	D-TAGATURONATE
cpd00440	t:12-,16+,17-,18-,19+,20+,23-	CPD-9084
cpd00440	t:12-,16-,17-,18-,19+,20+,23-	C00563
cpd00454	b:7-4+,13-12+	5Z13E-15S-1115-DIHYDROXY-9-OXOPROS
cpd00454	b:7-4-,13-12+	C00584
cpd00455	t:3-,4-,5+,6+	2-DEOXY-D-GLUCOSE
cpd00455	t:3-,4-,5?,6+	C00586
cpd00472	t:4-,6-,7+,8-,9-,10-,11+,12-,14-	UDP-D-GALACTURONATE
cpd00472	t:4-,6-,7+,8-,9-,10-,11+,12?,14-	C00617
cpd00491	t:3-,4+,5+,6+	D-SORBITOL-6-P
cpd00491	t:3-,4-,5-,6-	C00644
cpd00518	b:2-1+,5-3+	HYDROXYMUCONATE-SALD
cpd00518	b:2-1-,5-3+	C00682
cpd00527	b:7-4+,13-12+	5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O
cpd00527	b:7-4-,13-12+	C00696
cpd00527	t:15-,16+,17+,18-	C00696
cpd00527	t:15-,16-,17-,18+	5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O
cpd00537	t:4-,5-,6-,7-,8-,9+,10+,11-,12-,13-,14-,15-,16+,17+,18-	CPD-13556
cpd00537	t:4-,5-,6-,7-,8-,9+,10+,11-,12-,13-,14-,15-,16?,17+,18-	C00713
cpd00559	b:27-17+,28-18+,29-23+,30-24+	C00751
cpd00559	b:27-17-,28-18+,29-23+,30-24-	SQUALENE
cpd00569	t:19-,20+,21+,22-,23+,24-,25-,26-,27-,28-,29-,30-,31+,32-,33+,34-,35-,36-,37+,38+,39-,40-,41-,42-,43-,44+,45-,46+,47+,48-,49+,50-,51+,52+,53+,54-,55+,56-	CPD0-1629
cpd00569	t:19?,20-,21-,22+,23-,24+,25+,26+,27+,28+,29+,30+,31-,32+,33-,34+,35-,36+,37-,38-,39+,40+,41+,42+,43+,44-,45+,46-,47-,48+,49-,50+,51-,52-,53-,54+,55-,56+	C00765
cpd00574	c:1-6(10,2-3-7)4-5(8)9	MEVALDATE
cpd00574	c:1-6(9)2-4(7)10-5(8)3-6	C00772
cpd00574	h:3,10H,2,4H2,1H3,(H,8,9)	MEVALDATE
cpd00574	h:4,7,9H,2-3H2,1H3	C00772
cpd00575	t:22-,23-,24-,25-,26-,30-,31-	CPD-11291
cpd00575	t:22-,23?,24?,25?,26?,30-,31-	C00773
cpd00589	c:7-1-3(9)5(11)6(12)4(10)2-8	TAGATOSE
cpd00589	c:7-2-6(11)5(10)4(9)3(8)1-12-6	C00795
cpd00589	h:3,5-9,11-12H,1-2H2	TAGATOSE
cpd00589	h:3-5,7-11H,1-2H2	C00795
cpd00589	t:3-,4+,5+,6?	C00795
cpd00589	t:3-,5+,6-	TAGATOSE
cpd00601	t:7-,10+	CPD-862
cpd00601	t:7?,10-	C00808
cpd00617	t:12-,13+,16+,17+,18-,22+	LACTOYL-COA
cpd00617	t:12?,13-,16-,17-,18+,22-	C00827
cpd00624	t:1-,2+,3-,4+,5-,6-	C00837
cpd00624	t:1-,2+,3?,4+,5-,6?	CPD-10148
cpd00629	t:15-,18-,19-,20+,24-	C00845
cpd00629	t:15-,18?,19?,20-,24-	CPD-73
cpd00634	t:11-,12-,14+,16+	CAFFEOYLQUINATE
cpd00634	t:11-,12-,14-,16+	C00852
cpd00635	q:;+1	C00853
cpd00635	q:;+4	COB-I-ALAMIN
cpd00635	t:31-,34-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;	COB-I-ALAMIN
cpd00635	t:31-,34-,35-,36-,37+,41-,52-,53-,56?,57+,59-,60+,61+,62+;	C00853
cpd00650	t:14-,18-,19-,20+,24-	C00877
cpd00650	t:14-,18-,19-,20?,24-	CROTONYL-COA
cpd00660	h:11,13-15,19-21,25,36-37,44,51H,4-10,12H2,1-3H3,(H,28,34)(H,29,38)(H,42,43)(H2,27,30,31)(H2,39,40,41)	PENTANOYLCOA-CPD
cpd00660	h:13-15,19-21,25,36-37H,4-12H2,1-3H3,(H,28,34)(H,29,38)(H,42,43)(H,44,45)(H2,27,30,31)(H2,39,40,41)	C00888
cpd00675	b:7-6+,10-9+,12-11+,15-13+	CPD-8892
cpd00675	b:7-6-,10-9-,12-11+,15-13+	C00909
cpd00682	t:15-,16-,17+,22+,23+,24?,29+	C00920
cpd00682	t:15?,16?,17-,22-,23-,24+,29-	CPD-322
cpd00691	t:5-,6+,8-,9+,10+,11+,12+,13+	CPD-12513
cpd00691	t:5-,6+,8-,9+,10+,11+,12?,13+	C00935
cpd00719	t:3-,5-,6+,7+,8-,9+,10+,13-,15-	C00976
cpd00719	t:3-,5-,6+,7+,8-,9+,10+,13-,15?	CPD-1828
cpd00739	h:3-4,11-12,14,18,22-25H,5-6H2,1-2H3,(H2,19,20,26,27)	C01007
cpd00739	h:3-4,11-14,18,22-25H,5-6H2,1-2H3,(H,20,26,27)	CPD-316
cpd00739	t:11-,12+,13?,14-	CPD-316
cpd00739	t:11-,12+,14-	C01007
cpd00743	t:13-,17-,18-,19+,23-,26+	C01011
cpd00743	t:13?,17?,18?,19?,23?,26-	CPD-627
cpd00766	t:2-,5+	C01041
cpd00766	t:2-,5?	CPD-318
cpd00782	t:16-,21-,22-,23+,27-	C01063
cpd00782	t:16-,21-,22-,23?,27-	CPD-558
cpd00799	t:17-,18+,19+,21+,22+,23-	C01091
cpd00799	t:17-,18+,19?,21+,22+,23-	17-O-DEACETYLVINDOLINE
cpd00802	t:3-,4-,5+,6-	FRU1P
cpd00802	t:3-,4-,5+,6?	C01094|C02976
cpd00818	t:2-,3+,4+,5-,6+	CPD-1241
cpd00818	t:2-,3+,4+,5-,6?	C01113
cpd00832	t:4-,5-,6+,7-,8+	CPD-3604
cpd00832	t:4-,5-,6+,7-,8?	C01132
cpd00842	t:13-,14+,18+,19+,20-,24+	C01144
cpd00842	t:13-,14+,18+,19+,20?,24+	S-3-HYDROXYBUTANOYL-COA
cpd00857	t:19-,21+,23-,24+,25+,26+,27-	C01164
cpd00857	t:19-,21+,23?,24?,25?,26+,27-	CPD-4187
cpd00860	c:13-10(14)4-2-1-3-9(18)7-8-19-12(17)6-5-11(15)16	C01169
cpd00860	c:13-10(14)4-2-1-3-9(7-8-18)19-12(17)6-5-11(15)16	CPD0-341
cpd00864	c:11-7-1-2-9-6(3-7)4-8(12)5-10(9)13	TRINAPHTAL-CPD
cpd00864	c:11-7-4-6-2-1-3-8(12)10(6)9(13)5-7	C01173
cpd00877	t:19-,20+,21+,23-,24+,25+,26+,27-	C01189
cpd00877	t:19-,20?,21+,23?,24?,25?,26+,27-	CPD-4186
cpd00884	t:8-,9+,10+,12+,13+,14+,15+,18-,19+	C01201
cpd00884	t:8-,9+,10+,12+,13+,14+,15+,18?,19+	CPD-10699
cpd00895	t:12-,13+,16+,17-,18+,19-,21+,23+,24-,25-,29+	C01217
cpd00895	t:12-,13+,16+,17-,18+,19-,21?,23+,24-,25-,29+	THMPT
cpd00899	t:5-,6-,7-,8+,9-,10-,11-,12-,13-,14+,15-,16-,17-,18-,21+	C01221
cpd00899	t:5-,6-,7-,8+,9-,10-,11-,12-,13-,14+,15-,16-,17?,18?,21+	DIHYDROSTREPTOMYCIN-6-PHOSPHATE
cpd00902	t:3-,4-,5-,6+,7-,8-,9-	C01225
cpd00902	t:3?,4-,5-,6+,7-,8-,9-	CPD-541
cpd00910	t:2-,3+,4+,5-,6-,7+,8+,9+,10-,11-,12-	C01235
cpd00910	t:2-,3+,4+,5-,6-,7-,8+,9-,10-,11-,12-	CPD-458
cpd00935	b:7-4-,11-8+	C01273
cpd00935	b:8-4+	CPD-14298
cpd00935	h:1-6,8H,7H2,(H,15,16)	CPD-14298
cpd00935	h:1-8,14H,(H,15,16)	C01273
cpd00936	t:13-,14+,17+,18-,19+,20-,22+,24+,25-,26-,30+	C01274
