ModelSEED ID	Atom	External IDs
cpd00179	H:22	C00208
cpd00179	H:24	CPD-3609
cpd00189	H:1	C00220
cpd00189	H:18	CPD0-1625
cpd00605	H:3	BARBITURATE
cpd00605	H:4	C00813
cpd01029	H:13	QUEUINE
cpd01029	H:15	C01449
cpd01105	O:4	CPD-362
cpd01105	O:5	C01569
cpd01173	C:32	C01700
cpd01173	C:33	GLOBOMYCIN
cpd01173	H:57	C01700
cpd01173	H:59	GLOBOMYCIN
cpd01206	H:10	CPD-12847
cpd01206	H:12	C01748
cpd01225	H:82	C01776
cpd01225	H:85	CPD-13365
cpd01225	N:7	CPD-13365
cpd01225	N:8	C01776
cpd01225	O:16	CPD-13365
cpd01225	O:17	C01776
cpd01449	H:35	CHLOROPHYLLIDE-A
cpd01449	H:36	C02139
cpd01624	H:36	UROPORPHYRIN_III
cpd01624	H:38	C02469
cpd01812	H:7	C02803
cpd01812	H:8	CPD-10547
cpd01926	H:15	C03003
cpd01926	H:16	CPD-446
cpd01935	O:6	PHORBOL-13-BUTANOATE
cpd01935	O:7	C03019
cpd01968	H:4	CPD-321
cpd01968	H:5	C03071
cpd02078	H:10	CPD-9192
cpd02078	H:8	C03243
cpd02170	H:20	CPD-8006
cpd02170	H:22	C03430
cpd02225	H:13	C03536
cpd02225	H:15	PYRIMIDINE-5-NUCLEOTIDE
cpd02283	O:7	PHORBOL-1213-DIBUTANOATE
cpd02283	O:8	C03634
cpd02308	H:22	C03677
cpd02308	H:23	421-DEHYDROGEISSOSCHIZINE
cpd02332	H:8	PHENYLACETOTHIOHYDROXIMATE
cpd02332	H:9	C03719
cpd02378	H:5	OXIDIZED-PHOTINUS-LUCIFERIN
cpd02378	H:6	C03797
cpd02518	H:32	C04070
cpd02518	H:34	GIBBERELLIN-2-O-BETA-D-GLUCOSIDE
cpd02557	H:66	FARNESYLFARNESYLGERANIOL
cpd02557	H:68	C04146
cpd02557	O:1	FARNESYLFARNESYLGERANIOL
cpd02557	O:7	C04146
cpd02592	C:44	C04218
cpd02592	C:90	CPD1G-1344
cpd02592	H:172	CPD1G-1344
cpd02592	H:82	C04218
cpd02658	H:17	CPD-199
cpd02658	H:19	C04335
cpd02725	C:168	ALPHAALPHA-TREHALOSE-66-BISMYCOLATE
cpd02725	C:76	C04465
cpd02725	H:142	C04465
cpd02725	H:322	ALPHAALPHA-TREHALOSE-66-BISMYCOLATE
cpd02739	H:1	C04491
